"","cg10152497","cg20476058","cg25567444","cg05348770","cg02347483","cg05885546","cg25936334","cg00989538","cg26345401","cg12635019","cg10321723","cg08485937","cg22470465","cg11180789","cg05384610","cg12665742","cg11341440"
"PD3",0.730233,0.7505206,0.6932803,0.9629874,0.9041059,0.4553473,0.06824424,0.9542076,0.7804342,0.1119596,0.9524216,0.8859479,0.8671671,0.866843,0.4883219,0.1089738,0.8303177
"CTRL39",0.8813238,0.7886618,0.8496847,0.9713181,0.8170314,0.5820178,0.0654679,0.9707679,0.7189623,0.1788688,0.9673119,0.9535325,0.8894133,0.9505799,0.4811312,0.1481167,0.873708
"CTRL97",0.8758116,0.8002221,0.8494471,0.9687737,0.873098,0.4680235,0.043204,0.957994,0.8137775,0.2100313,0.9570412,0.9545308,0.8659184,0.9676504,0.3650161,0.1199003,0.8713393
"PD47",0.8587613,0.6913127,0.7885203,0.9530628,0.8144367,0.4132435,0.06766749,0.9729427,0.7155115,0.2098187,0.9525091,0.9463969,0.8528311,0.9423912,0.412898,0.1086335,0.8283618
"DLB17",0.8210281,0.7316235,0.7513074,0.9633009,0.8477964,0.4435913,0.06606309,0.974389,0.6789678,0.1994447,0.9655969,0.9252995,0.9196417,0.9465899,0.3787213,0.09660079,0.8783324
"DLB2",0.8227847,0.7820203,0.7042773,0.9706963,0.902006,0.5889182,0.07091413,0.9652437,0.7653634,0.1284707,0.9315383,0.8712865,0.8530588,0.9290037,0.5061532,0.0855324,0.7783165
"CTRL35",0.8420167,0.757441,0.7300756,0.9665583,0.8604588,0.5177328,0.04547339,0.9724803,0.7715661,0.1718839,0.9622531,0.9163201,0.8637077,0.9582508,0.4350642,0.1149691,0.8469571
"PD8",0.7552254,0.7577688,0.7756136,0.9482301,0.9218452,0.4354667,0.04646584,0.9667642,0.7277863,0.1723103,0.948991,0.943848,0.9008509,0.9295721,0.4737335,0.1074658,0.833325
"CTRL51",0.8362455,0.7175101,0.8894484,0.9612747,0.8353729,0.5906946,0.04730679,0.9819894,0.7254811,0.186887,0.9769389,0.9418062,0.8629679,0.9634911,0.413898,0.1129144,0.9039323
"CTRL77",0.8840069,0.7510904,0.7741633,0.9546289,0.9102168,0.3364497,0.04970598,0.9757022,0.7165417,0.1467184,0.9776352,0.9397746,0.9174528,0.9229212,0.3459022,0.102178,0.8289499
"CTRL68",0.8117367,0.6633156,0.8067509,0.9592666,0.8373973,0.5124081,0.05833435,0.9726344,0.6448992,0.1618175,0.9715078,0.9625833,0.8815722,0.9514056,0.3550071,0.0905476,0.8377302
"PDD24",0.8305359,0.7549189,0.7067532,0.9680731,0.9434655,0.4077495,0.04406855,0.9885207,0.7810189,0.1971131,0.9682682,0.9416156,0.9256937,0.9414346,0.5081983,0.1383285,0.9306218
"CTRL19",0.8522392,0.7633627,0.7512095,0.9569775,0.8339871,0.4982572,0.04594144,0.9815887,0.7556835,0.1150258,0.9668299,0.9298757,0.8902543,0.9617092,0.385935,0.1370913,0.8438274
"PDD13",0.8806343,0.8083409,0.8454593,0.9740819,0.9228084,0.7065012,0.043,0.9789355,0.8456992,0.1513837,0.9202982,0.8814186,0.7568668,0.9707552,0.6218104,0.07386606,0.7970073
"CTRL43",0.8348537,0.7122728,0.8401907,0.957034,0.8524407,0.4258509,0.07512806,0.9779892,0.7457956,0.1607361,0.9665165,0.9613528,0.8760947,0.9528745,0.3908548,0.08955896,0.876388
"DLB11",0.8442477,0.789589,0.7723986,0.9824576,0.8619261,0.5326017,0.03721135,0.9857017,0.7717803,0.1975923,0.9768342,0.9393742,0.9202285,0.934492,0.4010334,0.1238971,0.8532365
"PDD58",0.8827554,0.7554518,0.7961796,0.953249,0.8351318,0.5476681,0.06297539,0.9792381,0.7694667,0.1595554,0.9621178,0.9298697,0.8612874,0.9584698,0.4367067,0.1244927,0.9049006
"CTRL42",0.8436064,0.7074512,0.7886847,0.940086,0.8318478,0.5969396,0.0541144,0.9833892,0.7789663,0.228981,0.9759573,0.936104,0.8775025,0.9559732,0.3854195,0.1254515,0.883695
"PDD53",0.8489094,0.7319676,0.7486627,0.9565044,0.8838681,0.362693,0.05369928,0.9774915,0.7418684,0.1285453,0.9368594,0.9235127,0.8554666,0.9583843,0.5326232,0.08330239,0.8376137
"PD40",0.8446746,0.7422578,0.8594778,0.9579794,0.8647255,0.4989953,0.07170974,0.9708792,0.8027453,0.1589224,0.9323318,0.9436596,0.8910322,0.9575245,0.4663074,0.1288222,0.9058472
"PDD44",0.8475295,0.7285506,0.7252309,0.9417497,0.8575813,0.5168897,0.07427981,0.9948676,0.6883004,0.1896587,0.9507222,0.8947058,0.8906409,0.9583364,0.4518903,0.09351772,0.8621616
"PD6",0.9070912,0.7351626,0.7240773,0.9674004,0.924332,0.3797091,0.07421325,0.9701606,0.6848791,0.1516886,0.9710257,0.9426813,0.8775159,0.9118705,0.3817876,0.09245648,0.8161492
"CTRL1",0.852233,0.721071,0.7279227,0.977464,0.9091153,0.4625784,0.0527735,0.9801009,0.6933851,0.1584633,0.9817044,0.9304024,0.87663,0.8943555,0.4350936,0.09483338,0.9221044
"PD35",0.8992725,0.7777228,0.7515872,0.9538029,0.9142965,0.5002356,0.05145642,0.9862662,0.8647521,0.169249,0.9453743,0.8727235,0.8675993,0.961397,0.4851405,0.1280482,0.8284897
"PDD41",0.8021874,0.7301668,0.6973221,0.9526797,0.8781705,0.4159488,0.05316339,0.9741501,0.7736542,0.2111093,0.9684286,0.9086101,0.805756,0.963311,0.305475,0.09542937,0.8056086
"PDD70",0.7639864,0.837754,0.8013506,0.9466802,0.877101,0.4824803,0.05179387,0.9795865,0.7895693,0.1524366,0.9626613,0.9357472,0.8771014,0.958663,0.2964275,0.07541191,0.8968839
"PD59",0.830444,0.7379679,0.6768219,0.9535711,0.8732586,0.4766525,0.07346839,0.9817997,0.77514,0.2051003,0.9732846,0.9437058,0.9120304,0.9726231,0.430142,0.09526555,0.8903973
"PDD28",0.776851,0.7510565,0.7046507,0.9549133,0.8895166,0.5948297,0.07890794,0.9930562,0.8326632,0.1141063,0.9533519,0.8424234,0.7906692,0.9421734,0.4961384,0.09951036,0.7286536
"CTRL78",0.7907488,0.7624105,0.770466,0.9806881,0.8934639,0.5071983,0.04988167,0.9680611,0.7193962,0.1784049,0.9341301,0.9169803,0.8200532,0.9448866,0.4193203,0.07730513,0.8110076
"CTRL64",0.7923531,0.6846553,0.795492,0.9817593,0.8091804,0.3915664,0.08484762,0.9788469,0.7436366,0.1125659,0.9636158,0.9273557,0.8251811,0.9574266,0.2878985,0.08589345,0.8336512
"PD48",0.8191913,0.7012197,0.796981,0.9588125,0.8624488,0.4488561,0.06417819,0.9738814,0.7189813,0.1679794,0.9823154,0.9220034,0.8744953,0.9840321,0.3412044,0.08744808,0.8488979
"PD21",0.8199129,0.8145522,0.6503344,0.9524732,0.9303683,0.6631324,0.0784,0.9815572,0.7743453,0.09223957,0.9580999,0.9264705,0.8522438,0.9391758,0.4526221,0.0776665,0.8096781
"CTRL95",0.8924948,0.7415893,0.8050601,0.9512006,0.8433437,0.6970892,0.05248307,0.9709004,0.7919399,0.143071,0.9687186,0.9490885,0.9050437,0.9426582,0.4524793,0.1217046,0.8605141
"CTRL57",0.8883256,0.6939139,0.8078665,0.9495477,0.8384017,0.4298427,0.06386249,0.9746248,0.7331637,0.1944425,0.9599373,0.9365316,0.8962401,0.9686531,0.3599603,0.09137409,0.8982674
"PDD30",0.8046229,0.822831,0.5951672,0.9384162,0.8568869,0.4540328,0.06723338,0.9761198,0.7231742,0.1935944,0.9615382,0.9318395,0.8701827,0.9300273,0.3732402,0.09990521,0.8656271
"PDD22",0.8937672,0.8104327,0.7279396,0.9626211,0.9277087,0.5278289,0.06172402,0.9855737,0.7344731,0.09218466,0.9643782,0.9079889,0.8681386,0.9625102,0.4340014,0.1142075,0.8712968
"DLB15",0.9105107,0.8091401,0.706426,0.9601494,0.887655,0.5701599,0.06485888,0.970614,0.712124,0.1118773,0.9440934,0.8401062,0.8146343,0.9344041,0.431164,0.09791829,0.755469
"PD50",0.7621638,0.7468248,0.8109409,0.9747683,0.8769901,0.5191701,0.05521041,0.965458,0.747478,0.182529,0.9378399,0.947522,0.9062849,0.9709455,0.3591614,0.09946075,0.8504362
"CTRL29",0.882564,0.715805,0.7569944,0.9008065,0.8295641,0.3353299,0.0595082,0.9649735,0.6937968,0.106369,0.9431153,0.85274,0.869839,0.9786731,0.345377,0.07199535,0.7972608
"PDD54",0.8754993,0.7602583,0.7640748,0.95664,0.8967037,0.4506672,0.06004521,0.9616513,0.7723571,0.1147579,0.9477439,0.9295976,0.8868018,0.9644038,0.4523776,0.1017713,0.855278
"PDD27",0.8440444,0.7974175,0.8010957,0.9650923,0.8512953,0.5988578,0.05433263,0.9865918,0.7541374,0.2388904,0.9619005,0.9544563,0.9181953,0.9224206,0.4197664,0.1327922,0.9132623
"DLB24",0.8571403,0.7878468,0.6776221,0.9594114,0.8715549,0.5141099,0.07181487,0.9649015,0.7058519,0.1294845,0.9605415,0.9263824,0.8549678,0.9618585,0.3805046,0.08695398,0.8557075
"PD23",0.8379297,0.8014763,0.7567169,0.9461909,0.9063711,0.4257461,0.06063089,0.9802841,0.7259977,0.1921852,0.9715858,0.9246115,0.8809204,0.9172219,0.4417323,0.1042738,0.8792157
"PD30",0.8838802,0.7786191,0.8096596,0.9560487,0.8779878,0.5882028,0.04934742,0.9759062,0.8211138,0.1293016,0.9523098,0.8938178,0.8826205,0.9611008,0.457435,0.1199815,0.8618344
"PDD15",0.8522793,0.8207693,0.7301867,0.9559531,0.9019336,0.4293972,0.05451911,0.9756772,0.7719782,0.1438512,0.9465924,0.9419492,0.9028069,0.8600489,0.4196958,0.08745141,0.8624181
"CTRL50",0.939585,0.728291,0.752158,0.9521636,0.8385204,0.5239435,0.06363257,0.9844607,0.7590878,0.1514435,0.9672705,0.9253056,0.8572348,0.9735313,0.3608659,0.08424663,0.8471877
"CTRL93",0.8214087,0.7413086,0.9319138,0.9724008,0.8723528,0.5358571,0.04202135,0.9715124,0.6777643,0.1510247,0.9685562,0.9358415,0.8889823,0.9628202,0.4260963,0.1542359,0.933429
"PDD35",0.7751397,0.7771115,0.7012635,0.9547765,0.9222277,0.5910641,0.05320278,0.9835918,0.8298659,0.1036901,0.9550173,0.8585061,0.7985787,0.9336303,0.4963154,0.06354592,0.7868949
"CTRL73",0.768672,0.7553296,0.8211882,0.9728239,0.7764193,0.4777824,0.0662768,0.9880066,0.7357131,0.212033,0.9690392,0.9263912,0.9046035,0.9100751,0.3560354,0.09921343,0.8481233
"PDD6",0.8714807,0.7776539,0.7335524,0.9641372,0.9371117,0.657954,0.03418704,0.9813149,0.8105529,0.1400435,0.9381292,0.8426897,0.8089222,0.9664996,0.6022304,0.07512221,0.6796281
"CTRL13",0.8518413,0.6953215,0.6755389,0.9594504,0.7538815,0.3851499,0.05801176,0.9786694,0.7513646,0.2309956,0.9719696,0.9495107,0.8639143,0.9925131,0.3521119,0.1269067,0.8619978
"PDD73",0.7745207,0.9349813,0.6316607,0.9781488,0.8828259,0.4434161,0.04086739,0.9829926,0.7456648,0.08935654,0.9830404,0.9595597,0.9575934,0.903117,0.4315829,0.05928113,0.9342914
"CTRL81",0.8574286,0.7469321,0.7530009,0.9698359,0.8286577,0.4927242,0.07793646,0.9711871,0.7187154,0.1709295,0.9501778,0.909889,0.8816541,0.9791398,0.3729678,0.09734032,0.8911534
"CTRL33",0.8747685,0.7556491,0.8012796,0.9631337,0.8349529,0.3923868,0.0449908,0.970095,0.7212108,0.2049402,0.9723183,0.9360427,0.9391321,0.9747549,0.326375,0.1142113,0.843557
"PDD49",0.8196751,0.6813422,0.6679173,0.9260695,0.9068135,0.3577359,0.06761178,0.974585,0.7072889,0.1655828,0.9556227,0.9124736,0.7839022,0.957308,0.3847731,0.09307364,0.8418184
"PD27",0.812156,0.7992972,0.7592494,0.9518706,0.8757644,0.5110412,0.06535779,0.9765438,0.810629,0.1378897,0.9744981,0.9158115,0.9304759,0.9474833,0.4262843,0.1184397,0.9010766
"PDD4",0.7246786,0.8372855,0.7279863,0.9759012,0.9252135,0.5326036,0.07232988,0.9625816,0.7278549,0.1156402,0.9560463,0.9629211,0.8839886,0.8847078,0.4266198,0.1174001,0.8078527
"PD58",0.8771904,0.7664243,0.7495217,0.9710953,0.8797486,0.4798009,0.04549104,0.9784481,0.7829698,0.1478975,0.9597232,0.934934,0.8886231,0.9338193,0.4869662,0.09873015,0.8700127
"CTRL85",0.7987854,0.7557175,0.6942067,0.9550857,0.9172995,0.3478286,0.06453439,0.985324,0.8378026,0.140478,0.954122,0.9124066,0.8766068,0.9508903,0.385215,0.1138366,0.8668096
"PD52",0.8539898,0.7169942,0.7172852,0.9540051,0.9043891,0.4965763,0.03740405,0.976602,0.7770176,0.0945298,0.96518,0.8964974,0.8744224,0.9219685,0.4307552,0.08818417,0.8619994
"PD60",0.8629429,0.7776507,0.7920968,0.9708371,0.8584878,0.5988765,0.0581869,0.9871386,0.825336,0.09556665,0.9646309,0.9178607,0.879603,0.9470126,0.4638614,0.08490996,0.8141673
"PD61",0.9285485,0.787465,0.7167881,0.9510899,0.8853095,0.3281942,0.05674469,0.9818209,0.7976569,0.1077248,0.9692642,0.9279993,0.8367388,0.9562269,0.3907652,0.1118662,0.8223185
"CTRL11",0.9407356,0.7408791,0.7670775,0.9538442,0.9087516,0.5219486,0.04414026,0.9847699,0.6701722,0.1143479,0.9476115,0.9576894,0.8991778,0.9685799,0.3993471,0.121759,0.9303146
"CTRL40",0.8651441,0.7110725,0.8379753,0.9575793,0.8541868,0.4681592,0.06291718,0.9498465,0.7799561,0.2048346,0.9636769,0.9402278,0.917803,0.9655734,0.3362644,0.1042361,0.8794079
"DLB35",0.8312842,0.7661469,0.7962976,0.9532978,0.8320098,0.5127603,0.06319862,0.9731297,0.7150561,0.1759366,0.9552952,0.9489288,0.8909432,0.963238,0.416055,0.116776,0.8699917
"PD9",0.9006866,0.7442767,0.6317468,0.9545273,0.8560956,0.4587226,0.07795777,0.9252547,0.7430261,0.1792161,0.9532634,0.8571328,0.8995502,0.9176113,0.3758079,0.0854884,0.8782
"CTRL79",0.800632,0.7884142,0.7278769,0.9814812,0.8520192,0.5404544,0.04001459,0.9854294,0.6995911,0.1371691,0.9830147,0.9373793,0.8937976,0.9500002,0.4222421,0.114148,0.9142346
"PDD61",0.8434118,0.7363007,0.8526395,0.9635401,0.8597661,0.4694399,0.06398206,0.9820495,0.6828436,0.1926565,0.9668547,0.9574669,0.9004477,0.9635127,0.3587299,0.108129,0.8694523
"PD56",0.8316856,0.755652,0.71669,0.9672598,0.8934097,0.4393931,0.0497676,0.9724221,0.6940067,0.1152831,0.9667518,0.9408515,0.8964887,0.9891535,0.3800296,0.09208422,0.8953304
"CTRL55",0.8079928,0.7551722,0.7858398,0.9726341,0.8445991,0.4630444,0.05720123,0.9894495,0.6347644,0.2175781,0.9846818,0.939794,0.8821534,0.9557702,0.3845008,0.1374548,0.8582173
"CTRL37",0.8740409,0.7467519,0.6015776,0.9430928,0.8831974,0.4812085,0.06171694,0.9818844,0.7339789,0.0740371,0.9593219,0.8953796,0.8944662,0.9796104,0.4389642,0.09239724,0.87906
"CTRL82",0.8413852,0.7953928,0.8298297,0.9539468,0.8421496,0.4734238,0.06017942,0.9810171,0.7126495,0.1569641,0.9759043,0.9325683,0.8591292,0.9465363,0.4009656,0.09976214,0.8907841
"CTRL32",0.8800982,0.8238433,0.6025721,0.9378746,0.8660025,0.3938348,0.06111929,0.9645523,0.7038021,0.1253413,0.940616,0.9539693,0.8891614,0.9738053,0.4418545,0.1393593,0.9081301
"PD2",0.8048243,0.8168485,0.8059709,0.9596769,0.9435251,0.5609757,0.05255057,0.9609064,0.7785871,0.0764955,0.9746295,0.9149375,0.881546,0.9476478,0.4637927,0.1090003,0.8789561
"PD54",0.9018593,0.7420109,0.8566977,0.9723787,0.8673803,0.5214103,0.06574222,0.9922023,0.78416,0.142044,0.9787112,0.942096,0.8615873,0.9732937,0.3725743,0.09754966,0.876012
"CTRL48",0.7855169,0.7238184,0.7088561,0.9634849,0.8426949,0.4043055,0.05389004,0.9780047,0.7487658,0.2323016,0.9673828,0.9558706,0.8655067,0.9278296,0.3699476,0.1155245,0.8117081
"PD49",0.8231789,0.6986846,0.8058509,0.9710287,0.7873985,0.620729,0.04658066,0.9796829,0.7212829,0.1183133,0.9521549,0.8863635,0.8938037,0.9541288,0.4225286,0.1034479,0.8271857
"PDD69",0.8500864,0.7076406,0.7446674,0.9699743,0.8926056,0.5910635,0.0629509,0.9887245,0.7676501,0.1449776,0.9436563,0.8988073,0.7677431,0.9719964,0.4304456,0.1129873,0.803561
"PD45",0.8637964,0.7189239,0.8411508,0.9522322,0.8381778,0.4909247,0.07279168,0.9786644,0.7390841,0.1901241,0.9785689,0.9413396,0.8807418,0.9546849,0.348867,0.1048659,0.7982726
"CTRL12",0.8939058,0.7379959,0.7306965,0.9377793,0.9041141,0.4509855,0.04628906,0.9671975,0.7479713,0.1614073,0.9374361,0.9180301,0.8283945,0.9265543,0.4184404,0.09620846,0.8460133
"PD33",0.743898,0.6621514,0.6454581,0.9400993,0.8583516,0.3828144,0.07133448,0.9658038,0.7119541,0.08437878,0.9403034,0.8891839,0.8683644,0.9573867,0.4174494,0.103397,0.8095
"PD51",0.8902418,0.7059063,0.9250184,0.9550833,0.8046746,0.5632632,0.05309491,0.9814153,0.7309699,0.1292308,0.9761995,0.9589432,0.9403727,0.9502404,0.324092,0.08099046,0.9308689
"PD13",0.835871,0.7569842,0.7277656,0.9660039,0.938193,0.3987234,0.0656473,0.9817806,0.7208707,0.06030016,0.9492577,0.9440272,0.9102821,0.9499954,0.47968,0.1208255,0.8451414
"PDD45",0.8567211,0.8262682,0.6337171,0.9761728,0.844229,0.5317396,0.07761755,0.9716134,0.7507752,0.09841144,0.9336645,0.9253095,0.9132016,0.942448,0.3909473,0.06689736,0.841547
"PD20",0.7295135,0.7229211,0.701385,0.9723669,0.9050646,0.4268614,0.05808477,0.9758272,0.6266068,0.1668874,0.9558106,0.9161552,0.9027245,0.9449786,0.4266317,0.09459903,0.842147
"CTRL83",0.8338352,0.7191803,0.8076317,0.9681851,0.9064078,0.4849091,0.05309735,0.9881696,0.7410771,0.1883166,0.9751379,0.9461033,0.8545065,0.91824,0.3527633,0.07261439,0.7993185
"PDD7",0.8050432,0.7792624,0.6759039,0.954619,0.9505039,0.4819769,0.06262231,0.9693639,0.7061802,0.2319891,0.9635671,0.9458964,0.8487687,0.9010537,0.4481926,0.1062688,0.894438
"CTRL71",0.763405,0.7410021,0.8327739,0.9784231,0.8971231,0.3684042,0.06287575,0.9876718,0.6602703,0.1179381,0.9767833,0.9330591,0.8766951,0.9500876,0.4125771,0.1018075,0.8620092
"PDD47",0.7855668,0.7224772,0.8091591,0.9770048,0.8400157,0.439026,0.05084746,0.9796289,0.8108554,0.1728824,0.9591053,0.9305319,0.9094875,0.9714969,0.3047351,0.09813344,0.8323243
"PD32",0.8768762,0.7073351,0.6486628,0.9588027,0.8133338,0.4233635,0.05391554,0.9518603,0.723766,0.159375,0.9494296,0.9082711,0.8656188,0.957376,0.3528957,0.1086867,0.7675632
"CTRL6",0.7275461,0.7590215,0.6317765,0.9530711,0.9386263,0.3818885,0.0604534,0.9892052,0.6961995,0.04434488,0.9508145,0.8944331,0.9102499,0.9641694,0.3828831,0.07496251,0.7925486
"CTRL46",0.8425809,0.7380133,0.7879866,0.9517719,0.8458188,0.3680813,0.07464103,0.9818258,0.7734608,0.1748381,0.9421677,0.9273099,0.8267624,0.9623773,0.339561,0.1019936,0.790745
"PD17",0.7653999,0.8048074,0.7396706,0.9744005,0.9183478,0.4977354,0.06507353,0.9740114,0.6849163,0.2629422,0.9774019,0.9326577,0.9014747,0.9228086,0.3897153,0.0917532,0.8587936
"PDD10",0.8671356,0.7075283,0.7360988,0.9747402,0.9134864,0.4157897,0.06300776,0.9678469,0.7475083,0.1567477,0.960391,0.8939733,0.8931211,0.8826804,0.5458717,0.077678,0.8423255
"DLB12",0.7581403,0.7436839,0.715362,0.9568381,0.9033902,0.5005174,0.07188786,0.9752852,0.6291115,0.1614377,0.9636847,0.936153,0.8628969,0.9484335,0.4409089,0.1024091,0.8644862
"CTRL44",0.8670474,0.6897057,0.8742684,0.9669004,0.8192536,0.5799951,0.05102516,0.9831064,0.7650487,0.193362,0.9733841,0.9309376,0.8461717,0.9684091,0.4335666,0.1107089,0.8529028
"CTRL86",0.8615723,0.8277887,0.6950727,0.9752584,0.8932876,0.5575969,0.04475025,0.9842614,0.8313288,0.1257848,0.95837,0.8592492,0.8647554,0.986391,0.5246722,0.06389759,0.8454169
"DLB27",0.8615485,0.7175033,0.6622923,0.9500643,0.8491203,0.4244626,0.07526596,0.986267,0.722059,0.1870636,0.9440832,0.863608,0.8327707,0.9869823,0.3314344,0.09738284,0.8201232
"PD18",0.82539,0.6887018,0.5885332,0.9500824,0.9131337,0.4354903,0.04965472,0.986146,0.7396832,0.1748122,0.9702947,0.9405724,0.8680025,0.9295282,0.3647193,0.133201,0.9040137
"CTRL20",0.8502592,0.7654907,0.7389202,0.9438812,0.8861892,0.3921682,0.06672288,0.973606,0.8380076,0.1726629,0.9765073,0.9027972,0.8575205,0.9638964,0.4677907,0.1241114,0.8456982
"PDD50",0.8365803,0.7634344,0.6571122,0.9518031,0.8178584,0.5177381,0.04708155,0.9695897,0.73648,0.160716,0.9414402,0.9263376,0.8758997,0.9554882,0.3229131,0.1166618,0.8162234
"DLB21",0.8001665,0.7351338,0.7593933,0.9516995,0.7982838,0.4626142,0.04984146,0.9770082,0.7336133,0.2489562,0.9738995,0.934656,0.8396435,0.9455,0.2818594,0.07644743,0.8134914
"CTRL53",0.8974543,0.7287015,0.7845905,0.9534914,0.8806641,0.4708629,0.04271415,0.9892604,0.6791965,0.1545303,0.9697378,0.913477,0.9052708,0.9659393,0.3710184,0.1053681,0.8662898
