"","cg03463446","cg17805199","cg11616676","cg10138044","cg22780260","cg19310653","cg03598020","cg14459193","cg14596064","cg27189155","cg13217322","cg14904079","cg05769889","cg20087134","cg18647570","cg07093748","cg09269759","cg23200218","cg02560310","cg00340855","cg16887064","cg20745261","cg25589803","cg15279186","cg20030796","cg01674530","cg07253510","cg12563898","cg14821713","cg18127922","cg05594525","cg02941135","cg08470320","cg26427044","cg14067446","cg14725388","cg05885546","cg11105563","cg03534180","cg13451048","cg26516006","cg10762038","cg15884436","cg11312462","cg02853470","cg00972313","cg16985117","cg15058545","cg08501497","cg23529669","cg16299636","cg26345401","cg22315903","cg05471411","cg20248774","cg05788267","cg16941122","cg16959863","cg09314803","cg11596241","cg03896585","cg07755528","cg22200330","cg03967521","cg11382091","cg07642754","cg10122776","cg18160691","cg00901585","cg25284031","cg17102042","cg06410591","cg14272780","cg13714834","cg22540552","cg22470465","cg23092527","cg09214323","cg02707840","cg24280297","cg27189973","cg16196713","cg22053720","cg25981350","cg06975395","cg25499044","cg06086267","cg03791164","cg02259802","cg15197657","cg24767698","cg00425213","cg07904447","cg06791912","cg00271390","cg17007597","cg12407526","cg04701618","cg24384430","cg23890469","cg25735490","cg20246424","cg00885747","cg06643951","cg02133819","cg24933625","cg22806431","cg15310800","cg11341440"
"PDD26",0.9784816,0.6469074,0.06688799,0.7945478,0.9722116,0.6348807,0.9471497,0.8876251,0.7998844,0.7643733,0.7774945,0.962018,0.09130305,0.8599698,0.7555132,0.5946131,0.6814167,0.9085294,0.8788891,0.875509,0.7911812,0.9577687,0.9453777,0.7704517,0.7451452,0.6922049,0.9563804,0.5624535,0.05669177,0.277518,0.1749121,0.6400009,0.9092865,0.3868407,0.9351768,0.8089844,0.4383154,0.850444,0.8615671,0.4604593,0.9006381,0.87572,0.9446661,0.8261143,0.9305862,0.7860814,0.8437224,0.4554848,0.9508233,0.8850974,0.7872506,0.7071216,0.7460168,0.8944643,0.2708041,0.9511777,0.6664706,0.9600693,0.8275745,0.9088367,0.9734561,0.5920547,0.05050522,0.009203537,0.9592657,0.8346189,0.6971017,0.4729488,0.894232,0.8603109,0.8603601,0.1205857,0.9211064,0.891524,0.04941422,0.8686109,0.9510648,0.7161959,0.8819337,0.01448498,0.07302699,0.009754738,0.7212639,0.6449099,0.961428,0.9058839,0.7248763,0.8247888,0.8037069,0.272342,0.9420665,0.8656518,0.0315264,0.7323179,0.965048,0.9117196,0.7816608,0.7129494,0.07288002,0.4210383,0.9818129,0.8898621,0.8625148,0.8724467,0.9339573,0.1487727,0.7708984,0.971252,0.8759597
"PDD25",0.9401606,0.746791,0.1728291,0.7479545,0.9581294,0.8101841,0.8815729,0.9316509,0.8619716,0.830509,0.7649474,0.942985,0.1422341,0.8738732,0.8428128,0.6699213,0.7474206,0.7666445,0.8031707,0.8884975,0.9403631,0.8936867,0.9203429,0.8173376,0.7737879,0.7141527,0.8915236,0.8875052,0.07206185,0.3983539,0.222454,0.6722208,0.8520658,0.2897081,0.9275805,0.8513036,0.750884,0.8619742,0.8385253,0.6363261,0.8382896,0.8929387,0.952682,0.7282746,0.8928994,0.7673904,0.8869817,0.577024,0.923197,0.9104534,0.9012035,0.8097358,0.7043103,0.9420108,0.3042044,0.959104,0.5991004,0.939091,0.8375484,0.9147504,0.9156153,0.7854752,0.0386482,0.004443834,0.9758502,0.8126466,0.7211645,0.4675602,0.9080473,0.7890245,0.8135992,0.07017395,0.9317934,0.8906381,0.04820173,0.8032818,0.9772843,0.8933402,0.896348,0.03264432,0.07189145,0.008627804,0.6343349,0.671816,0.9834106,0.9076119,0.7556753,0.7679276,0.828703,0.4209988,0.9299187,0.7669008,0.03198995,0.8511688,0.9714154,0.8904113,0.7610846,0.7379221,0.2110997,0.4224502,0.9616796,0.9149358,0.8160748,0.8050765,0.9500064,0.2436915,0.7727638,0.9298832,0.7841182
"PD1",0.9956754,0.7391096,0.06265116,0.8161762,0.9094365,0.6380597,0.9263762,0.794548,0.8264867,0.7252302,0.7428488,0.9287918,0.07458529,0.8245501,0.7572789,0.6006693,0.6614106,0.8631207,0.8336438,0.882836,0.7662583,0.8751437,0.8963462,0.7563803,0.7713894,0.6346658,0.9538934,0.6732533,0.01408582,0.2910542,0.2166274,0.7070507,0.8642308,0.2480907,0.9399136,0.704259,0.2910883,0.741755,0.945921,0.4902686,0.8471452,0.8823848,0.9360853,0.8551036,0.8497131,0.7622869,0.8778456,0.4838309,0.8781459,0.8985038,0.8064695,0.7160521,0.7499914,0.9031152,0.3013132,0.9518438,0.6560122,0.9614493,0.8048867,0.8533323,0.9659896,0.6503101,0.03136883,0.003770091,0.9616385,0.8017198,0.6187165,0.5023571,0.8305962,0.8316315,0.7918043,0.1205651,0.8845061,0.9025826,0.1323498,0.8256319,0.9917037,0.7755388,0.9344942,0.01125054,0.126248,0.004034914,0.6553049,0.5602735,0.9676909,0.8753484,0.811694,0.7576637,0.7376693,0.3319728,0.8535856,0.7549025,0.01937682,0.7007882,0.9524796,0.8978384,0.8645277,0.6625857,0.1251396,0.3913223,0.9776696,0.8573053,0.9065103,0.8233285,0.8737007,0.2223383,0.6835852,0.9508766,0.8551865
"CTRL24",0.9584802,0.5565578,0.02700742,0.8502915,0.9288001,0.6473225,0.9247219,0.8420201,0.6751924,0.6967842,0.6968317,0.9408297,0.08315828,0.8033035,0.721879,0.5717474,0.5846725,0.8751609,0.8262036,0.8189205,0.7856121,0.8646472,0.8728576,0.7167337,0.7311268,0.5459138,0.9597797,0.6068601,0.0007173265,0.3577313,0.2127037,0.6269013,0.8432271,0.3195945,0.9333457,0.775107,0.5568914,0.7393457,0.9374934,0.4161182,0.7911564,0.8635177,0.9274584,0.8372327,0.8403675,0.8200633,0.8149578,0.466675,0.917824,0.93016,0.8118241,0.6968411,0.7724473,0.8960496,0.3009121,0.9154031,0.6134123,0.9217344,0.8419031,0.8666564,0.9450308,0.6299675,0.02554091,0.001497332,0.9580191,0.8491379,0.6027106,0.4815163,0.7306878,0.8133745,0.7007178,0.1971895,0.8905605,0.827652,0.172265,0.8856285,0.9569211,0.7263019,0.8772264,0.01189443,0.09947585,0.01050696,0.6607694,0.5133449,0.967983,0.8159123,0.6963721,0.6842838,0.7419917,0.3384487,0.8890534,0.8338931,0.03716846,0.712001,0.9314801,0.8895693,0.8722543,0.7421875,0.0545679,0.3682973,0.9794353,0.889279,0.9233625,0.8259429,0.872995,0.1576468,0.6503215,0.9251398,0.9026867
"PD55",0.9787985,0.6330433,0.04492273,0.823724,0.9282059,0.6664566,0.9461336,0.8487967,0.8150405,0.7642073,0.7448178,0.9403572,0.06687612,0.8140273,0.7209415,0.5750381,0.6265011,0.8988314,0.8506284,0.8446397,0.8061459,0.9282734,0.9108825,0.7728219,0.7262535,0.5835843,0.9608195,0.8432513,0.05919825,0.2801339,0.1867068,0.5796598,0.8125916,0.141794,0.9132257,0.8171402,0.4672223,0.7607875,0.8292176,0.5134404,0.8844966,0.8651867,0.9317939,0.8710925,0.8704804,0.7942412,0.8593084,0.4673383,0.9458341,0.9040772,0.8689669,0.7360441,0.7851285,0.894836,0.2619915,0.9444474,0.6340526,0.9116203,0.8658942,0.8601229,0.9445225,0.6229616,0.0187638,0.002138967,0.9794402,0.7033261,0.5918165,0.4407378,0.886749,0.8657967,0.7828112,0.1447539,0.9102425,0.9122462,0.1123464,0.8847665,0.9751952,0.8008657,0.897876,0.008497876,0.1136704,0.009135757,0.6507318,0.6252215,0.9721409,0.8675607,0.6630614,0.7299053,0.7714198,0.3203449,0.8995319,0.7842689,0.0175129,0.7537794,0.9489849,0.8921871,0.8203924,0.6736174,0.06754495,0.4130572,0.9771415,0.8865622,0.9046293,0.831369,0.9273052,0.1710056,0.635795,0.9399794,0.8840061
"CTRL15",0.9584625,0.6355023,0.0366462,0.7873618,0.929344,0.5370845,0.9573281,0.8771512,0.7258018,0.7024568,0.7170899,0.9020537,0.05151479,0.7872101,0.7536013,0.519679,0.6036643,0.868112,0.8397217,0.7930136,0.8128216,0.7823861,0.7862295,0.7550928,0.7281226,0.4829265,0.9260479,0.8378861,0.05273312,0.334474,0.240015,0.5781411,0.7260726,0.2150979,0.9357652,0.752063,0.4690863,0.7304221,0.9352722,0.4647821,0.7015997,0.8384853,0.8993218,0.8197252,0.8010907,0.7580553,0.8018435,0.4289243,0.9173348,0.9088181,0.8120422,0.6932704,0.7870344,0.8549479,0.2710211,0.9262017,0.58118,0.925245,0.7996639,0.7646915,0.9333651,0.5605981,0.01762499,0.006372953,0.9545873,0.6493535,0.4608573,0.3742489,0.78857,0.8236933,0.6817704,0.1306272,0.885557,0.8353075,0.1900159,0.8319222,0.9741872,0.7464675,0.8764355,0.008326787,0.1324126,0.004299948,0.6760561,0.6059086,0.9649506,0.8484956,0.6553882,0.6003643,0.7276587,0.436129,0.8634395,0.709873,0.03203711,0.6572575,0.9317463,0.750234,0.8050336,0.8059746,0.105915,0.3095138,0.9889938,0.818377,0.8231847,0.818955,0.8513222,0.2114808,0.5441674,0.9160357,0.7734868
"CTRL63",0.9656578,0.7074022,0.0224094,0.9392526,0.8743054,0.5646673,0.927116,0.8608193,0.8057408,0.8104044,0.7324717,0.9180763,0.06489909,0.7818398,0.8409097,0.522189,0.779263,0.8712996,0.8437319,0.7590676,0.8355767,0.8649171,0.8343889,0.811401,0.6823098,0.6027082,0.956154,0.894937,0.1962317,0.2765853,0.2978458,0.4874542,0.7240454,0.09904365,0.9207744,0.7235068,0.4104078,0.7733332,0.9502519,0.4899371,0.758286,0.9204571,0.9664082,0.8928257,0.9042308,0.7542998,0.9313586,0.4354257,0.9331897,0.8378021,0.8860785,0.7682288,0.8537406,0.9503153,0.2839897,0.9515526,0.5910623,0.8395821,0.8422921,0.860155,0.9519403,0.6472145,0.01804441,0.006663281,0.9825962,0.7435262,0.4146759,0.3972203,0.8552692,0.8089145,0.7261768,0.08312001,0.941096,0.8702243,0.1002452,0.9160522,0.9774669,0.8729699,0.857894,0.0122248,0.07023316,0.01038744,0.7196334,0.3965604,0.9519879,0.8372425,0.6589011,0.6906086,0.7455211,0.4996349,0.9209443,0.6829206,0.02582911,0.7778254,0.9628699,0.8820976,0.7407156,0.5115713,0.0345583,0.2560356,0.9856157,0.9123676,0.9359927,0.7496606,0.8398124,0.1389051,0.7295326,0.9521145,0.8857604
"PDD60",0.9361158,0.7204041,0.09961872,0.8038768,0.8910816,0.6863452,0.8678017,0.8294552,0.653188,0.7516473,0.73118,0.9172948,0.1203029,0.8088341,0.7509435,0.6127135,0.7117385,0.8528264,0.7290842,0.8381555,0.889116,0.8207802,0.8717931,0.7434595,0.7467324,0.6361622,0.8988995,0.8568929,0.0532144,0.3809589,0.1918988,0.5407442,0.8168346,0.2182528,0.959083,0.7731824,0.6484448,0.8493153,0.8920489,0.5554835,0.7612181,0.8318289,0.9350197,0.757892,0.8527632,0.7403778,0.8614663,0.5703789,0.9251932,0.9237448,0.8643921,0.8504656,0.7269016,0.9129346,0.311791,0.9311691,0.6265533,0.9264914,0.8591205,0.8371985,0.9208581,0.6585202,0.03988452,0.001196346,0.936463,0.7218045,0.6260264,0.4307096,0.8770415,0.7825525,0.8114181,0.1269694,0.9284163,0.8270997,0.07650578,0.8303335,0.9751454,0.8122824,0.9198445,0.009489381,0.1342354,0.005150846,0.6478489,0.4989823,0.9713791,0.8606325,0.6230423,0.7222352,0.7237777,0.3752771,0.8716751,0.7701997,0.03667579,0.7237503,0.9194055,0.8820605,0.7827821,0.6789894,0.1888031,0.4613097,0.9643939,0.8743407,0.8540357,0.7564845,0.8388892,0.2770864,0.6885899,0.9344931,0.7133142
"PDD51",0.9050264,0.6620815,0.05117884,0.6497964,0.8892652,0.5924882,0.8971045,0.8064488,0.7682825,0.6553963,0.6046901,0.9285476,0.08202887,0.7778631,0.7371403,0.469714,0.5923605,0.762821,0.8085084,0.8074785,0.7899076,0.8769967,0.8712254,0.7799456,0.7357894,0.4970635,0.9043285,0.6599354,0.003689267,0.3130307,0.2030328,0.4874134,0.7637588,0.1732987,0.8851746,0.7789643,0.5727608,0.7510426,0.794235,0.3982565,0.8546999,0.8126111,0.8902524,0.8017434,0.8890798,0.792907,0.8517137,0.4217649,0.8963482,0.8498861,0.7783775,0.7019688,0.5927074,0.8434179,0.2367104,0.9001879,0.6363675,0.9440084,0.8050872,0.8232219,0.9706949,0.5796106,0.02140845,0.002966281,0.9745769,0.6362715,0.482497,0.3769712,0.8652197,0.8167843,0.6006271,0.1391946,0.8886033,0.7969034,0.05548101,0.7353462,0.9515326,0.7447644,0.8527125,0.01979871,0.06332533,0.009345794,0.5509064,0.5958126,0.9676248,0.7980508,0.5855276,0.6741908,0.7239508,0.379372,0.8889932,0.7483955,0.02951553,0.6493229,0.9365747,0.804454,0.8365338,0.633365,0.08104666,0.3352002,0.979734,0.7954083,0.8213861,0.7684718,0.8624327,0.1322997,0.6354964,0.9170906,0.745787
"PDD43",0.9660343,0.710374,0.1199373,0.8455509,0.8789252,0.4310251,0.9152111,0.7928121,0.8279757,0.6552871,0.7491498,0.9314213,0.03495668,0.8199913,0.8015277,0.5227832,0.6639434,0.8489024,0.835592,0.8605609,0.8344774,0.9274603,0.9081573,0.8159875,0.7622721,0.5481957,0.9185277,0.6335351,0.03432706,0.3066963,0.1846041,0.5076005,0.8464867,0.2764979,0.8980474,0.7266176,0.4236505,0.745512,0.8246692,0.4924489,0.7888994,0.8545191,0.9245711,0.7952856,0.8354979,0.8316073,0.8488421,0.4120944,0.9285079,0.8752446,0.7745617,0.7755396,0.6427262,0.891346,0.2554111,0.9343247,0.6203324,0.9491255,0.8813478,0.892283,0.9549723,0.648314,0.02040111,0.007027032,0.9556716,0.7616442,0.7177017,0.4958798,0.8521282,0.8192532,0.7458244,0.1177127,0.9143715,0.8759477,0.05692051,0.8807017,0.945095,0.7265365,0.9344915,0.01666877,0.1079618,0.01248997,0.6113615,0.5752374,0.9851665,0.8366075,0.7169269,0.7082783,0.7536037,0.3480872,0.9185572,0.8866633,0.02667846,0.6483284,0.9248747,0.8517133,0.8114489,0.4988597,0.1277447,0.4303159,0.9872774,0.8550704,0.8806168,0.8151362,0.9219048,0.1175327,0.7042285,0.9249099,0.889974
"PD14",0.9660863,0.7014485,0.03697288,0.8730521,0.8816341,0.4870467,0.9291896,0.7950355,0.767169,0.7525507,0.6917241,0.9190344,0.04796466,0.8930639,0.7785753,0.5941246,0.7116432,0.8380452,0.870372,0.8229733,0.8406238,0.9011358,0.8228697,0.7482312,0.7264602,0.4856373,0.9415347,0.9312537,0.05375325,0.3573873,0.2501187,0.5937644,0.7521161,0.09257224,0.9579977,0.8017774,0.4746703,0.8470416,0.9169733,0.4876035,0.7570886,0.8485651,0.9303987,0.8371644,0.8000373,0.6922383,0.834189,0.3517751,0.9608893,0.8796477,0.8488903,0.7429324,0.7326349,0.9293472,0.3024249,0.9409036,0.5868091,0.9007608,0.7830892,0.8387662,0.9658644,0.5885275,0.01715358,0.00376874,0.970235,0.810197,0.5947445,0.4058169,0.8845046,0.7757638,0.7490931,0.1460754,0.9175001,0.8931375,0.1760081,0.8953964,0.9641528,0.799025,0.9492015,0.008894846,0.1608249,0.01079522,0.7687577,0.4158628,0.9739136,0.850873,0.5963799,0.6686295,0.7160646,0.5140631,0.8841351,0.7432952,0.02987116,0.741017,0.9569693,0.8629425,0.8278989,0.7132229,0.06046772,0.2793892,0.9869417,0.8257325,0.9305163,0.8434359,0.8895415,0.2191139,0.5754096,0.8893533,0.9352448
"PDD5",0.9066941,0.7247588,0.1346245,0.8820545,0.9278787,0.7294288,0.9088584,0.8419082,0.8450843,0.7967546,0.7647102,0.9274088,0.1403602,0.9075696,0.7989585,0.6784862,0.7258481,0.8211906,0.7758671,0.7970369,0.8865469,0.8679662,0.9021674,0.8490344,0.75296,0.665334,0.9427832,0.8779445,0.1259687,0.3938081,0.2088125,0.6248772,0.8522413,0.1986877,0.938723,0.8806905,0.4670878,0.8220883,0.8154471,0.6477682,0.9047457,0.9005379,0.9311735,0.8398884,0.8590293,0.7708827,0.920043,0.4115198,0.9395894,0.87953,0.8896124,0.7527333,0.7541863,0.9240922,0.3402597,0.9128338,0.6149285,0.9211541,0.6575568,0.8714579,0.8481951,0.7522011,0.04195389,0.00691484,0.9774828,0.7755418,0.7227988,0.4074914,0.9092682,0.7225435,0.8244466,0.08749317,0.9317879,0.935481,0.2064188,0.8248216,0.9555022,0.7633547,0.9411595,0.01473908,0.07005286,0.01216931,0.66825,0.5828471,0.9476298,0.8416151,0.6938453,0.775955,0.8416065,0.4391058,0.9480755,0.8686096,0.03799432,0.8167325,0.9392902,0.8445885,0.7715807,0.6150507,0.193038,0.3631473,0.9642564,0.88293,0.8722193,0.8317329,0.9324318,0.2388216,0.7026913,0.8961265,0.8473229
"PD37",0.9565423,0.730983,0.03780336,0.8144526,0.9123377,0.7452206,0.9475976,0.8505134,0.7695495,0.7624721,0.7060066,0.9112703,0.09658485,0.8040509,0.7661173,0.6040233,0.6531822,0.8555696,0.8090631,0.8415511,0.8548593,0.8966857,0.8767541,0.7947249,0.7038486,0.6065958,0.9445968,0.8418178,0.003910854,0.3721046,0.2287761,0.6797815,0.8411861,0.2874772,0.9020612,0.7757597,0.4443338,0.8151286,0.9208895,0.5694995,0.8014758,0.860246,0.9099384,0.7781428,0.8407347,0.770551,0.8426878,0.498404,0.912758,0.856488,0.829858,0.7885705,0.7767016,0.8770882,0.3210957,0.9507851,0.624727,0.929848,0.8730098,0.8439693,0.9408577,0.6340291,0.0129895,0.01049711,0.9526007,0.6641664,0.6900357,0.4810197,0.7944724,0.8070928,0.8170136,0.1671315,0.9040258,0.8636888,0.08052638,0.8573293,0.9568616,0.7863676,0.9180804,0.01511651,0.1357299,0.0007001167,0.6903381,0.6274463,0.9714797,0.812773,0.6833476,0.7228542,0.7426288,0.3628446,0.91393,0.7532094,0.02535566,0.7982304,0.9370982,0.8533025,0.7860796,0.5573806,0.07513915,0.3795021,0.9841312,0.7929104,0.858428,0.79318,0.9122682,0.2611749,0.7464116,0.9657727,0.83348
"CTRL80",0.9671237,0.6470902,0.03406478,0.911054,0.9388713,0.4941035,0.931694,0.781201,0.7898105,0.7494813,0.6847231,0.960339,0.06235044,0.7631713,0.7142766,0.5538569,0.6167729,0.8954459,0.8296301,0.8706246,0.8648261,0.8960649,0.8432032,0.6684708,0.7004742,0.6583919,0.9566496,0.898852,0.08692378,0.3008691,0.1871469,0.3849946,0.8151798,0.1036067,0.9228145,0.6615139,0.361965,0.8403344,0.8901427,0.4760561,0.7661428,0.8463043,0.9243138,0.8068036,0.807405,0.7071884,0.8814155,0.3900984,0.9513175,0.7412022,0.9113493,0.6982506,0.6851741,0.9222665,0.276731,0.8887136,0.5984265,0.9317265,0.8170078,0.9067106,0.9448915,0.5436723,0.01926752,0.005323991,0.9475389,0.7170389,0.5257147,0.3878861,0.8288539,0.7867475,0.8154936,0.2177133,0.8868959,0.925458,0.06074689,0.8602335,0.9702019,0.7522604,0.8443138,0.01233773,0.0688536,0.009928044,0.7432643,0.501269,0.9678393,0.8420427,0.6614062,0.6757506,0.7289964,0.4480847,0.9077448,0.7848135,0.029191,0.7900377,0.893313,0.8075123,0.8001245,0.4247212,0.1113811,0.4007793,0.9782948,0.8465493,0.9101052,0.815359,0.9575347,0.2145773,0.5666564,0.9211848,0.8539303
"PDD74",0.9834885,0.6779012,0.0295082,0.7841871,0.9155532,0.4443298,0.9632261,0.8201869,0.7403999,0.710225,0.7028155,0.9146574,0.08992049,0.9009577,0.7462488,0.5108707,0.6374487,0.8423549,0.8512412,0.8291704,0.8514739,0.8964239,0.879203,0.7537208,0.6856639,0.5751725,0.9284845,0.8429956,0.07320551,0.2784364,0.273548,0.6048876,0.8125533,0.1753125,0.9226528,0.6795631,0.447742,0.7442745,0.9403086,0.5097178,0.8579873,0.9298061,0.927746,0.8046962,0.8711584,0.7693886,0.8787571,0.2973399,0.9376318,0.7276174,0.7745218,0.8192724,0.788144,0.8870602,0.2761224,0.9120372,0.6522646,0.9399161,0.8594494,0.8838377,0.9609419,0.6311048,0.02694706,0.01549869,0.9611204,0.7763055,0.4962772,0.4494992,0.8370279,0.8439748,0.7665402,0.1884375,0.9210465,0.8974562,0.09923868,0.8799531,0.9628651,0.7395672,0.8858766,0.01934294,0.110731,0.007038123,0.7051751,0.6068587,0.9822585,0.8512394,0.6572095,0.7345677,0.7306064,0.4055882,0.9294344,0.8698923,0.06918431,0.7638933,0.9613342,0.8087713,0.7537299,0.6517317,0.058321,0.3494727,0.9853859,0.8790025,0.9213139,0.8158307,0.893118,0.1720232,0.6762055,0.9548516,0.9151798
"CTRL62",0.9573221,0.7196852,0.0001248706,0.8811893,0.906411,0.6386395,0.9487866,0.8544016,0.760508,0.7828758,0.6880637,0.8859762,0.05526834,0.785571,0.809418,0.5601235,0.6307071,0.8630029,0.8611554,0.8386052,0.8423042,0.8605144,0.8485145,0.7610547,0.7272063,0.5778567,0.9428686,0.9010594,0.0879174,0.279855,0.243448,0.5109375,0.8181232,0.1674368,0.913908,0.7412565,0.5115835,0.7915764,0.9097539,0.4910197,0.7545179,0.894204,0.9249647,0.8600269,0.9078769,0.6929882,0.8713968,0.4108045,0.9210437,0.9175138,0.8199983,0.8172898,0.7587747,0.9013009,0.323179,0.9455517,0.6575735,0.8861621,0.8264404,0.8188024,0.9242885,0.566755,0.01973693,0.003466798,0.975873,0.6417374,0.6092144,0.3638188,0.8439078,0.8280698,0.7311588,0.1273648,0.9173651,0.9067566,0.06079905,0.8640225,0.9720782,0.7706576,0.8697607,0.01421218,0.08417227,0.007270268,0.6896768,0.563104,0.959598,0.8663597,0.6566924,0.7503648,0.6838808,0.4594525,0.9283246,0.7408774,0.03277414,0.7484083,0.9515785,0.8058894,0.8749422,0.6506634,0.08057186,0.3562192,0.9789767,0.8299778,0.8852108,0.8114211,0.8604296,0.2423509,0.6335235,0.9342152,0.848057
"PD3",0.8792417,0.6359969,0.08455805,0.8240039,0.9458805,0.6007125,0.8905028,0.8380983,0.7466083,0.835241,0.7423756,0.9155172,0.1052437,0.8937946,0.8228983,0.6246993,0.6927854,0.8596033,0.7980666,0.7948009,0.8576879,0.8451657,0.9094632,0.8133752,0.7564655,0.613181,0.8893397,0.7780583,0.1123788,0.437718,0.2390865,0.6084564,0.832279,0.269297,0.9212733,0.7840467,0.4553473,0.8447582,0.8890043,0.5154084,0.8285493,0.895481,0.9228954,0.8290995,0.8963329,0.7553737,0.8873646,0.5125914,0.9590019,0.8195833,0.8261042,0.7804342,0.8036596,0.904992,0.3824418,0.9107304,0.6216174,0.9315843,0.7862679,0.859338,0.9092284,0.6340142,0.03983225,0.01331767,0.9729153,0.7003041,0.718618,0.4101859,0.8967834,0.8586802,0.785206,0.1252496,0.931189,0.8694633,0.1875437,0.8671671,0.9319658,0.7712249,0.8964732,0.02722843,0.1714541,0.02720528,0.7139932,0.4885022,0.9422155,0.8004071,0.6942121,0.7213503,0.8430059,0.4155648,0.9221082,0.7603309,0.03575003,0.8085096,0.9561731,0.8903131,0.6654866,0.7739308,0.1157251,0.3566623,0.9596863,0.9035237,0.8738379,0.8222914,0.8923461,0.3701543,0.6995888,0.9179115,0.8303177
"CTRL39",0.9619271,0.7873781,0.04886312,0.8544565,0.8825391,0.6421068,0.8885013,0.8093266,0.7364554,0.7826076,0.7221859,0.8691739,0.0794915,0.8420077,0.7228888,0.5909128,0.6594749,0.8457651,0.806814,0.7959911,0.8732519,0.8714637,0.8299702,0.7426072,0.7056016,0.6151326,0.9185083,0.8694353,0.0582913,0.39574,0.216998,0.5279023,0.7712844,0.1363924,0.9281812,0.74631,0.5820178,0.8075375,0.9305291,0.5323486,0.7348611,0.8654331,0.9073493,0.8796875,0.8905108,0.6988235,0.8892438,0.5510142,0.904704,0.9180279,0.8533185,0.7189623,0.7960629,0.9191271,0.3290913,0.9109552,0.559325,0.9223448,0.8535857,0.8730382,0.9359763,0.5755365,0.04314148,0.01077473,0.966995,0.7224451,0.576835,0.4037195,0.8912726,0.7866406,0.7249677,0.1281598,0.9239627,0.8463388,0.1926318,0.8894133,0.9694968,0.7745543,0.9348809,0.01655202,0.1466922,0.01041938,0.734783,0.5008618,0.960046,0.8099947,0.6149577,0.665588,0.7178114,0.4721337,0.9194161,0.7739237,0.0288205,0.7426577,0.941235,0.8121162,0.8611432,0.699826,0.04891534,0.344877,0.9795485,0.7658401,0.9073678,0.8137372,0.8587002,0.2838709,0.7035677,0.9051388,0.873708
"CTRL97",0.9689214,0.7298871,0.04592987,0.8486351,0.8328055,0.5946835,0.9112867,0.8883072,0.7843354,0.7718203,0.7165382,0.8917643,0.08199753,0.8378796,0.8040896,0.6033309,0.7305599,0.8905691,0.8754204,0.8206557,0.8716297,0.8711602,0.8534214,0.7380036,0.730751,0.5891209,0.9426739,0.8449312,0.08770584,0.3507826,0.1999639,0.4718039,0.8019142,0.2030385,0.9336805,0.7648234,0.4680235,0.8119898,0.934876,0.5230099,0.8117818,0.9150781,0.8928674,0.8210959,0.8535476,0.7182671,0.8786168,0.4291509,0.9415165,0.9253708,0.8694905,0.8137775,0.8780286,0.8846578,0.3384069,0.9390214,0.6396239,0.9091777,0.7539797,0.8614412,0.9538134,0.6246766,0.02216529,0.004005393,0.5433161,0.6207455,0.5995192,0.4537397,0.8472184,0.8572364,0.8081272,0.1505255,0.8712833,0.8811926,0.2026333,0.8659184,0.9730773,0.787612,0.8971735,0.01748692,0.141679,0.007279166,0.7096291,0.4976919,0.9392893,0.8376448,0.6444023,0.7116595,0.7536741,0.4245679,0.8962928,0.7574852,0.02888515,0.8116745,0.9171568,0.8641013,0.8597458,0.6036634,0.04887688,0.3865513,0.983759,0.8177138,0.9128209,0.8339244,0.8502037,0.3178793,0.6419464,0.9165965,0.8713393
"PD47",0.9696865,0.654159,0.03283677,0.8145641,0.8644686,0.5085157,0.9655462,0.7863303,0.727839,0.6822694,0.7149677,0.8845925,0.06776084,0.7365459,0.7405025,0.5222023,0.6184705,0.8552536,0.8077896,0.7342827,0.8452545,0.8354855,0.854985,0.682263,0.7045371,0.4984495,0.9476371,0.7684928,0.03318179,0.3728726,0.1832187,0.5280632,0.7165894,0.1483423,0.9346889,0.813929,0.4132435,0.7697963,0.9573447,0.4914578,0.748931,0.835072,0.9141321,0.8620788,0.8325213,0.7317348,0.8251456,0.4453225,0.9301029,0.9300311,0.7901715,0.7155115,0.8399868,0.8892576,0.2982974,0.9577075,0.6068786,0.9140933,0.8216146,0.8058536,0.9549245,0.5639697,0.04114111,0.007288708,0.9667921,0.6585144,0.54989,0.3662567,0.8218064,0.7392035,0.7081101,0.1320755,0.9213701,0.8311795,0.1460956,0.8528311,0.9403609,0.7560479,0.9342248,0.01962989,0.1137451,0.003735326,0.6809674,0.5385718,0.9549622,0.7750521,0.541083,0.6505912,0.6761821,0.428679,0.8974906,0.7122285,0.03827898,0.6713146,0.9382783,0.7561897,0.8023446,0.7406744,0.08057246,0.3318409,0.9817787,0.7860118,0.862219,0.8155176,0.7877091,0.2795834,0.5701963,0.9107521,0.8283618
