"","cg05213073","cg17805199","cg07996485","cg23834525","cg23657782","cg07918736","cg00208274","cg06952719","cg17434329","cg01866897","cg01684784","cg14904079","cg00391977","cg21057613","cg13690038","cg20357416","cg15175129","cg14318068","cg10159529","cg12372924","cg21598294","cg21864071","cg07253510","cg06340519","cg08051076","cg24665412","cg18993457","cg16582273","cg18961944","cg18127922","cg18880384","cg02276614","cg14856606","cg04030905","cg22181664","cg02853470","cg21700774","cg25936334","cg18879998","cg12556775","cg04956254","cg20936920","cg03766823","cg12315735","cg15524170","cg24517989","cg12882476","cg00657759","cg20822380","cg04892765","cg10778636","cg08368441","cg26115216","cg23458989","cg05162137","cg05279387","cg22364932","cg24855045","cg07729842","cg03321592","cg03967521","cg21157115","cg06410591","cg12273368","cg14540792","cg11423096","cg20015921","cg21595526","cg01785566","cg24683035","cg19259574","cg00801765","cg06878361","cg10687936","cg24384430","cg26222689","cg00612672","cg22878489","cg16115647","cg05739014","cg05747963","cg09638266","cg16085649","cg23986918","cg24287218","cg15310800","cg22250642","cg11341440"
"PDD26",0.9748439,0.6469074,0.9319199,0.09406607,0.965657,0.7243214,0.4106897,0.01557519,0.9620199,0.9578599,0.9165587,0.962018,0.4570994,0.01395205,0.02246842,0.7649639,0.2314959,0.8654368,0.8819426,0.9611139,0.9587338,0.009820963,0.9563804,0.9237296,0.006233008,0.9051733,0.07382904,0.1731668,0.01363084,0.277518,0.4696936,0.9336107,0.8332241,0.0140593,0.9057132,0.9305862,0.9820198,0.05610299,0.941227,0.9797811,0.9420933,0.9341154,0.005308078,0.9033021,0.7882069,0.6751675,0.009950249,0.02690412,0.9250715,0.6762939,0.6833111,0.01491604,0.8667358,0.9099255,0.01582918,0.5661431,0.9706572,0.7228059,0.6030593,0.03359381,0.009203537,0.0006833394,0.1205857,0.2311034,0.07316354,0.4025939,0.01535343,0.009131293,0.978962,0.01286852,0.03499495,0.8641591,0.14479,0.9338614,0.07288002,0.9315643,0.8546508,0.5808962,0.171999,0.9824294,0.95784,0.9682488,0.4207852,0.8761864,0.7848176,0.971252,0.01207095,0.8759597
"PDD25",0.9696229,0.746791,0.9380194,0.114548,0.9676777,0.7106725,0.5687652,0.02044215,0.9602558,0.9725895,0.9503411,0.942985,0.4305538,0.01416935,0.03320333,0.7913101,0.2523622,0.8996867,0.9361772,0.981756,0.9653366,0.005353416,0.8915236,0.9059099,0.007484088,0.9385724,0.123792,0.08366518,0.0111953,0.3983539,0.69541,0.9303797,0.8488413,0.009545533,0.940473,0.8928994,0.9645451,0.0458595,0.9703232,0.9862221,0.8635766,0.9481894,0.01123221,0.8809449,0.8501628,0.6851393,0.005543237,0.02254541,0.862235,0.7231384,0.7688332,0.03099947,0.860559,0.8558432,0.004893964,0.5811011,0.9730193,0.8089812,0.6773616,0.05113896,0.004443834,0.0005550569,0.07017395,0.3002082,0.06812134,0.384942,0.01808969,0.01160524,0.9705543,0.006362019,0.03359289,0.8459793,0.08233701,0.9600624,0.2110997,0.9430108,0.9054824,0.538123,0.1813506,0.9734671,0.9549795,0.9579812,0.4499939,0.8933223,0.7446477,0.9298832,0.008867843,0.7841182
"PD1",0.9551639,0.7391096,0.9469637,0.08633929,0.9573586,0.701455,0.4033936,0.0269625,0.9756188,0.9610083,0.9040945,0.9287918,0.4724096,0.01186992,0.02171898,0.7384749,0.2096932,0.9247244,0.879674,0.9721064,0.9712186,0.008137916,0.9538934,0.8892125,0.01515776,0.9002187,0.1233955,0.1107897,0.00623497,0.2910542,0.4246613,0.9541772,0.8344777,0.005118533,0.912324,0.8497131,0.98893,0.04522672,0.9562534,0.9797482,0.8881301,0.9637279,0.004801975,0.922819,0.8466811,0.7287873,0.008417075,0.01104782,0.9138779,0.5854376,0.6701247,0.01218251,0.8971096,0.8914276,0.002829197,0.5378562,0.9520729,0.7149398,0.5392819,0.04153592,0.003770091,0.0009647496,0.1205651,0.2850156,0.1867981,0.3950157,0.02789246,0.003173029,0.9683095,0.005891498,0.02399139,0.8502237,0.1365445,0.9351346,0.1251396,0.947253,0.8265669,0.612521,0.2267418,0.9729999,0.9466341,0.9400018,0.411448,0.8928001,0.7629157,0.9508766,0.008914764,0.8551865
"CTRL24",0.9719848,0.5565578,0.9336776,0.1189237,0.9649975,0.6618958,0.3087434,0.017931,0.95849,0.9724759,0.8960582,0.9408297,0.4631932,0.0104712,0.02427062,0.7055908,0.244094,0.9155414,0.8545321,0.9732706,0.946075,0.002350678,0.9597797,0.8754799,0.01598368,0.8761211,0.1412771,0.1638221,0.007122277,0.3577313,0.5033867,0.943514,0.8365573,0.01101601,0.863957,0.8403675,0.9841274,0.06334597,0.9556576,0.9855634,0.90388,0.9401759,0.007854513,0.8703456,0.7765405,0.6656218,0.003615983,0.01169267,0.9318339,0.5942307,0.6967206,0.01295471,0.8747867,0.8780259,0.007992734,0.5023815,0.9712306,0.7842949,0.5769887,0.04386182,0.001497332,0.002116803,0.1971895,0.3148418,0.1650953,0.354339,0.02855055,0.004557797,0.9693524,0.007726864,0.04115064,0.7554004,0.1789122,0.9181243,0.0545679,0.9399163,0.8091309,0.5956325,0.1991818,0.9831752,0.94868,0.9465183,0.4181983,0.8597523,0.7082116,0.9251398,0.01024571,0.9026867
"PD55",0.9545592,0.6330433,0.8858558,0.07350992,0.9608545,0.7419178,0.3817741,0.006134563,0.9623321,0.969784,0.9152529,0.9403572,0.4788021,0.01280942,0.01561885,0.768666,0.2554948,0.9076658,0.8594642,0.9867422,0.974923,0.01498127,0.9608195,0.8820021,0.003002473,0.8575722,0.1171229,0.08284212,0.01005114,0.2801339,0.4274993,0.9737845,0.8664915,0.005986528,0.9389747,0.8704804,0.9885122,0.04879049,0.9707992,0.9855958,0.8981477,0.9301263,0.004886571,0.9119456,0.7571506,0.614862,0.004930312,0.006458172,0.931885,0.7424435,0.6304368,0.01416724,0.8546256,0.916492,0.002263083,0.5090797,0.9649409,0.7072733,0.5751059,0.04187605,0.002138967,0.001630604,0.1447539,0.3304963,0.1762413,0.3633953,0.02579397,0.01661095,0.9860002,0.01091073,0.02918993,0.7923508,0.1025323,0.945875,0.06754495,0.9530342,0.7984778,0.5346296,0.1707304,0.9653712,0.9567721,0.9202935,0.3823716,0.8981528,0.7195651,0.9399794,0.01131268,0.8840061
"CTRL15",0.9386592,0.6355023,0.9338309,0.07848657,0.9596592,0.6961072,0.408452,0.02502753,0.9428934,0.9500999,0.9092155,0.9020537,0.419878,0.01094092,0.01595075,0.7008319,0.2200169,0.8583373,0.8571058,0.9833872,0.9759214,0.01538092,0.9260479,0.8463489,0.009322503,0.8765635,0.110792,0.1242873,0.00434628,0.334474,0.5573927,0.9636458,0.7884628,0.008758609,0.8529866,0.8010907,0.9759394,0.04620784,0.9397135,0.9794522,0.8492177,0.97344,0.009942768,0.8473474,0.792419,0.6675285,0.006735381,0.01437042,0.906121,0.6325472,0.6018547,0.01248918,0.8598146,0.8785011,0.01330485,0.5241465,0.9597264,0.6883818,0.5310785,0.03586732,0.006372953,0.0004614567,0.1306272,0.2609356,0.214471,0.3973264,0.0221527,0.009019309,0.9758601,0.01557719,0.02664658,0.7548973,0.1148653,0.9370429,0.105915,0.9343111,0.8400025,0.5309343,0.1705311,0.9785372,0.9409958,0.9509185,0.4485888,0.8649072,0.6851093,0.9160357,0.006291991,0.7734868
"CTRL63",0.9528709,0.7074022,0.9422219,0.09448831,0.9729247,0.7803328,0.2605693,0.02923396,0.9475348,0.9414407,0.8934593,0.9180763,0.4599506,0.01127155,0.01086475,0.762074,0.2630358,0.8526781,0.9124684,0.953419,0.9831546,0.008949118,0.956154,0.8818446,0.01291689,0.8907022,0.1005467,0.07686057,0.004177441,0.2765853,0.5631797,0.9285715,0.8855603,0.009938992,0.8795722,0.9042308,0.988571,0.05383305,0.9771261,0.9893368,0.7727247,0.9208206,0.01028891,0.9044732,0.8618512,0.7031396,0.005905659,0.009706361,0.9159816,0.6669863,0.6625064,0.018113,0.9156545,0.9240157,0.009555695,0.4630139,0.9736451,0.7269078,0.7041184,0.05806892,0.006663281,0.003507969,0.08312001,0.2880501,0.1356321,0.5079614,0.02654172,0.005035159,0.9752494,0.009050077,0.01634726,0.8960126,0.06664328,0.9332462,0.0345583,0.9437602,0.8978093,0.5327927,0.1208495,0.9827233,0.9470256,0.9234312,0.3785051,0.8886843,0.7845191,0.9521145,0.006091964,0.8857604
"PDD60",0.9689689,0.7204041,0.9507144,0.07462997,0.9788312,0.7296742,0.4098704,0.09820794,0.9424855,0.9468787,0.9216666,0.9172948,0.3710919,0.008878579,0.02486222,0.7124073,0.1832696,0.8759363,0.9097435,0.9834672,0.9427927,0.004087054,0.8988995,0.9057442,0.00714592,0.9105083,0.1961901,0.07282531,0.01152197,0.3809589,0.6766092,0.9422406,0.8644179,0.01667596,0.9094182,0.8527632,0.9904632,0.07040987,0.9611048,0.9880581,0.768908,0.9816115,0.008120513,0.9204966,0.8307791,0.7000623,0.01021873,0.01527225,0.8951554,0.6227734,0.6988413,0.01613879,0.7426832,0.806112,0.01512392,0.5577646,0.9714389,0.6981974,0.6191172,0.04380637,0.001196346,0.0006480207,0.1269694,0.3007173,0.2164705,0.31901,0.0505003,0.0007560722,0.9640945,0.009979886,0.03877979,0.8081396,0.09770381,0.9689016,0.1888031,0.9328446,0.8428046,0.539969,0.1343096,0.9633797,0.9385619,0.9207724,0.4157822,0.8305688,0.6692257,0.9344931,0.002213001,0.7133142
"PDD51",0.9587696,0.6620815,0.9012119,0.07471323,0.9503907,0.6193084,0.3889415,0.02907471,0.9504187,0.9570796,0.885649,0.9285476,0.3387703,0.01792638,0.02289196,0.6933187,0.157448,0.8405497,0.8224,0.9676531,0.9415679,0.008830522,0.9043285,0.7794921,0.01723623,0.8866925,0.1290607,0.1079657,0.009764342,0.3130307,0.4649863,0.9250991,0.896792,0.01717182,0.863983,0.8890798,0.9841732,0.08754039,0.9436118,0.989902,0.7319296,0.9630614,0.009996615,0.8308042,0.7575545,0.6071417,0.01182376,0.01608821,0.923983,0.5961977,0.6045593,0.01270507,0.8445897,0.8475118,0.008171287,0.4221045,0.9784194,0.681208,0.4418805,0.07822686,0.002966281,0.004311688,0.1391946,0.1962698,0.1363288,0.1943914,0.03605932,0.006912153,0.9560988,0.01824119,0.0322194,0.8156747,0.07480312,0.9395542,0.08104666,0.8737766,0.815711,0.5427959,0.137955,0.9621739,0.9029418,0.9109337,0.2721693,0.8885413,0.6639061,0.9170906,0.007554403,0.745787
"PDD43",0.9622237,0.710374,0.9225939,0.08470366,0.8994859,0.6766832,0.4209159,0.01348967,0.9652763,0.9451846,0.886302,0.9314213,0.4387738,0.01693731,0.01661184,0.7310409,0.2343216,0.9081383,0.8504772,0.9831176,0.9664345,0.01069296,0.9185277,0.8864932,0.01777975,0.8903587,0.1351119,0.1671316,0.007425578,0.3066963,0.3001203,0.9327327,0.8736011,0.009770877,0.9299876,0.8354979,0.9783164,0.07011023,0.9493242,0.9811745,0.8304205,0.9364129,0.005741786,0.8413557,0.6933763,0.5971106,0.01165266,0.01039906,0.9326167,0.6767447,0.5651279,0.02062804,0.8087276,0.8911222,0.01688889,0.5028435,0.9548924,0.7094898,0.541904,0.03844268,0.007027032,0.0008679941,0.1177127,0.1979287,0.1354329,0.4582031,0.03796079,0.01260723,0.9495767,0.009602036,0.02783168,0.7939658,0.1166463,0.9165939,0.1277447,0.9276003,0.8624902,0.5904645,0.1989554,0.970271,0.9296867,0.9232843,0.2391354,0.8653281,0.7669439,0.9249099,0.008200923,0.889974
"PD14",0.9573063,0.7014485,0.9454039,0.08831883,0.9535793,0.7485127,0.4399516,0.05569127,0.9646193,0.9384461,0.9140319,0.9190344,0.4794852,0.0151929,0.0270516,0.8306873,0.3041551,0.8101285,0.9059761,0.9690961,0.9817363,0.006373232,0.9415347,0.9023887,0.01128903,0.947002,0.1679951,0.04465413,0.007678631,0.3573873,0.5649134,0.9385097,0.8254671,0.0132509,0.9072876,0.8000373,0.9901611,0.05353874,0.9506414,0.9894445,0.9146871,0.9276146,0.005996302,0.9295866,0.9065865,0.7765581,0.007126097,0.01524767,0.9410232,0.5633644,0.6671644,0.01941553,0.9196767,0.8613852,0.01066014,0.5736539,0.9612602,0.7519953,0.5959154,0.04312967,0.00376874,0.0005130814,0.1460754,0.2400372,0.2521483,0.3802456,0.02058002,0.01158096,0.972197,0.01411466,0.02956428,0.7889853,0.08639991,0.9093973,0.06046772,0.9082939,0.8903627,0.5643207,0.1247429,0.9833703,0.9623861,0.9548066,0.4153428,0.8407234,0.7291108,0.8893533,0.01023532,0.9352448
"PDD5",0.9591125,0.7247588,0.92167,0.09689217,0.9485225,0.7430582,0.4029405,0.03323134,0.9582217,0.928045,0.9317443,0.9274088,0.4692189,0.01650273,0.02620841,0.786489,0.2112112,0.8421946,0.8993136,0.929462,0.9550957,0.01668967,0.9427832,0.9196533,0.01420176,0.9207719,0.1786182,0.1541,0.0134988,0.3938081,0.4982622,0.894403,0.8197402,0.02408667,0.897784,0.8590293,0.9778474,0.07241083,0.9583493,0.9838468,0.7909502,0.9069377,0.0172266,0.9221254,0.8317919,0.7350803,0.01768152,0.03390831,0.8760792,0.5564824,0.7327602,0.02404667,0.7485493,0.8785851,0.01585086,0.5900713,0.9682362,0.7153221,0.7103562,0.03921982,0.00691484,0.004180833,0.08749317,0.4100649,0.2796529,0.3189974,0.03204563,0.01839144,0.9604783,0.01601679,0.02444575,0.8672922,0.1382704,0.8888259,0.193038,0.9239926,0.9432145,0.5321356,0.1531194,0.9626799,0.9677176,0.9613857,0.611409,0.8730414,0.7302374,0.8961265,0.01939599,0.8473229
"PD37",0.9393835,0.730983,0.9320993,0.09074254,0.9604375,0.6742152,0.3566831,0.02354061,0.9395982,0.9721616,0.9146812,0.9112703,0.4622702,0.01856131,0.01652408,0.7539959,0.2460113,0.8685716,0.8753894,0.9710906,0.981035,0.00455348,0.9445968,0.8921013,0.01076967,0.8900819,0.1440579,0.1111036,0.01451783,0.3721046,0.4109965,0.9190867,0.8422494,0.00762791,0.9178695,0.8407347,0.9981085,0.05474493,0.9484134,0.9817028,0.8242209,0.9534777,0.01656726,0.912315,0.7747603,0.639176,0.0079678,0.003824395,0.9571594,0.7172742,0.6835954,0.02621865,0.8757145,0.8923495,0.007218785,0.531417,0.9729635,0.7071334,0.6765606,0.05271499,0.01049711,0.0008423301,0.1671315,0.3069711,0.245656,0.471953,0.028541,0.003757044,0.9728256,0.01305695,0.01869054,0.8424266,0.1385102,0.9412246,0.07513915,0.9446306,0.8415465,0.5449505,0.1818949,0.9681516,0.9374889,0.921542,0.4430956,0.9003667,0.7157992,0.9657727,0.005815972,0.83348
"CTRL80",0.9502807,0.6470902,0.927272,0.05339098,0.9574129,0.7917783,0.3053552,0.03937532,0.9534724,0.9606688,0.8988157,0.960339,0.4007021,0.009224191,0.02354024,0.7242621,0.150047,0.7994954,0.9081897,0.9726331,0.9797497,0.003621138,0.9566496,0.9074438,0.008189464,0.8678925,0.1624811,0.08684957,0.008261501,0.3008691,0.4150509,0.9503747,0.7937445,0.03403874,0.9189585,0.807405,0.988252,0.06841612,0.9792522,0.9822426,0.8306242,0.954023,0.007581173,0.9213885,0.8200729,0.7075935,0.009255797,0.01407004,0.8899118,0.5015012,0.6240444,0.02187069,0.8664484,0.8677334,0.0008552125,0.4782009,0.9670893,0.6514582,0.574267,0.03917326,0.005323991,0.004524386,0.2177133,0.2547718,0.1704389,0.286253,0.02533266,0.002829712,0.9652425,0.005119891,0.02593711,0.8471666,0.05441635,0.9567089,0.1113811,0.9474325,0.8867136,0.5123612,0.1253812,0.9789894,0.9598074,0.920785,0.328562,0.8626604,0.6734851,0.9211848,0.005438477,0.8539303
