"","cg05533922","cg05238843","cg10401223","cg09447640","cg17414971","cg10351360","cg13841043","cg12961175","cg26532087","cg23261533","cg10655125","cg21808985","cg08717168","cg21699868","cg22629941","cg12997640","cg11927004","cg12777530","cg07711600","cg18374944","cg08492515","cg17502102","cg03260858","cg08219548","cg07750690","cg26382680","cg24224180","cg02673680","cg08709087","cg08909934","cg01755841","cg06001803","cg27153146","cg05017379","cg25784611","cg09024948","cg11420269","cg01727409","cg08406749","cg15524170","cg17810601","cg24911714","cg26029058","cg10637657","cg21195480","cg22524462","cg22199238","cg13538749","cg07345911","cg00775816","cg13102418","cg22510961","cg03040092","cg14841103","cg15765046","cg17346974","cg16488105","cg17292712","cg03234023","cg17741937","cg20075042","cg10223464","cg17139988","cg14736971","cg04549489","cg19888581","cg05217838","cg10894567","cg09296845","cg03741773","cg19903593"
"PDD26",0.2380606,0.9048673,0.9334775,0.9030561,0.9743972,0.937784,0.930214,0.9494373,0.9677401,0.9677538,0.9814243,0.8935617,0.9136547,0.8591462,0.8746397,0.9626782,0.975657,0.9390207,0.8646373,0.9344609,0.002286556,0.956564,0.8489897,0.9798951,0.7675639,0.9257422,0.9593491,0.937366,0.9296829,0.8548069,0.3622078,0.9554829,0.9591515,0.02599572,0.8918327,0.8528792,0.9496139,0.9026897,0.974639,0.7882069,0.9623305,0.8783175,0.8620449,0.9657519,0.9609684,0.9334357,0.6111402,0.970235,0.9261568,0.8737005,0.9653039,0.6786823,0.8292646,0.7193846,0.8958563,0.4318276,0.8965879,0.9687294,0.9788704,0.802096,0.9244154,0.9153392,0.9292615,0.9894091,0.9624476,0.9485559,0.9404617,0.9705356,0.9841803,0.9887288,0.9479507
"PDD25",0.3443574,0.9343475,0.9305844,0.8821757,0.9580313,0.9312817,0.9274259,0.9402832,0.9699608,0.9691562,0.9799593,0.9375453,0.9182131,0.8813832,0.95689,0.9602269,0.9636085,0.9807042,0.9103627,0.9573844,0.006056767,0.9693616,0.9064611,0.9900053,0.9079508,0.9438288,0.9701568,0.9435569,0.9760399,0.961146,0.4033641,0.9674113,0.9827862,0.01742409,0.9080054,0.898201,0.9121604,0.9133649,0.9818436,0.8501628,0.9672858,0.9170898,0.8644739,0.9676554,0.9530374,0.9413795,0.6657205,0.9642109,0.928996,0.8608532,0.9727894,0.7203242,0.7313001,0.7457688,0.9525592,0.4746889,0.9134511,0.9550987,0.9938096,0.844509,0.9280082,0.9228934,0.7996983,0.9809085,0.9389798,0.9757246,0.962275,0.9555882,0.9649907,0.9864873,0.9497433
"PD1",0.3116535,0.915202,0.9453653,0.8877102,0.9524591,0.9642797,0.9433718,0.9657241,0.9704895,0.9824793,0.9921498,0.942901,0.8836491,0.8322414,0.9529017,0.9415187,0.9740921,0.9716527,0.9070187,0.9102415,0.007960119,0.9347209,0.8736015,0.9895906,0.8963753,0.9315241,0.9596295,0.9338533,0.982009,0.9344562,0.3947904,0.9648896,0.9779902,0.01856375,0.8596689,0.9366149,0.8999363,0.8921211,0.9678462,0.8466811,0.9673602,0.8934978,0.8576769,0.9648963,0.9588361,0.9533901,0.6074115,0.9658223,0.975302,0.8925835,0.9673664,0.6729222,0.8207568,0.715692,0.9476088,0.386504,0.8449339,0.9546189,0.9823916,0.8515251,0.9211909,0.9206856,0.8866476,0.981261,0.9456453,0.9707433,0.9754707,0.9699498,0.9726259,0.9836856,0.9326503
"CTRL24",0.3450754,0.9020218,0.9718489,0.8577261,0.9344599,0.914596,0.9289912,0.9151409,0.9579485,0.9729919,0.985385,0.9434116,0.8610426,0.8912791,0.9241529,0.9403914,0.9518391,0.9567966,0.8541571,0.9198822,0.006432548,0.9519562,0.829444,0.9849228,0.8652115,0.9115565,0.9250853,0.9097158,0.9671031,0.8886459,0.373185,0.9672113,0.976741,0.01405978,0.8295056,0.9228779,0.8870559,0.9260748,0.968769,0.7765405,0.9419339,0.8673969,0.8594598,0.9502149,0.9495597,0.9132039,0.6849924,0.955768,0.9702528,0.8835394,0.9616605,0.6468447,0.8130754,0.6828304,0.9587612,0.3894708,0.8715993,0.9589635,0.9789578,0.7269459,0.8885325,0.9016357,0.9018188,0.9782584,0.938762,0.9426444,0.9265163,0.957475,0.9628668,0.983057,0.8914329
"PD55",0.324426,0.9295029,0.9424787,0.8558308,0.9613097,0.9429098,0.9267055,0.9415091,0.9580363,0.9663993,0.9945973,0.9389874,0.8750535,0.8538506,0.9277742,0.9642435,0.9643114,0.9462107,0.8589273,0.9383389,0.002827529,0.9577863,0.8659114,0.9863063,0.7937205,0.908293,0.9303184,0.9344312,0.9801097,0.9486579,0.3712907,0.9645876,0.9765412,0.01253945,0.8936065,0.9282164,0.9301857,0.914789,0.9618905,0.7571506,0.9550562,0.8830916,0.810277,0.9677663,0.9800357,0.9266795,0.6579573,0.9741509,0.9278704,0.8713396,0.9664656,0.7224282,0.7590166,0.6560223,0.9011186,0.3917585,0.8841667,0.9483144,0.9912688,0.8206629,0.9150372,0.9371799,0.8596946,0.9802577,0.9467655,0.9604472,0.9704571,0.9542933,0.9606831,0.9789872,0.9444466
"CTRL15",0.2641737,0.8913603,0.9520815,0.8736185,0.9359233,0.9425714,0.8593921,0.9606164,0.9574669,0.9814825,0.9729183,0.949542,0.8885811,0.8333332,0.8729425,0.9118473,0.962856,0.9834574,0.8580241,0.9295271,0.006097795,0.9069251,0.8598359,0.9804671,0.8484632,0.9093421,0.9329314,0.9076165,0.9801449,0.9318612,0.4087272,0.9586392,0.9531838,0.01001251,0.8054997,0.9386909,0.8887395,0.9238016,0.9697859,0.792419,0.9560218,0.8841415,0.801984,0.9299587,0.9455101,0.9449028,0.6256459,0.961174,0.9261051,0.8474279,0.9716958,0.628842,0.691728,0.6476383,0.9402585,0.3736082,0.8404929,0.9556481,0.9819403,0.7986431,0.9086127,0.8845613,0.8248209,0.9778009,0.9268011,0.9683301,0.95776,0.932336,0.9572999,0.9720354,0.8969039
"CTRL63",0.2868091,0.8262668,0.9073518,0.9617573,0.9711503,0.9002009,0.9363149,0.9384445,0.967884,0.9810242,0.9801895,0.9480335,0.9110044,0.9402998,0.920606,0.9243955,0.9727425,0.9371306,0.9423455,0.8321727,0.002702792,0.9640939,0.9008414,0.9859332,0.764447,0.9299697,0.9261584,0.9232377,0.9653702,0.9651095,0.384153,0.9606759,0.9716877,0.01448875,0.924348,0.8566784,0.9232054,0.921813,0.9791351,0.8618512,0.9673877,0.9148239,0.8496508,0.9518175,0.9431602,0.8871237,0.6655484,0.9673906,0.8869421,0.8446469,0.9376588,0.4334351,0.7391754,0.6830359,0.916323,0.3919533,0.8773419,0.9692407,0.9844979,0.8899642,0.9472097,0.9302582,0.8208833,0.9788809,0.9608501,0.9730778,0.9749682,0.945884,0.9445923,0.9447197,0.9131257
"PDD60",0.3101836,0.9577346,0.9743844,0.8462462,0.950178,0.9613695,0.8768646,0.9673678,0.9535565,0.9753397,0.9789434,0.9291519,0.8888109,0.8157527,0.8966732,0.9118752,0.9660942,0.951372,0.8902317,0.920842,0.002766465,0.9444167,0.8779734,0.9827399,0.8463319,0.9144321,0.9520056,0.9282975,0.9740307,0.9265751,0.4176064,0.967153,0.9614257,0.01292596,0.8601388,0.9153706,0.8236553,0.9058791,0.960339,0.8307791,0.9604498,0.8584639,0.877909,0.9343384,0.9416883,0.938771,0.783521,0.9568735,0.9216457,0.8154042,0.9703184,0.7500006,0.7890903,0.725829,0.9592115,0.4153961,0.9041778,0.9572178,0.9790212,0.8637557,0.9171831,0.9080466,0.8298787,0.9579894,0.9051071,0.9826958,0.9588596,0.9395323,0.9504568,0.9677894,0.946279
"PDD51",0.2709642,0.9552898,0.9563742,0.7851026,0.9099106,0.9316425,0.8611419,0.9543034,0.9547349,0.9832968,0.9667586,0.9021599,0.8110472,0.7427031,0.9207145,0.9010461,0.9521153,0.9822403,0.7957941,0.9384526,0.006310011,0.9421646,0.8463717,0.9773855,0.7634972,0.9079187,0.9309891,0.9353726,0.9768413,0.9419094,0.4513999,0.9718864,0.9727598,0.0217669,0.8047137,0.8990239,0.8644914,0.8474332,0.9869933,0.7575545,0.9399701,0.8205419,0.7690897,0.9220652,0.968767,0.9543506,0.6291909,0.9471448,0.8704971,0.7431674,0.9704568,0.6308926,0.7015189,0.6066215,0.9540503,0.3196004,0.7954127,0.9447343,0.9854984,0.8043457,0.8920696,0.8826595,0.7909598,0.9751709,0.9450317,0.9721742,0.9379456,0.9351081,0.9336096,0.9630593,0.892749
"PDD43",0.3258876,0.9087149,0.9565216,0.8762547,0.918656,0.9333772,0.8939074,0.9404139,0.9698122,0.9681545,0.9507934,0.9369097,0.8924787,0.8539041,0.9651186,0.950046,0.9440402,0.9303487,0.884446,0.9496276,0.004270819,0.9286198,0.8566894,0.9811472,0.8903748,0.9171161,0.9372943,0.9221731,0.9788152,0.8722975,0.3657792,0.9649283,0.9621451,0.02266635,0.8299993,0.8656942,0.8491283,0.859476,0.9608727,0.6933763,0.9535078,0.876188,0.842563,0.933379,0.9492942,0.9232333,0.6279534,0.9530356,0.9469106,0.8598014,0.9534094,0.6952162,0.8446493,0.6446359,0.9056415,0.2949951,0.8753236,0.9573189,0.9815874,0.8145556,0.9070573,0.9227166,0.9122334,0.9784365,0.9298491,0.9707407,0.9509705,0.9465707,0.9786078,0.9803034,0.90544
"PD14",0.2947902,0.8005479,0.9539138,0.8880255,0.9619726,0.8722118,0.9287137,0.9344662,0.9662495,0.9645587,0.9895093,0.9561632,0.8775541,0.878094,0.8652577,0.940481,0.9706769,0.940027,0.8824422,0.9483438,0.005546911,0.9653805,0.881986,0.9837004,0.928934,0.9341442,0.9643425,0.925289,0.9602277,0.9361773,0.4245682,0.9500759,0.9897,0.01660014,0.8702274,0.9370288,0.887917,0.8709762,0.9757541,0.9065865,0.9591836,0.9304772,0.8983402,0.9669076,0.9691376,0.9218634,0.6784758,0.9691827,0.8986537,0.8743682,0.9672994,0.4569064,0.7632906,0.7189303,0.8893906,0.5113713,0.8885241,0.96843,0.9902793,0.8303829,0.9252258,0.9147235,0.9072313,0.9823951,0.9707458,0.9570463,0.948246,0.9518146,0.9657619,0.9889744,0.9437542
"PDD5",0.2794211,0.807152,0.9182838,0.9008833,0.9574648,0.8731829,0.8844647,0.9406139,0.973992,0.9666875,0.9648049,0.9294182,0.9410395,0.8844284,0.8161537,0.9446042,0.9718247,0.9133999,0.896562,0.9149557,0.006510339,0.9688997,0.9009623,0.9684794,0.9402502,0.9462719,0.9684674,0.9507573,0.9377177,0.9598433,0.4023313,0.9536033,0.9761278,0.02192265,0.8928776,0.9210731,0.9115733,0.8688417,0.9649963,0.8317919,0.9636617,0.9164101,0.8411401,0.9747821,0.9426224,0.935798,0.7206799,0.9752241,0.8503827,0.9003751,0.9538773,0.4965602,0.70979,0.7787363,0.8600588,0.3933586,0.871874,0.971841,0.9902296,0.8805214,0.936853,0.9274465,0.8651142,0.982461,0.9632103,0.9353965,0.9775997,0.9445512,0.9463277,0.9766959,0.9172376
"PD37",0.3838938,0.9310897,0.9493862,0.8914579,0.9457718,0.9369606,0.9181003,0.9237764,0.9584661,0.9820511,0.9681213,0.9267975,0.8857925,0.8434592,0.9180443,0.9322403,0.9714423,0.9449093,0.8929714,0.9175074,0.006003739,0.8880084,0.8678348,0.9874076,0.8524741,0.9078487,0.9564463,0.9601541,0.9832788,0.9079116,0.3835953,0.9505935,0.9761967,0.02607464,0.8606537,0.9311622,0.9022135,0.9191478,0.9596622,0.7747603,0.9536621,0.8827557,0.8478944,0.9426189,0.9651862,0.931153,0.6846641,0.9606226,0.9482259,0.8377566,0.9722443,0.6003217,0.7539491,0.7079181,0.9482105,0.3863725,0.8538226,0.9493267,0.9833783,0.8535218,0.9087812,0.9028301,0.8759449,0.9737077,0.9340465,0.9746573,0.9613964,0.9408628,0.9798773,0.979738,0.9254233
"CTRL80",0.2963211,0.8343322,0.9159236,0.9078169,0.9588975,0.9054646,0.9557609,0.9306711,0.9754946,0.9403181,0.9781551,0.9299928,0.9048897,0.9203988,0.7797831,0.9381917,0.9715151,0.8842276,0.8768431,0.9381837,0.006137483,0.9588678,0.894395,0.9768375,0.9381754,0.8889952,0.9688244,0.9258847,0.9805592,0.9676854,0.4326842,0.9714183,0.9563899,0.01795152,0.9283511,0.9251796,0.8134807,0.8555407,0.9728354,0.8200729,0.956508,0.9029626,0.8481089,0.9817316,0.9496078,0.9305653,0.6953847,0.9661488,0.8211909,0.8181241,0.9741084,0.4544961,0.6441778,0.6226849,0.8755833,0.4395452,0.82562,0.9550092,0.9928587,0.8242289,0.9049237,0.9258085,0.8413315,0.9783809,0.9798225,0.9437681,0.9602268,0.9645228,0.9394877,0.9855019,0.9588663
"PDD74",0.3188486,0.8309353,0.9592869,0.8072594,0.9745789,0.916074,0.8739742,0.9093057,0.9716298,0.9732901,0.9887266,0.9324365,0.9153803,0.8490414,0.924473,0.9423742,0.97672,0.8966282,0.8556421,0.9186144,0.006677519,0.9259323,0.8901455,0.9722067,0.8170337,0.9124136,0.9325438,0.9496619,0.9661416,0.9376654,0.4474918,0.9615858,0.9614797,0.02082117,0.923271,0.9246382,0.9005473,0.9090487,0.9607932,0.8696681,0.9617565,0.8687468,0.8633417,0.9611381,0.9406847,0.9382677,0.5583086,0.97091,0.8915668,0.8145423,0.9729557,0.5701147,0.6635035,0.7013036,0.8865081,0.361695,0.8744782,0.9743201,0.9935253,0.8309778,0.9119458,0.9221059,0.8654737,0.9737058,0.961548,0.954844,0.9651156,0.9415027,0.9376667,0.9757926,0.8987438
"CTRL62",0.3208357,0.8778626,0.9754272,0.863061,0.9679421,0.9044076,0.9180636,0.9486082,0.9572611,0.9730434,0.9788719,0.9498294,0.8843736,0.8669821,0.873435,0.9459401,0.9650074,0.9258202,0.839905,0.9349377,0.00450315,0.930238,0.8600838,0.9790825,0.8275863,0.9342262,0.9415678,0.9540699,0.9959596,0.9417025,0.3714843,0.9662137,0.9670861,0.01689589,0.8804498,0.935437,0.9064348,0.9149411,0.9713743,0.8521818,0.9618294,0.9045499,0.8713965,0.9603226,0.9684357,0.9225572,0.5980721,0.9648427,0.9476991,0.8230972,0.9311183,0.6272561,0.7374536,0.7146308,0.9545057,0.3941611,0.8773982,0.9582969,0.9870406,0.8493667,0.8937337,0.9171748,0.8478413,0.990211,0.9550401,0.9672956,0.9632442,0.9457429,0.9332861,0.9841106,0.9121584
"PD3",0.3084831,0.8346413,0.9111873,0.9094929,0.9440438,0.8413568,0.8948284,0.9213703,0.9601825,0.9514491,0.9743982,0.9112728,0.915488,0.9193337,0.7809075,0.9197746,0.9620043,0.9047037,0.866798,0.9316261,0.00805039,0.9341542,0.9230499,0.9586152,0.9131376,0.9126941,0.9576176,0.9509373,0.9272517,0.9570583,0.421354,0.9604528,0.9625379,0.02730075,0.8906545,0.856133,0.8879414,0.8741463,0.9617039,0.837827,0.9469892,0.902681,0.8616664,0.9672829,0.9295547,0.9249529,0.8006834,0.9710463,0.8386304,0.8685654,0.950959,0.5664215,0.7314165,0.7707055,0.8349125,0.4140168,0.824992,0.9591207,0.9765774,0.9025889,0.9293199,0.9255832,0.9012624,0.9718937,0.9630905,0.9229732,0.954981,0.9590842,0.9565523,0.9754951,0.9498521
"CTRL39",0.4022195,0.8498107,0.9600884,0.8815184,0.944594,0.9210027,0.857192,0.9539617,0.9584165,0.9643697,0.9591591,0.9702829,0.9022577,0.8526853,0.8848775,0.930208,0.9726226,0.9525129,0.8988316,0.9190747,0.004946028,0.9234879,0.8765847,0.9717564,0.8841147,0.9163065,0.96517,0.9422376,0.9651123,0.9373546,0.4242322,0.9600024,0.9785939,0.02752299,0.8917335,0.8981991,0.9056926,0.8979792,0.9551248,0.8193045,0.9544374,0.9049139,0.8886869,0.9577472,0.957161,0.9489152,0.656087,0.966506,0.9505153,0.8460038,0.9779821,0.4921953,0.7105157,0.7903242,0.9270924,0.4816614,0.8680491,0.9443381,0.9839939,0.896782,0.893761,0.9212934,0.8460303,0.9680542,0.9572881,0.9291951,0.9477329,0.9576143,0.9430037,0.9788467,0.9184705
"CTRL97",0.3339261,0.8715738,0.9587839,0.8359555,0.9767161,0.8909717,0.8859724,0.9486488,0.9754286,0.9793192,0.9724103,0.9347802,0.9242849,0.8941801,0.9129439,0.961781,0.9746754,0.9629445,0.9082625,0.9241351,0.01328854,0.9610821,0.8882256,0.9862257,0.9041736,0.8963801,0.9364841,0.95533,0.9691893,0.9473349,0.3483461,0.9619492,0.9814733,0.01739107,0.9028642,0.9070498,0.8457801,0.9074834,0.9451601,0.8779477,0.9455734,0.9092462,0.8682333,0.9718808,0.9527358,0.9814108,0.6520718,0.9695064,0.9180658,0.819163,0.96455,0.5958193,0.8247388,0.7511822,0.9451585,0.3585172,0.9055073,0.9644195,0.982299,0.8691985,0.9095891,0.9381888,0.8688726,0.9757499,0.957294,0.9789801,0.9694007,0.9669695,0.9353017,0.9880566,0.9129718
"PD47",0.2877361,0.9106583,0.9519322,0.8365081,0.9433188,0.9499159,0.837412,0.9034198,0.9457258,0.9585492,0.9771389,0.9303499,0.8635828,0.832059,0.8769293,0.9408154,0.9575004,0.9615532,0.8696731,0.9197165,0.008458388,0.9513041,0.8807639,0.9715849,0.8202719,0.8672531,0.9204903,0.8993121,0.9740067,0.914537,0.3918345,0.9421207,0.9560831,0.02220724,0.8797878,0.9451598,0.8948362,0.9233169,0.9353484,0.7934606,0.9488867,0.9068743,0.8522889,0.9522036,0.9470941,0.9415971,0.6763934,0.9634175,0.8985618,0.8420821,0.9812427,0.6564189,0.6713199,0.6740878,0.9219518,0.4160376,0.848667,0.9594405,0.9788882,0.8664228,0.8929988,0.8919335,0.872943,0.9710693,0.9406522,0.9665145,0.9550837,0.9564594,0.9471106,0.9742017,0.9026834
