"","cg03819286","cg06998282","cg05313680","cg15175129","cg22502206","cg00622654","cg11709544","cg19104399","cg07621949","cg11280964","cg18127922","cg01947949","cg15485670","cg24206614","cg25936334","cg20248774","cg08324610","cg11596241","cg24315042","cg08485937","cg09214323","cg24280297","cg16196713","cg00933411","cg00425213"
"PDD60",0.6847145,0.01727329,0.6682679,0.1832696,0.1618474,0.01207133,0.2446564,0.9607946,0.7567268,0.05231087,0.3809589,0.04041194,0.1620112,0.6195332,0.07040987,0.311791,0.4203195,0.8371985,0.8512635,0.871229,0.8122824,0.009489381,0.005150846,0.8529077,0.7701997
"PDD51",0.4856765,0.05307352,0.6694155,0.157448,0.1329606,0.02322191,0.1946509,0.9608598,0.7346495,0.04135179,0.3130307,0.01554711,0.0967142,0.490357,0.08754039,0.2367104,0.2416856,0.8232219,0.8278721,0.8484749,0.7447644,0.01979871,0.009345794,0.8373279,0.7483955
"PDD43",0.5584256,0.03018978,0.785224,0.2343216,0.1319265,0.0135296,0.226826,0.954127,0.8522122,0.03395403,0.3066963,0.06441477,0.2207792,0.5638949,0.07011023,0.2554111,0.2146317,0.892283,0.9102344,0.8983623,0.7265365,0.01666877,0.01248997,0.9216871,0.8866633
"PD14",0.6439671,0.005621739,0.8262746,0.3041551,0.1619668,0.01180689,0.2112754,0.9706981,0.8679681,0.01511778,0.3573873,0.03318226,0.1527648,0.5416622,0.05353874,0.3024249,0.2438119,0.8387662,0.8700156,0.9403601,0.799025,0.008894846,0.01079522,0.933565,0.7432952
"PDD5",0.6964822,0.1288634,0.7170836,0.2112112,0.146413,0.01663482,0.2699785,0.9481414,0.7612895,0.04101662,0.3938081,0.04590314,0.1886994,0.6361631,0.07241083,0.3402597,0.4730876,0.8714579,0.9187655,0.9399507,0.7633547,0.01473908,0.01216931,0.8600591,0.8686096
"PD37",0.6435519,0.02764364,0.8169615,0.2460113,0.1505927,0.01784143,0.3032557,0.9760444,0.8377994,0.02325784,0.3721046,0.05676613,0.1849406,0.6578772,0.05474493,0.3210957,0.3583515,0.8439693,0.8897437,0.9106624,0.7863676,0.01511651,0.0007001167,0.8535369,0.7532094
"CTRL80",0.5811482,0.005661807,0.7964061,0.150047,0.1845055,0.01252501,0.2250691,0.9639379,0.8223742,0.01400426,0.3008691,0.03364614,0.1438466,0.5068102,0.06841612,0.276731,0.3631773,0.9067106,0.8910087,0.9320526,0.7522604,0.01233773,0.009928044,0.9523955,0.7848135
"PDD74",0.610694,0.04023445,0.8602021,0.1776556,0.1506044,0.01537416,0.2421855,0.9626334,0.8702352,0.05384801,0.2784364,0.06064894,0.2110634,0.6043581,0.07114014,0.2761224,0.3785206,0.8838377,0.9230664,0.9289297,0.7395672,0.01934294,0.007038123,0.8749211,0.8698923
"CTRL62",0.6404089,0.003640725,0.7475961,0.2361657,0.1625807,0.01546511,0.2269076,0.974328,0.8565247,0.02090639,0.279855,0.05814688,0.1468668,0.586125,0.06791809,0.323179,0.3636942,0.8188024,0.8876383,0.927581,0.7706576,0.01421218,0.007270268,0.8642614,0.7408774
"PD3",0.6070085,0.1290988,0.7685708,0.2041727,0.1307918,0.01516871,0.1950033,0.9524726,0.791295,0.04822678,0.437718,0.06601833,0.2117564,0.6213303,0.06824424,0.3824418,0.4060473,0.859338,0.8975919,0.8859479,0.7712249,0.02722843,0.02720528,0.8867413,0.7603309
"CTRL39",0.6088393,0.03883064,0.8668697,0.2397066,0.1435751,0.02152303,0.2233407,0.964236,0.8766212,0.05969175,0.39574,0.04787234,0.07745267,0.5788248,0.0654679,0.3290913,0.4661682,0.8730382,0.8870749,0.9535325,0.7745543,0.01655202,0.01041938,0.8910629,0.7739237
"CTRL97",0.6421687,0.02503434,0.81951,0.2724933,0.14364,0.006621508,0.2434456,0.9743707,0.8686433,0.02358606,0.3507826,0.03516213,0.175187,0.5945892,0.043204,0.3384069,0.3696869,0.8614412,0.8560188,0.9545308,0.787612,0.01748692,0.007279166,0.8696974,0.7574852
"PD47",0.5769714,0.02864839,0.7583785,0.1571334,0.1802633,0.01496139,0.189607,0.9423196,0.8617025,0.03191706,0.3728726,0.0508093,0.1452736,0.553332,0.06766749,0.2982974,0.3434034,0.8058536,0.8197428,0.9463969,0.7560479,0.01962989,0.003735326,0.8229834,0.7122285
"DLB17",0.5827987,0.04557623,0.8712557,0.1688369,0.1232502,0.01823819,0.1497821,0.9743027,0.8806256,0.01928534,0.316799,0.05087231,0.2269345,0.4456372,0.06606309,0.2520145,0.2606704,0.8923366,0.8791618,0.9252995,0.6741473,0.01680533,0.01261528,0.9219314,0.7681115
"DLB2",0.698738,0.02714846,0.6646287,0.1916561,0.157237,0.01988724,0.2219103,0.9591454,0.8002826,0.0444934,0.3475583,0.03487685,0.1865285,0.7119207,0.07091413,0.3414298,0.4169817,0.9042207,0.8999371,0.8712865,0.8301704,0.01261679,0.01977086,0.8774962,0.8281819
"CTRL35",0.6308822,0.01918996,0.8447393,0.2869304,0.1356683,0.02467508,0.2808898,0.9716723,0.8766666,0.04156842,0.3789836,0.05468176,0.1542289,0.6618531,0.04547339,0.3328411,0.2936984,0.8809754,0.8492824,0.9163201,0.8007506,0.01707585,0.01643431,0.8399984,0.795259
"PD8",0.7297622,0.04678988,0.8141947,0.3481111,0.1232866,0.01023819,0.2936541,0.9732295,0.8741231,0.03266611,0.2850652,0.03551732,0.2049261,0.7385232,0.04646584,0.2735058,0.2325739,0.8759506,0.9210241,0.943848,0.6859295,0.01355867,0.01924785,0.9180205,0.8546862
"CTRL51",0.6436766,0.03398351,0.7707238,0.2318028,0.1725295,0.005267049,0.1864894,0.9770503,0.902158,0.0103349,0.3645364,0.05631636,0.08391608,0.5772976,0.04730679,0.3040919,0.4001339,0.8158299,0.8594836,0.9418062,0.8059421,0.01014536,0.009541813,0.8550276,0.7384804
"CTRL77",0.55152,0.04073342,0.8180242,0.1555684,0.1394098,0.009115078,0.2025314,0.9782147,0.902736,0.01796517,0.2834641,0.06538561,0.2234667,0.4597559,0.04970598,0.2727424,0.2293385,0.8503504,0.9115668,0.9397746,0.7369102,0.01610535,0.002963221,0.8775677,0.7092263
"CTRL68",0.6355706,0.01500382,0.8196719,0.150781,0.1373635,0.02551198,0.1058475,0.967152,0.8616052,0.02975066,0.2797826,0.04602597,0.2241758,0.451521,0.05833435,0.2921479,0.358777,0.8082874,0.7956274,0.9625833,0.7597049,0.02727229,0.0141981,0.9117339,0.7397324
"PDD24",0.6883233,0.03836731,0.9208602,0.240338,0.0952603,0.01419864,0.1628614,0.9782461,0.9304921,0.01652004,0.3513026,0.06399132,0.1896,0.6044876,0.04406855,0.234862,0.421991,0.9157927,0.9360722,0.9416156,0.8554981,0.01260378,0.00285831,0.9432613,0.8864303
"CTRL19",0.6440369,0.05440014,0.8571111,0.2537211,0.1228783,0.01872521,0.2559222,0.9700548,0.8484161,0.04412292,0.4194347,0.08846414,0.1349782,0.6721506,0.04594144,0.3308125,0.3546026,0.8426169,0.8602884,0.9298757,0.7306041,0.01358549,0.008607635,0.896965,0.7939402
"PDD13",0.745993,0.006772187,0.613261,0.1533273,0.1264747,0.018779,0.2295122,0.9866516,0.7702071,0.04882077,0.4213697,0.03280286,0.1292705,0.7135247,0.043,0.2369956,0.5437444,0.8953711,0.8358732,0.8814186,0.9179138,0.007141134,0.006142506,0.8058254,0.7853491
"CTRL43",0.6074104,0.02715735,0.7582951,0.2423797,0.1920106,0.01753628,0.1611065,0.9590492,0.8224321,0.01273293,0.3006935,0.05778093,0.2043539,0.4684825,0.07512806,0.3161997,0.3311596,0.8883554,0.8737523,0.9613528,0.78443,0.0210494,0.01313366,0.9288162,0.7402599
"DLB11",0.7336747,0.02990272,0.7917969,0.2241049,0.1532818,0.01362295,0.101045,0.9748108,0.9156833,0.03412732,0.3660542,0.03782042,0.1444623,0.5370751,0.03721135,0.2316065,0.358782,0.8437538,0.8847325,0.9393742,0.7707799,0.01361412,0.009910803,0.8966061,0.7896099
"PDD58",0.6288853,0.01380348,0.7547285,0.2326161,0.1422613,0.01546785,0.2164469,0.9771499,0.8626545,0.03797686,0.35304,0.05139726,0.2005865,0.5261341,0.06297539,0.3110412,0.2464042,0.8283818,0.8684148,0.9298697,0.8428824,0.01359968,0.01158552,0.8817906,0.7772059
"CTRL42",0.570857,0.01036629,0.8078974,0.2725696,0.1457,0.01451327,0.2664827,0.9767216,0.8524686,0.03140811,0.3920583,0.07981403,0.1081081,0.6389506,0.0541144,0.4115187,0.4188288,0.8533046,0.8857143,0.936104,0.8076469,0.013446,0.001384494,0.9081003,0.7772813
"PDD53",0.7305131,0.03045555,0.747181,0.2293841,0.1373645,0.01603346,0.2983758,0.9663264,0.8774268,0.03605336,0.3246789,0.0293028,0.1395474,0.6815774,0.05369928,0.3095238,0.2650595,0.8579307,0.8886949,0.9235127,0.8148377,0.01376945,0.008899676,0.8659895,0.8599823
"PD40",0.6288821,0.03730566,0.7499283,0.2294749,0.1598907,0.02176697,0.2614549,0.9691537,0.8237867,0.01952468,0.3676691,0.05147168,0.1233263,0.6804927,0.07170974,0.298501,0.3641007,0.8551401,0.8889564,0.9436596,0.8397352,0.01090786,0.01162791,0.870467,0.7437386
"PDD44",0.669243,0.07422724,0.7712075,0.2110018,0.1361342,0.015849,0.2568864,0.9599526,0.8297494,0.05118274,0.3355503,0.04214268,0.127709,0.6005879,0.07427981,0.2441312,0.3479763,0.9023879,0.8905239,0.8947058,0.7052945,0.01194808,0.003150128,0.8826649,0.8065491
"PD6",0.6608429,0.0489252,0.7946139,0.1481614,0.1631258,0.01271096,0.1730011,0.948429,0.7816466,0.02164263,0.3451039,0.03582021,0.2872168,0.7101282,0.07421325,0.3256824,0.4379302,0.8757693,0.9125082,0.9426813,0.8063124,0.01237497,0.01628775,0.8569692,0.7943021
"CTRL1",0.6947579,0.05393077,0.7882361,0.1998001,0.1089897,0.01563331,0.2874091,0.963468,0.8440313,0.02568664,0.4091097,0.0416749,0.2030402,0.6492009,0.0527735,0.2937059,0.4079331,0.8993652,0.8970006,0.9304024,0.7715195,0.01386984,0.0138263,0.8805146,0.8054461
"PD35",0.5742106,0.004088989,0.7184241,0.2062978,0.1453187,0.0144461,0.2758889,0.9617149,0.8163233,0.04293482,0.2969499,0.0467403,0.1169725,0.5775785,0.05145642,0.2964908,0.3890215,0.8330655,0.8920157,0.8727235,0.7954864,0.01665926,0.009715696,0.9018703,0.7592813
"PDD41",0.6104079,0.04477607,0.8006944,0.2180636,0.1306314,0.01027244,0.2470192,0.9444433,0.805103,0.05608448,0.328401,0.06679458,0.1826923,0.5892417,0.05316339,0.2654571,0.30079,0.8414053,0.9260087,0.9086101,0.7255235,0.02303221,0.00985929,0.8286225,0.8116632
"PDD70",0.6367071,0.05366297,0.7838095,0.1942396,0.1292073,0.01872064,0.2401304,0.9878285,0.8841444,0.03982462,0.2722729,0.04253098,0.2081323,0.6108396,0.05179387,0.2853846,0.3576754,0.8825786,0.9078282,0.9357472,0.8187921,0.01386023,0.01246661,0.8605872,0.8871601
"PD59",0.614485,0.07232841,0.8388396,0.2210411,0.1625103,0.02326223,0.1440393,0.9459387,0.8346855,0.03135074,0.348084,0.03327338,0.1583578,0.5568376,0.07346839,0.2916131,0.2766971,0.8641295,0.9332792,0.9437058,0.6749372,0.009468194,0.009806408,0.8807583,0.7513267
"PDD28",0.6864471,0.01743339,0.5457969,0.1362464,0.1504744,0.009834972,0.2694832,0.9715741,0.7984522,0.04740567,0.3688223,0.03026653,0.2608347,0.7183253,0.07890794,0.2795125,0.3920643,0.8595914,0.8531716,0.8424234,0.8520275,0.01385364,0.007289371,0.7966926,0.81586
"CTRL78",0.6200539,0.07176928,0.7350394,0.2090804,0.1397345,0.02187219,0.1791249,0.9641121,0.8432654,0.03648231,0.3642767,0.06863528,0.2133891,0.7212138,0.04988167,0.3257815,0.491569,0.819872,0.9189294,0.9169803,0.8331603,0.01537233,0.02482594,0.8494187,0.8612943
"CTRL64",0.6012617,0.04555334,0.7369889,0.1896838,0.1616188,0.01407757,0.1328964,0.9600332,0.7920134,0.02332971,0.2669514,0.0476084,0.2235797,0.5279718,0.08484762,0.2631792,0.3103754,0.8509208,0.9140181,0.9273557,0.740285,0.02041014,0.007596502,0.8931499,0.6805146
"PD48",0.5954032,0.05188326,0.8065644,0.1965955,0.2003631,0.008056495,0.1534009,0.9661661,0.8377294,0.04820716,0.3604363,0.04948204,0.1916584,0.5537354,0.06417819,0.3398091,0.3564768,0.8215147,0.8402282,0.9220034,0.7292805,0.01173342,0.009738284,0.8781663,0.7446788
"PD21",0.71343,0.07006632,0.727813,0.2471464,0.1278298,0.01576743,0.1927124,0.9774018,0.8178155,0.02925005,0.3835613,0.02690058,0.1718507,0.6877442,0.0784,0.3209062,0.3872323,0.8757035,0.9087122,0.9264705,0.8146868,0.008659639,0.01248638,0.8768022,0.7760145
"CTRL95",0.6934263,0.009726729,0.7687606,0.2262838,0.1318097,0.01939916,0.1909759,0.962321,0.8492893,0.02851616,0.3763169,0.06210169,0.1198541,0.5650595,0.05248307,0.3249164,0.4138296,0.8640433,0.8336659,0.9490885,0.7744212,0.01628862,0.009301015,0.9134339,0.7713587
"CTRL57",0.6469556,0.009725079,0.833367,0.1746163,0.1787813,0.0149143,0.1939389,0.9735672,0.8638073,0.03324429,0.324077,0.02713435,0.1460203,0.4701484,0.06386249,0.2926571,0.2665941,0.8404107,0.8749947,0.9365316,0.7906547,0.008676149,0.008038869,0.8970849,0.7180423
"PDD30",0.6826257,0.0400253,0.7868477,0.2332438,0.1399784,0.01325005,0.132795,0.9657081,0.8236059,0.02579514,0.314083,0.06215124,0.2006579,0.5451946,0.06723338,0.2782018,0.3621654,0.8790463,0.9041859,0.9318395,0.814467,0.01843375,0.009993582,0.9071339,0.8288836
"PDD22",0.7088644,0.04686293,0.7963074,0.2451432,0.1212816,0.007518797,0.2151464,0.9776553,0.8976591,0.0356585,0.3168316,0.04446357,0.1494149,0.7116013,0.06172402,0.2321216,0.1972246,0.9056021,0.9309032,0.9079889,0.7493949,0.007203667,0.01052796,0.9066304,0.8892289
"DLB15",0.6368449,0.0740757,0.6262359,0.2031196,0.1479421,0.01884176,0.2073307,0.9771585,0.794368,0.04023085,0.277774,0.05196629,0.1621886,0.54883,0.06485888,0.2093892,0.3840767,0.883651,0.8230777,0.8401062,0.8239592,0.01351553,0.01851253,0.8538485,0.7292807
"PD50",0.5675888,0.02473715,0.8157527,0.2649909,0.1583695,0.02433372,0.2259453,0.9543107,0.845763,0.04713328,0.302571,0.03939093,0.1721106,0.4952093,0.05521041,0.273909,0.2448717,0.8325075,0.8848525,0.947522,0.7313442,0.01415638,0.006629582,0.8763765,0.7203064
"CTRL29",0.549731,0.01244817,0.7282415,0.2613199,0.1527158,0.01486461,0.1906951,0.976109,0.888185,0.02616127,0.2569257,0.06368715,0.1190584,0.640087,0.0595082,0.2250485,0.1701184,0.7881203,0.8907591,0.85274,0.6278355,0.01828638,0.006779976,0.9208814,0.7746518
"PDD54",0.6461183,0.02397491,0.7595638,0.240187,0.1346907,0.01916779,0.246432,0.9543965,0.8670388,0.02647338,0.3513084,0.04311985,0.1747911,0.6074121,0.06004521,0.2906699,0.289598,0.8602281,0.8767727,0.9295976,0.7634853,0.02310836,0.01052068,0.9131954,0.7855046
"PDD27",0.6569325,0.04005111,0.8688207,0.3021271,0.1392273,0.01119061,0.20162,0.9799455,0.9445854,0.0370259,0.3925982,0.09630714,0.1628631,0.691193,0.05433263,0.2825967,0.3694114,0.8783792,0.8964579,0.9544563,0.788791,0.01858525,0.0061959,0.9164482,0.80704
"DLB24",0.6238429,0.05180355,0.7937804,0.2018527,0.1514867,0.01043841,0.2044652,0.957501,0.8965369,0.04431797,0.3571539,0.03054469,0.1908257,0.6134681,0.07181487,0.3263406,0.2841105,0.8687221,0.8603446,0.9263824,0.6691646,0.01320132,0.003929085,0.9269277,0.8112772
"PD23",0.6349862,0.02252534,0.8161641,0.216758,0.1310419,0.005836576,0.1789754,0.9768128,0.9310953,0.03129844,0.2652603,0.03287589,0.1387226,0.6315442,0.06063089,0.2746858,0.2972203,0.8966395,0.9128441,0.9246115,0.8294961,0.01530671,0.00459731,0.888859,0.8504672
"PD30",0.6522288,0.04116476,0.8301217,0.2283209,0.1454002,0.02470229,0.2242477,0.9579059,0.8796794,0.02786982,0.3383161,0.038029,0.06924316,0.5417743,0.04934742,0.3063833,0.3334452,0.8571268,0.8824361,0.8938178,0.7941362,0.01241701,0.006027897,0.8989452,0.7319509
"PDD15",0.6124511,0.07319185,0.8173396,0.2106861,0.09702566,0.01794169,0.1546963,0.9596823,0.7739187,0.01877084,0.2808482,0.04576503,0.2336134,0.583969,0.05451911,0.2557195,0.2637876,0.9030472,0.9384362,0.9419492,0.7466323,0.01994201,0.01375564,0.898842,0.7637642
"CTRL50",0.6279942,0.01913865,0.7967668,0.2038717,0.1386521,0.01184975,0.1394512,0.9830977,0.907692,0.02820279,0.3315036,0.0268619,0.098922,0.5101028,0.06363257,0.2842473,0.2589267,0.8220183,0.8261466,0.9253056,0.7463892,0.009602683,0.01125911,0.8916893,0.794844
"CTRL93",0.6734663,0.001592521,0.8135757,0.2865032,0.1696554,0.008053016,0.1532974,0.9864909,0.877339,0.03154629,0.3965703,0.03622998,0.1591696,0.5510434,0.04202135,0.3381189,0.313491,0.8370335,0.8272815,0.9358415,0.7821625,0.00786557,0.001252296,0.9199624,0.7303699
"PDD35",0.6346085,0.04983668,0.5818776,0.1403238,0.120731,0.02663793,0.1598126,0.9653623,0.6902737,0.05216839,0.3767779,0.04527796,0.2078313,0.650022,0.05320278,0.2267565,0.4245523,0.8639411,0.8624159,0.8585061,0.8384594,0.01320685,0.01594605,0.8992353,0.8260324
"CTRL73",0.6237971,0.06034566,0.7968876,0.1906247,0.146978,0.01264914,0.1927162,0.9757715,0.8462148,0.03214313,0.3079256,0.0478849,0.274717,0.4662296,0.0662768,0.2886865,0.2912851,0.8609919,0.898477,0.9263912,0.7811699,0.01960118,0.005817288,0.8877019,0.7022723
"PDD6",0.699007,0.01024886,0.634427,0.2522769,0.1207717,0.0109118,0.3219143,0.9751802,0.7357014,0.1192467,0.3639077,0.02199883,0.1509863,0.7405989,0.03418704,0.3115986,0.4075197,0.8949239,0.8800117,0.8426897,0.8485215,0.01337773,0.008905572,0.8388558,0.7987479
"CTRL13",0.5600523,0.02079674,0.8261995,0.2413608,0.1568865,0.01951477,0.1656158,0.9468867,0.8559547,0.02552819,0.3683841,0.04172837,0.1478022,0.5451212,0.05801176,0.2790752,0.2938329,0.7742129,0.8324968,0.9495107,0.7097667,0.005208333,0.003789629,0.8459518,0.6829548
"PDD73",0.686208,0.1463905,0.883486,0.1615271,0.07062166,0.006270977,0.1139457,0.9679364,0.9218947,0.01851105,0.3185009,0.02957824,0.2762991,0.6142207,0.04086739,0.2650098,0.3110766,0.8628815,0.9451771,0.9595597,0.7647655,0.0148831,0.01135422,0.9414884,0.9351426
"CTRL81",0.5912695,0.01556402,0.8281488,0.2139814,0.1713704,0.02205942,0.2286729,0.9623913,0.8452651,0.03525038,0.3500439,0.03125,0.1523316,0.4992866,0.07793646,0.3188785,0.3681785,0.8600316,0.8393704,0.909889,0.7565317,0.01668315,0.004658514,0.9583128,0.840488
"CTRL33",0.5969307,0.01456779,0.869835,0.272822,0.1498357,0.01387407,0.2158803,0.9550307,0.8555347,0.05404243,0.3681859,0.04100461,0.1293605,0.5137912,0.0449908,0.3333317,0.3950373,0.8237434,0.8507831,0.9360427,0.7150613,0.01490202,0.008444962,0.9074436,0.7312416
"PDD49",0.6546217,0.01754594,0.7854227,0.1967326,0.1575169,0.01742794,0.2298248,0.9463254,0.8552319,0.03996383,0.2733204,0.05827528,0.1442211,0.6413436,0.06761178,0.2439454,0.2127167,0.8497864,0.8563759,0.9124736,0.7113502,0.01525034,0.005247243,0.8870153,0.8079782
"PD27",0.6274151,0.01719958,0.7486144,0.2310129,0.1638729,0.01487165,0.2433131,0.9671259,0.8626765,0.04036446,0.4004929,0.0459416,0.1428571,0.6634569,0.06535779,0.2952931,0.3081982,0.8803234,0.8195284,0.9158115,0.7903633,0.01588724,0.01136458,0.890299,0.744325
"PDD4",0.7118321,0.07760638,0.8660688,0.2823522,0.1148014,0.02865242,0.2559353,0.9398527,0.8326081,0.02809337,0.3430839,0.04872564,0.2841994,0.6764021,0.07232988,0.277522,0.3575318,0.867356,0.8953085,0.9629211,0.7277584,0.01634103,0.01897365,0.8954048,0.8934847
"PD58",0.6663908,0.01783086,0.811467,0.1903894,0.1240808,0.01065719,0.2435884,0.9744622,0.8788763,0.05266443,0.3497133,0.03598862,0.1548742,0.6434795,0.04549104,0.2858422,0.3005298,0.9058826,0.8901758,0.934934,0.8234376,0.01183812,0.007456638,0.9285719,0.7740335
"CTRL85",0.6431633,0.01267765,0.8503234,0.2877037,0.1390401,0.01656562,0.2240892,0.9583545,0.8899014,0.05216099,0.2413331,0.05178969,0.1358908,0.564582,0.06453439,0.2831349,0.2078376,0.8586241,0.8882062,0.9124066,0.7110109,0.01374993,0.005128651,0.8951041,0.7789189
"PD52",0.6537663,0.03656553,0.7442953,0.2506169,0.1134943,0.0143813,0.2819898,0.9819681,0.8798467,0.05653485,0.3367151,0.02385976,0.07666386,0.5896432,0.03740405,0.2846756,0.2358761,0.9097165,0.8281724,0.8964974,0.7017501,0.004159576,0.001364788,0.9048034,0.8633671
"PD60",0.6506353,0.03824737,0.6949326,0.1484036,0.1174935,0.01238176,0.2139361,0.9766215,0.8484361,0.05882704,0.3496385,0.03262493,0.1519639,0.5871781,0.0581869,0.2203251,0.4047622,0.8642521,0.9126143,0.9178607,0.8344893,0.01737624,0.01389803,0.877997,0.8256906
"PD61",0.6175077,0.01563829,0.7660075,0.1662259,0.1736591,0.02077899,0.2277248,0.9492088,0.8959927,0.04098575,0.2938685,0.03026209,0.2443694,0.5506643,0.05674469,0.2201118,0.2562109,0.8172185,0.8170723,0.9279993,0.7411371,0.0163239,0.008270851,0.8976749,0.7592424
