"","cg02347483","cg02294411","cg04311964","cg26345401","cg27150954","cg12406559","cg20850582","cg17286854"
"CTRL68",0.8373973,0.1019529,0.8895915,0.6448992,0.5606316,0.01750977,0.01511808,0.8968739
"PDD24",0.9434655,0.01761581,0.9197357,0.7810189,0.6359011,0.01813663,0.02070779,0.9310052
"CTRL19",0.8339871,0.08444745,0.869245,0.7556835,0.6364665,0.01502581,0.02819246,0.8731923
"PDD13",0.9228084,0.09909091,0.8473015,0.8456992,0.5301825,0.04678582,0.01708806,0.9281973
"CTRL43",0.8524407,0.1307624,0.8732075,0.7457956,0.5426589,0.02190794,0.02128226,0.9164195
"DLB11",0.8619261,0.1718229,0.9054476,0.7717803,0.5882835,0.01778527,0.02320967,0.9249357
"PDD58",0.8351318,0.08660637,0.8827538,0.7694667,0.6249304,0.00770039,0.03541331,0.8876434
"CTRL42",0.8318478,0.1101844,0.9025158,0.7789663,0.6393906,0.005492082,0.02277859,0.8631975
"PDD53",0.8838681,0.1191493,0.8580897,0.7418684,0.602588,0.008932186,0.02394551,0.8541958
"PD40",0.8647255,0.07802478,0.8762088,0.8027453,0.5730293,0.004660132,0.02667935,0.8749926
"PDD44",0.8575813,0.06184246,0.8851241,0.6883004,0.5752351,0.02837914,0.02291231,0.8884904
"PD6",0.924332,0.05008834,0.9201677,0.6848791,0.562638,0.03021706,0.02371773,0.9359306
"CTRL1",0.9091153,0.04698465,0.9140324,0.6933851,0.5969397,0.02730493,0.03295134,0.8865279
"PD35",0.9142965,0.1648424,0.8749539,0.8647521,0.5844227,0.01927459,0.03045305,0.8481154
"PDD41",0.8781705,0.1321201,0.8793856,0.7736542,0.5668662,0.01134659,0.03001346,0.8621303
"PDD70",0.877101,0.1034687,0.9091968,0.7895693,0.6055318,0.02700782,0.02556428,0.9414301
"PD59",0.8732586,0.117818,0.8809553,0.77514,0.5536327,0.0165387,0.02643823,0.9026819
"PDD28",0.8895166,0.08145036,0.8355516,0.8326632,0.5037479,0.02340899,0.01895407,0.4661019
"CTRL78",0.8934639,0.06562484,0.8674657,0.7193962,0.6017739,0.04102869,0.02238664,0.8797124
"CTRL64",0.8091804,0.04077201,0.8485821,0.7436366,0.5057469,0.0139247,0.02982693,0.6365909
"PD48",0.8624488,0.1402709,0.8633443,0.7189813,0.5643899,0.01318435,0.03895484,0.8227083
"PD21",0.9303683,0.100773,0.8985942,0.7743453,0.5767851,0.03144497,0.02182959,0.9211632
"CTRL95",0.8433437,0.1114848,0.9072845,0.7919399,0.6176053,0.02170593,0.02215005,0.8491054
"CTRL57",0.8384017,0.07608554,0.9135226,0.7331637,0.5983506,0.008163309,0.02175945,0.9216069
"PDD30",0.8568869,0.06062495,0.8766529,0.7231742,0.6460972,0.01138238,0.02556824,0.886147
"PDD22",0.9277087,0.1110152,0.875791,0.7344731,0.5680776,0.007229063,0.03561743,0.9131803
"DLB15",0.887655,0.07885534,0.8670864,0.712124,0.5378625,0.03272343,0.03160631,0.9145909
"PD50",0.8769901,0.1150828,0.899179,0.747478,0.6060048,0.0127605,0.03514159,0.8813425
"CTRL29",0.8295641,0.1497771,0.8582459,0.6937968,0.5761861,0.006335604,0.01813003,0.8294032
"PDD54",0.8967037,0.1437035,0.8907637,0.7723571,0.5906674,0.009921331,0.01873756,0.8886735
"PDD27",0.8512953,0.03496497,0.9297393,0.7541374,0.6114737,0.01537875,0.02277014,0.9198679
"DLB24",0.8715549,0.1336014,0.8624479,0.7058519,0.6369647,0.01605696,0.02843742,0.8284453
"PD23",0.9063711,0.127392,0.8934884,0.7259977,0.6042626,0.0119506,0.02086096,0.9047134
"PD30",0.8779878,0.06206307,0.877269,0.8211138,0.6342149,0.0342503,0.02580994,0.8744742
"PDD15",0.9019336,0.0615405,0.8458072,0.7719782,0.5963332,0.02322449,0.01910906,0.9107253
"CTRL50",0.8385204,0.119842,0.8948687,0.7590878,0.5693673,0.003201107,0.02714593,0.9429851
"CTRL93",0.8723528,0.03813007,0.9117503,0.6777643,0.5255265,0.02273129,0.03406081,0.8875256
"PDD35",0.9222277,0.1049042,0.8162946,0.8298659,0.53036,0.02427725,0.03169714,0.8999289
"CTRL73",0.7764193,0.05470598,0.8661593,0.7357131,0.5052332,0.02300667,0.02679897,0.8917534
"PDD6",0.9371117,0.1191603,0.8308209,0.8105529,0.5686596,0.03246549,0.02716744,0.9057135
"CTRL13",0.7538815,0.1165127,0.9312377,0.7513646,0.5533854,0.01816718,0.01710923,0.9159941
"PDD73",0.8828259,0.07310609,0.9346421,0.7456648,0.6906619,0.01435294,0.01009027,0.9215065
"CTRL81",0.8286577,0.05060524,0.8393764,0.7187154,0.552794,0.01321398,0.02503712,0.912284
"CTRL33",0.8349529,0.08188299,0.8727264,0.7212108,0.6329842,0.009303522,0.02078805,0.8586648
"PDD49",0.9068135,0.1889879,0.8574025,0.7072889,0.5910729,0.009781545,0.01938417,0.8687005
"PD27",0.8757644,0.1133422,0.8659178,0.810629,0.5325408,0.04201228,0.02452204,0.9248684
"PDD4",0.9252135,0.1285416,0.919767,0.7278549,0.6124414,0.01371102,0.03474737,0.9087834
"PD58",0.8797486,0.1237798,0.8998501,0.7829698,0.5679888,0.01476736,0.02391223,0.4980499
"CTRL85",0.9172995,0.1012231,0.8691967,0.8378026,0.5282688,0.004317368,0.02922815,0.8770011
"PD52",0.9043891,0.1471941,0.8945299,0.7770176,0.5884452,0.007180263,0.01847384,0.8716162
"PD60",0.8584878,0.07934602,0.8981766,0.825336,0.5266795,0.01150166,0.01940111,0.6346963
"PD61",0.8853095,0.09625007,0.8307748,0.7976569,0.5646944,0.008788289,0.02489199,0.8921239
"CTRL11",0.9087516,0.03626974,0.9106224,0.6701722,0.582979,0.003553312,0.01658764,0.9116672
"CTRL40",0.8541868,0.1132974,0.9262876,0.7799561,0.6475385,0.01038871,0.0290566,0.8862884
"DLB35",0.8320098,0.08508035,0.9036289,0.7150561,0.6001271,0.0082903,0.03052689,0.8601439
"PD9",0.8560956,0.1266265,0.9128143,0.7430261,0.592926,0.01735951,0.02445679,0.8998823
"CTRL79",0.8520192,0.09005652,0.9174182,0.6995911,0.5893281,0.005407254,0.01817074,0.9155078
"PDD61",0.8597661,0.1156019,0.8744155,0.6828436,0.5489971,0.01339058,0.03099743,0.8637682
"PD56",0.8934097,0.1126811,0.9021258,0.6940067,0.5739014,0.01852677,0.01785327,0.9334763
"CTRL55",0.8445991,0.08290068,0.9134373,0.6347644,0.5985453,0.0148764,0.02849788,0.8543519
"CTRL37",0.8831974,0.1335783,0.8955403,0.7339789,0.5937815,0.003371892,0.0247184,0.8900318
"CTRL82",0.8421496,0.08145758,0.8985967,0.7126495,0.5853756,0.02465365,0.01974163,0.5911829
"CTRL32",0.8660025,0.1341038,0.8765731,0.7038021,0.6417967,0.02672348,0.03255657,0.8545634
"PD2",0.9435251,0.1927118,0.8991411,0.7785871,0.6354009,0.01731441,0.03202218,0.9153242
"PD54",0.8673803,0.09830517,0.9089109,0.78416,0.5790798,0.007286715,0.01775763,0.8710815
"CTRL48",0.8426949,0.06156299,0.891324,0.7487658,0.4971729,0.009347071,0.02839395,0.830057
"PD49",0.7873985,0.08765487,0.8577114,0.7212829,0.5245385,0.01699246,0.03322344,0.8312137
"PDD69",0.8926056,0.07289093,0.8877263,0.7676501,0.5210645,0.02304658,0.02917614,0.8758781
"PD45",0.8381778,0.1410852,0.8899633,0.7390841,0.5606365,0.02361882,0.03110348,0.8599675
"CTRL12",0.9041141,0.06746914,0.8953652,0.7479713,0.5799185,0.02155608,0.02368062,0.8504239
"PD33",0.8583516,0.1300793,0.8227914,0.7119541,0.5745033,0.01540105,0.01423798,0.8454525
"PD51",0.8046746,0.1241801,0.8734684,0.7309699,0.5611925,0.008578513,0.02044539,0.8742403
"PD13",0.938193,0.1501688,0.9063517,0.7208707,0.572731,0.01315674,0.02375923,0.8991167
"PDD45",0.844229,0.1628828,0.9214998,0.7507752,0.6218364,0.00422554,0.02386119,0.902013
"PD20",0.9050646,0.1370753,0.9052025,0.6266068,0.5673241,0.005530346,0.02705038,0.9027234
"CTRL83",0.9064078,0.06776171,0.8921931,0.7410771,0.5137301,0.02595201,0.02267536,0.6847357
"PDD7",0.9505039,0.1272927,0.8503318,0.7061802,0.585522,0.02852595,0.03197116,0.8837348
"CTRL71",0.8971231,0.1305471,0.9211742,0.6602703,0.5697478,0.0181706,0.02714312,0.8973936
"PDD47",0.8400157,0.1579776,0.8836658,0.8108554,0.5801301,0.009880802,0.02178298,0.858984
"PD32",0.8133338,0.08028924,0.8755629,0.723766,0.5281406,0.01388199,0.02626533,0.7844732
"CTRL6",0.9386263,0.1146061,0.8743194,0.6961995,0.5718957,0.01641155,0.02686832,0.8557696
"CTRL46",0.8458188,0.1248095,0.8993363,0.7734608,0.5452296,0.01499878,0.03304688,0.8634488
"PD17",0.9183478,0.09370619,0.8667123,0.6849163,0.5078052,0.03578519,0.02381032,0.8677042
"PDD10",0.9134864,0.0859582,0.9069261,0.7475083,0.6389908,0.02933894,0.01813295,0.8995905
"DLB12",0.9033902,0.1301425,0.9230451,0.6291115,0.6143082,0.0138871,0.02626128,0.8884353
"CTRL44",0.8192536,0.05405847,0.8553984,0.7650487,0.5586235,0.01246707,0.02866931,0.8284287
"CTRL86",0.8932876,0.08050794,0.883189,0.8313288,0.5190479,0.01022782,0.0197329,0.9255666
"DLB27",0.8491203,0.1212592,0.8899936,0.722059,0.5546884,0.02086167,0.03092357,0.8672158
"PD18",0.9131337,0.1241245,0.8460422,0.7396832,0.5793652,0.02008597,0.02758421,0.9202318
"CTRL20",0.8861892,0.1288988,0.8758485,0.8380076,0.6110901,0.004988584,0.03200893,0.8693113
"PDD50",0.8178584,0.1854866,0.8284935,0.73648,0.5304035,0.01606754,0.02070283,0.825997
"DLB21",0.7982838,0.08250752,0.9083761,0.7336133,0.5607809,0.01287537,0.02858211,0.8592941
"CTRL53",0.8806641,0.04403815,0.90044,0.6791965,0.5618799,0.007770824,0.01651604,0.8763242
"CTRL65",0.8393968,0.08366546,0.9193405,0.7699414,0.5860025,0.0239968,0.02451753,0.8572264
"PD38",0.8432591,0.1189264,0.9037386,0.7600313,0.6052814,0.01898922,0.02913787,0.9032305
"CTRL18",0.8734841,0.1512933,0.8713106,0.7518231,0.5873678,0.01595823,0.01959041,0.8938283
"PDD36",0.8632346,0.07514954,0.9174602,0.7627678,0.5438278,0.02450335,0.0277318,0.8885476
"PDD64",0.9064684,0.06671878,0.9233863,0.789272,0.5834689,0.01990056,0.02297982,0.9318504
"PD42",0.8945249,0.2287017,0.8620519,0.762703,0.5352481,0.005589584,0.02955809,0.2359444
"PDD33",0.8625542,0.173696,0.8825746,0.7138399,0.5824675,0.01277543,0.02307771,0.8542275
"PDD65",0.8480903,0.08430371,0.8800532,0.7363788,0.5719285,0.02242327,0.03162318,0.9028523
"PD62",0.8889345,0.08618308,0.8816753,0.7857268,0.5572808,0.01143221,0.03421246,0.9200719
"PDD77",0.9075368,0.09083082,0.8955226,0.872019,0.5910957,0.02782939,0.02820854,0.9268015
"PDD2",0.9138982,0.09914763,0.9032764,0.8425852,0.6108611,0.01625277,0.02225543,0.9225519
"PD25",0.9146056,0.1746486,0.9171782,0.6753711,0.5409017,0.01956356,0.01693104,0.5704547
"DLB14",0.8623892,0.1863227,0.9079768,0.7263982,0.6073135,0.02564476,0.02211536,0.8801317
