"","cg21057613","cg21864071","cg08051076","cg21931717","cg14856606","cg04030905","cg22181664","cg26835908","cg03766823","cg12882476","cg08368441","cg26115216","cg05279387","cg03321592","cg20015921","cg21595526","cg19259574","cg22250642"
"CTRL39",0.008705214,0.01462113,0.007662835,0.01894553,0.8118299,0.01671114,0.9140111,0.06116756,0.0129568,0.01227357,0.01554046,0.8566368,0.5747868,0.04288114,0.0443897,0.01430469,0.03969296,0.01459184
"CTRL97",0.01133188,0.004552873,0.01391663,0.006834152,0.8423387,0.009640587,0.9108625,0.1006655,0.01522717,0.01242665,0.01010782,0.8778761,0.6393199,0.0543971,0.02698147,0.007407407,0.0280017,0.01110952
"PD47",0.01133163,0.005404809,0.01228293,0.01813187,0.8098757,0.01472191,0.8937702,0.05559117,0.01063831,0.01002654,0.0152737,0.8360628,0.5085467,0.047723,0.03800614,0.009210223,0.03056243,0.01056718
"DLB17",0.01325714,0.009792317,0.03594911,0.01564757,0.9061748,0.0190031,0.9281329,0.0389858,0.02740488,0.01297297,0.02981261,0.7696004,0.4977508,0.05496045,0.0276569,0.0131808,0.03123689,0.01134943
"DLB2",0.01070009,0.01151097,0.02188329,0.01924408,0.8673931,0.03828667,0.8367756,0.04543264,0.02170196,0.01506877,0.02622005,0.7236478,0.5640739,0.03881955,0.03653897,0.01673336,0.05274985,0.01760391
"CTRL35",0.007202426,0.01406407,0.01064373,0.003352555,0.8461338,0.01427788,0.9058925,0.06835789,0.004207411,0.008330993,0.02174398,0.8728692,0.5659283,0.05514672,0.05346841,0.006736675,0.0328788,0.007920594
"PD8",0.01784282,0.01215154,0.01320939,0.01696284,0.8637676,0.02578503,0.8892145,0.04668377,0.01805469,0.01799713,0.02941553,0.807451,0.4892562,0.03112481,0.05184813,0.02083052,0.03102987,0.01873285
"CTRL51",0.008314314,0.007402267,0.004705882,0.01683867,0.8232207,0.008070872,0.91991,0.04679428,0.008600733,0.003326864,0.01462113,0.7987897,0.5901416,0.02941668,0.02103246,0.009327984,0.02557922,0.01416035
"CTRL77",0.01285178,0.001298183,0.006915733,0.007414469,0.8326819,0.006307264,0.8851814,0.02764527,0.0159359,0.00885906,0.008900256,0.8453669,0.5177407,0.03401045,0.02524896,0.0155096,0.02041186,0.004665203
"CTRL68",0.01731273,0.01294498,0.01382265,0.2843494,0.835352,0.01036758,0.9236275,0.0599848,0.01123989,0.00763425,0.02066554,0.8322752,0.5461123,0.04324864,0.02513015,0.01387859,0.03068005,0.007376396
"PDD24",0.01730682,0.008063824,0.01209026,0.01242947,0.815341,0.01013225,0.9868304,0.03953701,0.005659933,0.007463193,0.01623154,0.8211519,0.5825394,0.05038144,0.01732934,0.004971933,0.02355683,0.01092755
"CTRL19",0.004853941,0.01467381,0.01879783,0.1533333,0.8118285,0.01462599,0.9444875,0.05175719,0.01211865,0.004257061,0.02467428,0.9067212,0.5811705,0.04932866,0.02968341,0.004713805,0.02455104,0.01216048
"PDD13",0.01344357,0.01564513,0.01443464,0.03375166,0.8097599,0.01142143,0.9044093,0.06897347,0.003804927,0.006190673,0.01163238,0.7793631,0.4958438,0.02407337,0.02876401,0.0087934,0.01988689,0.01177275
"CTRL43",0.01438696,0.0209916,0.01451346,0.003719148,0.7740412,0.02595916,0.8791143,0.06089078,0.01172647,0.01165702,0.01559044,0.9319417,0.546851,0.06981748,0.0260609,0.007245658,0.02909229,0.01051881
"DLB11",0.01295929,0.006774075,0.01241688,0.007897153,0.8404236,0.01204285,0.900106,0.04401352,0.009583768,0.008693778,0.01816014,0.8104254,0.5378385,0.04964096,0.02977064,0.006255585,0.02825568,0.004842828
"PDD58",0.01660777,0.004450558,0.01348061,0.0005952381,0.910037,0.01003026,0.9071519,0.06628883,0.009061701,0.005353179,0.01749867,0.8570069,0.5641925,0.04490723,0.02752992,0.007645372,0.02871645,0.01541701
"CTRL42",0.00921006,0.005444234,0.01463275,0.1962779,0.8592417,0.009970512,0.8840255,0.04224434,0.01018157,0.003606794,0.01461316,0.8822103,0.6101361,0.04836571,0.02819822,0.01645179,0.03048441,0.01189526
"PDD53",0.01252429,0.004519381,0.01953125,0.1720994,0.8433834,0.01437507,0.8921891,0.03859233,0.01518596,0.004671905,0.009292413,0.7635751,0.5006936,0.04558742,0.0228992,0.01124538,0.02737461,0.006544306
"PD40",0.005959684,0.002066543,0.009928515,0.009758478,0.8193516,0.01349096,0.9536049,0.05119538,0.004577218,0.006609094,0.01553921,0.858518,0.5518108,0.03447924,0.02936756,0.003138268,0.03272201,0.01300009
"PDD44",0.008774373,0.005127283,0.01809494,0.004867496,0.8863343,0.02445886,0.9206676,0.01884935,0.008525802,0.01316776,0.02005731,0.7668666,0.515931,0.02997985,0.02460172,0.01109021,0.03676166,0.01286027
"PD6",0.02699675,0.01975379,0.02180885,0.01852626,0.840197,0.03132073,0.8846938,0.03639155,0.02091414,0.01611023,0.02082169,0.8059406,0.5618774,0.04339378,0.02532705,0.01390465,0.03686738,0.01381743
"CTRL1",0.01611648,0.01378147,0.01570256,0.01797386,0.8394847,0.01691642,0.8930689,0.02751931,0.01698044,0.01757001,0.02877698,0.8913934,0.5409454,0.04290009,0.04105839,0.01163095,0.02874225,0.02175996
"PD35",0.0152003,0.007945516,0.01860465,0.01270258,0.9046451,0.01884125,0.8790746,0.06097883,0.01307881,0.01339898,0.01409736,0.7830189,0.5529429,0.04670446,0.04046599,0.007726796,0.04996714,0.005766338
"PDD41",0.007152468,0.01340973,0.01325632,0.01044493,0.8324606,0.009475131,0.8470315,0.03577007,0.00752819,0.01113252,0.01659612,0.8967569,0.477216,0.04690687,0.02669601,0.005934718,0.03750754,0.004709396
"PDD70",0.0128608,0.009407601,0.009373525,0.2729297,0.855984,0.009445699,0.9046389,0.03624413,0.008315837,0.008263285,0.02030457,0.8822212,0.5901733,0.03491389,0.0291579,0.006742739,0.02529324,0.002441009
"PD59",0.006364242,0.005737117,0.009530792,0.00672748,0.8846567,0.008310308,0.9368191,0.05113052,0.007089317,0.007973775,0.01955565,0.8178739,0.5147098,0.03045889,0.02775835,0.01103434,0.03109663,0.0111638
"PDD28",0.01636569,0.007103976,0.006604158,0.01056604,0.8242097,0.01098769,0.8937504,0.03208757,0.004196759,0.005586133,0.01616773,0.8468743,0.523771,0.0651403,0.01706139,0.008042066,0.01948004,0.002970297
"CTRL78",0.01328293,0.01294025,0.01516548,0.08907022,0.830403,0.02824863,0.8596023,0.055778,0.01293074,0.01056545,0.02794063,0.8570971,0.5350208,0.04531908,0.02952716,0.01211034,0.04113437,0.02241053
"CTRL64",0.0141726,0.01125999,0.01329456,0.09795142,0.7809676,0.01742067,0.9249017,0.04165417,0.0147211,0.01337598,0.0257661,0.8850882,0.5053493,0.04985745,0.02138735,0.01379827,0.02738393,0.009024682
"PD48",0.00927217,0.01352076,0.005510711,0.01265518,0.8138943,0.01130632,0.8881739,0.07109695,0.02273451,0.02019584,0.02737048,0.808906,0.4971536,0.03703419,0.0322895,0.009590918,0.02924581,0.00234657
"PD21",0.02424974,0.02871051,0.01248062,0.1225589,0.838913,0.008418743,0.9006778,0.03512037,0.007538293,0.009080688,0.01675008,0.7360507,0.5565899,0.02307759,0.0263624,0.007804972,0.02003482,0.008698977
"CTRL95",0.00862007,0.004894199,0.009795549,0.08125203,0.8608768,0.01377524,0.9073414,0.03574854,0.01327091,0.008327299,0.02370788,0.8471935,0.578145,0.034556,0.03326415,0.002013943,0.02605941,0.006983878
"CTRL57",0.01867753,0.003916842,0.003290601,0.2191888,0.7740395,0.01065432,0.9100389,0.0331989,0.01433262,0.01011441,0.01215521,0.901975,0.5478111,0.02483637,0.02502789,0.004254164,0.02501293,0.008481608
"PDD30",0.02245046,0.01834758,0.01488372,0.01159251,0.8944966,0.02269219,0.9384747,0.08498283,0.01742298,0.005683971,0.02771415,0.9131382,0.5019259,0.04974889,0.03738183,0.001549267,0.03873999,0.008645845
"PDD22",0.01617478,0.002268468,0.01456058,0.008906234,0.8561635,0.007544991,0.9389356,0.05547901,0.004770346,0.002108678,0.01970216,0.8509491,0.4984304,0.04535128,0.0187172,0.01135598,0.02709433,0.01491557
"DLB15",0.01938544,0.02519597,0.01521469,0.02335766,0.8392709,0.02141224,0.8142551,0.03459179,0.02691927,0.01964286,0.0377305,0.8775925,0.4547143,0.03375042,0.02707434,0.0235732,0.03932447,0.01784046
"PD50",0.01197374,0.01187409,0.008869006,0.01649647,0.8420549,0.0103971,0.954984,0.04761025,0.01396657,0.01143123,0.01617807,0.8740286,0.5288199,0.03810807,0.05116526,0.01008386,0.03144264,0.006603302
"CTRL29",0.01592508,0.01273458,0.008438444,0.003694723,0.8274007,0.01015979,0.8957819,0.06216087,0.006975556,0.006814815,0.02129075,0.8625946,0.4347543,0.05250749,0.02204449,0.0007902461,0.03515287,0.0136229
"PDD54",0.01186781,0.009049314,0.01493976,0.1503699,0.9084638,0.01062343,0.9126757,0.04351386,0.01240463,0.007746659,0.02596279,0.7441516,0.5365806,0.03440882,0.04552548,0.003584586,0.03911701,0.004823784
"PDD27",0.01520658,0.005168472,0.01067673,0.01712483,0.8558739,0.01732347,0.9000696,0.03951387,0.008214687,0.004804139,0.02117517,0.8817259,0.6248622,0.02487206,0.02040451,0.006331117,0.02326502,0.009937351
"DLB24",0.006675225,0.006578146,0.01054446,0.01254553,0.830774,0.01998269,0.9552879,0.01195571,0.01254701,0.008739985,0.02006247,0.8146815,0.4829566,0.03837709,0.03145568,0.02119327,0.05215206,0.01252041
"PD23",0.01903055,0.01970911,0.01262205,0.1865054,0.8861312,0.009193433,0.9349548,0.03521635,0.005953311,0.005986509,0.01673423,0.8208435,0.5070515,0.03119444,0.01252747,0.01276371,0.03147641,0.0142781
"PD30",0.01348136,0.001234451,0.01907148,0.1832061,0.8451636,0.01181641,0.9394243,0.07930997,0.006504304,0.008751549,0.0201278,0.8197073,0.5839909,0.04525956,0.03852595,0.01355774,0.02143119,0.01254159
"PDD15",0.02039975,0.01053128,0.01503759,0.2029709,0.814104,0.02106591,0.9298173,0.04290899,0.0209139,0.0099514,0.02352941,0.831784,0.4789046,0.03820803,0.03411125,0.02080344,0.04429975,0.01286765
"CTRL50",0.008153113,0.004971729,0.01139154,0.0758069,0.8754223,0.01186879,0.9358425,0.02738011,0.003913461,0.01076863,0.0230476,0.812357,0.4737429,0.02153696,0.01544521,0.01114907,0.01741,0.005055881
"CTRL93",0.01072791,0.008540925,0.007405235,0.1901946,0.7499208,0.009057828,0.9522748,0.06570014,0.00797711,0.008984598,0.01247827,0.855403,0.5665391,0.0431502,0.03555333,0.007456504,0.03315664,0.008370436
"PDD35",0.01692699,0.01114178,0.01152761,0.01134418,0.8490244,0.0142236,0.8495582,0.0799609,0.008751537,0.01366839,0.02248021,0.8534066,0.512239,0.03822952,0.01355985,0.01273311,0.02536802,0.008298755
"CTRL73",0.01350722,0.005556138,0.008816327,0.01439313,0.832495,0.01501294,0.7883305,0.05254615,0.01173933,0.009146057,0.02848434,0.8323336,0.5287713,0.04231377,0.0254882,0.009946602,0.01491144,0.01508396
"PDD6",0.009712436,0.003032838,0.01246426,0.01591316,0.839568,0.009358212,0.9085421,0.06452092,0.002374732,0.008841249,0.01495101,0.8598091,0.5430073,0.02723024,0.02086332,0.006316767,0.02932995,0.009430573
"CTRL13",0.01271728,4.298487e-05,0.0130349,0.399063,0.800348,0.01320699,0.903096,0.03943127,0.007067955,0.001255718,0.02026509,0.8927391,0.4995479,0.03968353,0.02329057,0.01229793,0.02461479,0.004927595
"PDD73",0.01591809,0.01641685,0.01394389,0.09406626,0.892725,0.009841815,0.9537068,0.0184993,0.01259709,0.00504961,0.006974717,0.8712547,0.558774,0.02576002,0.03396447,0.007470165,0.02531805,0.009558888
"CTRL81",0.01678583,0.0076515,0.01405297,0.006641671,0.8549334,0.01038046,0.9307793,0.03573246,0.01510902,0.01152208,0.01952214,0.7935527,0.4842248,0.04397743,0.02859064,0.007020152,0.03626046,0.0008184794
"CTRL33",0.01023303,0.01042945,0.01369987,0.2272313,0.8565311,0.0147507,0.9417819,0.043333,0.01151047,0.01634565,0.01456249,0.8395792,0.5064854,0.02668332,0.05938864,0.006169793,0.02943408,0.008418254
"PDD49",0.01208929,0.004496403,0.009704677,0.3793711,0.862458,0.003060199,0.8924151,0.02268633,0.006604551,0.003575685,0.01740683,0.9061732,0.4485192,0.06348621,0.02050237,0.006821282,0.0340407,0.001135611
"PD27",0.02153749,0.0091354,0.01654804,0.1615564,0.9047311,0.01939218,0.9217222,0.03972105,0.006497757,0.0123667,0.01056763,0.8791682,0.5351863,0.05462223,0.02020504,0.01162547,0.03077507,0.008987148
"PDD4",0.03035258,0.01805894,0.02440731,0.02131481,0.7774794,0.02205151,0.9115227,0.05420465,0.03312639,0.01406866,0.02604549,0.8654367,0.5493322,0.05903551,0.0537808,0.02475309,0.05228174,0.02523843
"PD58",0.008816548,4.298487e-05,0.006124105,0.01463687,0.8729779,0.0009200491,0.9234773,0.03068626,0.009863086,0.001735968,0.02053562,0.7877065,0.5373671,0.03823781,0.01818753,0.008723088,0.02772053,0.003802281
"CTRL85",0.01543624,0.008454106,0.009557764,0.006647368,0.8839811,0.01587174,0.9041866,0.02956126,0.003660286,0.009848812,0.02259304,0.8815414,0.5213879,0.04030388,0.02436782,0.01392954,0.01871628,0.01123703
"PD52",0.006660957,0.008735804,0.01323695,0.2976401,0.819844,0.006219019,0.9182412,0.0398201,0.006946424,0.008426688,0.01206876,0.8295414,0.5112052,0.03839702,0.02669039,0.008519318,0.02255519,0.008103373
"PD60",0.01079722,0.01347229,0.01286196,0.1801407,0.8237905,0.01281719,0.8613504,0.03869637,0.009533356,0.01198817,0.02284872,0.8740032,0.5197083,0.05619597,0.03799231,0.007532627,0.03667103,0.008379888
"PD61",0.008411645,0.01599927,0.01218063,0.05497209,0.8817412,0.01130038,0.9336736,0.05711268,0.01605011,0.008198679,0.02459863,0.8149165,0.4925843,0.04306891,0.02902235,0.01058247,0.01974963,0.01070285
"CTRL11",0.01933724,0.01295781,0.004386617,0.01105422,0.8146841,0.01119633,0.9628136,0.04070905,0.004095616,0.007644319,0.01700138,0.8703249,0.5403518,0.03631518,0.01918912,0.005106127,0.03213603,0.005369128
"CTRL40",0.01167286,0.007399186,0.008167091,0.006917599,0.8502912,0.01878637,0.912833,0.09469397,0.011275,0.01260193,0.01614136,0.8689146,0.5623932,0.04805547,0.03744562,0.007015246,0.03027123,0.002616475
"DLB35",0.007325282,0.01551446,0.01590237,0.008583691,0.8833104,0.02036488,0.926509,0.05713026,0.01295836,0.01505634,0.01788539,0.7133456,0.5342396,0.04933025,0.03516248,0.01392758,0.02641755,0.01003952
"PD9",0.02494001,0.0139678,0.02157719,0.01238646,0.8651314,0.01825157,0.8941518,0.07382913,0.02340295,0.01505562,0.02000256,0.8908006,0.5165831,0.04630176,0.03825147,0.01884058,0.02273998,0.02308111
"CTRL79",0.01312336,0.008921601,0.01115209,0.1561451,0.8382616,0.01639318,0.9304785,0.05001873,0.01445233,0.01130799,0.02150769,0.914494,0.4906528,0.02568834,0.009301906,0.005547379,0.02200106,0.009956888
"PDD61",0.01411387,0.00685445,0.007621592,0.1846976,0.8523647,0.01479632,0.9058288,0.03993756,0.0134654,0.01099006,0.01534155,0.8618774,0.5679175,0.03456747,0.02810349,0.01291838,0.02956105,0.01378175
"PD56",0.0164046,0.007715736,0.009597081,0.004121162,0.8685698,0.02007764,0.905761,0.04355498,0.001620954,0.005678885,0.01791751,0.7683524,0.5958972,0.03934454,0.01183364,0.003157375,0.02782848,0.01350986
"CTRL55",0.01335572,0.008342133,0.005632255,0.01643368,0.8152139,0.01744676,0.9206513,0.07590921,0.004803558,0.01796559,0.01453165,0.9101933,0.500002,0.04251311,0.04421975,0.004177546,0.02856252,0.005488669
"CTRL37",0.007281748,0.01590457,0.007845725,0.01544491,0.8134014,0.01076051,0.9303946,0.02991136,0.009489314,0.006088407,0.01067056,0.9107593,0.5194692,0.02495871,0.03474124,0.01111537,0.01992914,0.004289268
"CTRL82",0.01013514,0.00699456,0.01676537,0.1079636,0.8297499,0.009700635,0.9448791,0.07313565,0.008794686,0.005631462,0.01619015,0.9011968,0.5166731,0.04168505,0.02295719,0.0005302789,0.03093658,0.004609199
"CTRL32",0.01601134,0.02729824,0.008930305,0.004066543,0.8658962,0.01956417,0.9130168,0.1060907,0.006688088,0.01054046,0.01618962,0.9241257,0.4665557,0.06328549,0.04039142,0.0111968,0.02512918,0.01411913
"PD2",0.007413113,0.01670507,0.009570985,0.04361484,0.9017187,0.03444994,0.9098323,0.04540919,0.01819818,0.01890644,0.01768786,0.863825,0.5382682,0.0554591,0.04916959,0.01445523,0.03894582,0.01621682
"PD54",0.004280517,0.01092944,0.01368771,0.00672801,0.8484566,0.00554055,0.9044527,0.02475083,0.00772228,0.001514578,0.02134004,0.8027523,0.5566243,0.03808371,0.02214864,0.008233982,0.02001605,0.003666521
"CTRL48",0.01993597,0.01383715,0.00653239,0.06185718,0.8312363,0.01609486,0.9005048,0.05175997,0.01743638,0.01146355,0.009680542,0.8545953,0.4767776,0.05408774,0.03033502,0.01090047,0.02410897,0.01190617
"PD49",0.007535461,0.01102978,0.01125718,0.004075929,0.8490333,0.01583217,0.8547237,0.04891402,0.01272752,0.01559582,0.02758756,0.8678627,0.4762789,0.07758797,0.04209579,0.007007645,0.03190652,0.01079635
"PDD69",0.01228349,0.007759632,0.005443965,0.08539505,0.7917659,0.01649334,0.8962079,0.05428052,0.007063343,0.008578075,0.01591489,0.8713651,0.5605073,0.06222944,0.02349788,0.008677686,0.02875054,0.008531187
"PD45",0.0189425,0.007118684,0.013857,0.2422544,0.8214896,0.01910245,0.8869468,0.07132802,0.0137315,0.009989633,0.01411874,0.9051413,0.5101453,0.05625892,0.03463914,0.01349779,0.03304749,0.01079347
"CTRL12",0.01949983,0.00914998,0.01866504,0.2116557,0.8469979,0.01891476,0.9438073,0.04771756,0.01905587,0.01846622,0.02469837,0.8859387,0.5607916,0.03060155,0.03626653,0.01983907,0.03873295,0.01319453
"PD33",0.01931345,0.004388782,0.01273885,0.009067017,0.8054773,0.007949363,0.9119549,0.04730439,0.01088387,0.01170863,0.02165544,0.8143111,0.4321024,0.04405086,0.03052934,0.009946628,0.0233766,0.01162135
"PD51",0.02698788,0.004239179,0.004255319,0.08361168,0.8551197,0.00469606,0.919706,0.04065987,0.003386191,0.008910527,0.0144706,0.8415627,0.4947025,0.02381885,0.0072994,0.01556218,0.01841717,0.002506517
"PD13",0.01592138,0.01418607,0.01515014,0.0112782,0.8653153,0.02093234,0.8714174,0.04654807,0.01402214,0.00850523,0.01995642,0.9280042,0.4771229,0.03111454,0.01449475,0.01032363,0.02942161,0.008346316
"PDD45",0.0254635,0.009238115,0.009222873,0.1666022,0.8865749,0.01476278,0.9605105,0.04992995,0.009237075,0.008554596,0.0115894,0.7885402,0.5725456,0.03491495,0.02587061,0.002730109,0.0348586,0.008155824
"PD20",0.01565702,0.0191377,0.02157523,0.0141059,0.8579421,0.02440536,0.9325811,0.02376784,0.006778861,0.01064008,0.02682034,0.866443,0.4811026,0.04207037,0.02021505,0.01238172,0.02666615,0.0127426
"CTRL83",0.01701235,0.01146921,0.01315669,0.1810603,0.8209193,0.01070841,0.9483673,0.06640477,0.01042994,0.01059031,0.02224895,0.8017301,0.4481597,0.04804419,0.02520106,0.009536194,0.02459168,0.01363939
"PDD7",0.02399757,0.0175946,0.02099199,0.01865285,0.8233483,0.01735819,0.8883741,0.05454039,0.0300372,0.01661678,0.02428833,0.8526599,0.5989157,0.03761821,0.03739112,0.02592262,0.02875761,0.01976956
"CTRL71",0.008223559,0.01322034,0.02008983,0.00353443,0.8349855,0.004302328,0.9274848,0.02477474,0.006031073,0.008039179,0.02242099,0.8886483,0.5059262,0.03252439,0.02565607,0.001035078,0.02692142,0.01260644
"PDD47",0.01414662,0.008819539,0.006328631,0.291108,0.827867,0.01700607,0.9492093,0.03729234,0.007017605,0.004443638,0.01258245,0.8220264,0.5244978,0.02939715,0.02258514,0.00508044,0.01496247,0.0005480453
"PD32",0.01346017,0.01651955,0.02282119,0.01596752,0.8259598,0.0122982,0.9070871,0.03124442,0.01354344,0.01219237,0.02524876,0.8234136,0.4673606,0.05854105,0.02792121,0.01620228,0.03206144,0.007767421
"CTRL6",0.0198771,0.011484,0.01168224,0.0375817,0.7927357,0.0154862,0.8758131,0.02762272,0.01232573,0.0196482,0.02166546,0.8566426,0.4875444,0.04208186,0.02621217,0.005462576,0.03516015,0.01588142
"CTRL46",0.01248038,0.01040517,0.01700477,0.08662766,0.8510141,0.01406224,0.9173329,0.06421161,0.02134232,0.006599514,0.01388343,0.8913366,0.5221545,0.03113243,0.04038772,0.01056751,0.03096115,0.008151492
"PD17",0.01448965,0.005088023,0.0132626,0.01062724,0.820337,0.01213468,0.9476911,0.03820144,0.01332266,0.003201317,0.02350451,0.8914998,0.5100904,0.03524416,0.0208931,0.001802885,0.02630493,0.007776377
"PDD10",0.01426094,0.01448032,0.01943862,0.1314939,0.8465278,0.01160114,0.9196432,0.07036299,0.01330608,0.01101036,0.0239654,0.8336791,0.51087,0.04938149,0.03636145,0.01200589,0.02895309,0.02046089
"DLB12",0.01011323,0.01439086,0.01189039,0.01422181,0.785619,0.01889816,0.9222958,0.04816378,0.00907619,0.01014614,0.02652813,0.8281713,0.5744297,0.04846115,0.02998971,0.007872048,0.02859095,0.01420045
