"","cg12853539","cg14144850","cg14856606","cg00773696"
"CTRL1",0.8312013,0.8914018,0.8394847,0.01028278
"PD35",0.8160684,0.9254248,0.9046451,0.02221651
"PDD41",0.7901105,0.9329817,0.8324606,0.02004594
"PDD70",0.7586725,0.8969002,0.855984,0.01748701
"PD59",0.6661763,0.9359172,0.8846567,0.01692647
"PDD28",0.7509706,0.8686631,0.8242097,0.01636727
"CTRL78",0.7139084,0.8193247,0.830403,0.02024183
"CTRL64",0.6256542,0.8870252,0.7809676,0.01678689
"PD48",0.7688169,0.945785,0.8138943,0.02445521
"PD21",0.7917431,0.9261792,0.838913,0.02017768
"CTRL95",0.6810035,0.8981391,0.8608768,0.03064158
"CTRL57",0.7174824,0.8412602,0.7740395,0.01560345
"PDD30",0.7806681,0.8900729,0.8944966,0.02840193
"PDD22",0.9354555,0.9404413,0.8561635,0.01601511
"DLB15",0.781908,0.909824,0.8392709,0.02224997
"PD50",0.7225922,0.9135725,0.8420549,0.02556391
"CTRL29",0.8339043,0.8907787,0.8274007,0.0225468
"PDD54",0.8085955,0.9177366,0.9084638,0.01188248
"PDD27",0.7214078,0.8603029,0.8558739,0.01866226
"DLB24",0.8247964,0.9284547,0.830774,0.02260618
"PD23",0.873285,0.8732622,0.8861312,0.02357285
"PD30",0.7531972,0.8934453,0.8451636,0.01670146
"PDD15",0.6662844,0.8369221,0.814104,0.0280793
"CTRL50",0.7705872,0.8795051,0.8754223,0.00843387
"CTRL93",0.7337605,0.8641497,0.7499208,0.01276946
"PDD35",0.7233983,0.92594,0.8490244,0.02114354
"CTRL73",0.7562176,0.9463268,0.832495,0.02546211
"PDD6",0.8263661,0.9254353,0.839568,0.01994178
"CTRL13",0.595343,0.8670559,0.800348,0.01818276
"PDD73",0.778191,0.7956606,0.892725,0.01566952
"CTRL81",0.6518974,0.9320857,0.8549334,0.01860072
"CTRL33",0.6615515,0.8982843,0.8565311,0.02214238
"PDD49",0.705426,0.9503402,0.862458,0.02360402
"PD27",0.7692081,0.86259,0.9047311,0.02356334
"PDD4",0.7164094,0.7957973,0.7774794,0.03454215
"PD58",0.7676043,0.9442086,0.8729779,0.01809755
"CTRL85",0.7282413,0.8995241,0.8839811,0.0167708
"PD52",0.8352492,0.9310448,0.819844,0.0120943
"PD60",0.8519008,0.9284233,0.8237905,0.01759512
"PD61",0.6707861,0.9256471,0.8817412,0.01014901
"CTRL11",0.8278356,0.8463105,0.8146841,0.02550741
"CTRL40",0.6889873,0.8479451,0.8502912,0.02901641
"DLB35",0.7012496,0.839938,0.8833104,0.01231201
"PD9",0.7232,0.8514646,0.8651314,0.02002913
"CTRL79",0.6502493,0.9024726,0.8382616,0.01650516
"PDD61",0.6507575,0.899478,0.8523647,0.02391497
"PD56",0.7358197,0.892815,0.8685698,0.01566563
"CTRL55",0.7455168,0.8687494,0.8152139,0.02231574
"CTRL37",0.8421432,0.9695128,0.8134014,0.02011616
"CTRL82",0.8609053,0.9025071,0.8297499,0.02039578
"CTRL32",0.8107293,0.9714068,0.8658962,0.02668923
"PD2",0.8883438,0.9004767,0.9017187,0.0256568
"PD54",0.7895543,0.9241472,0.8484566,0.0180253
"CTRL48",0.6768369,0.8783993,0.8312363,0.0336288
"PD49",0.6851051,0.9061389,0.8490333,0.03568917
"PDD69",0.7574611,0.9178447,0.7917659,0.01408532
"PD45",0.6255422,0.9298094,0.8214896,0.02773826
"CTRL12",0.7894019,0.9268818,0.8469979,0.02246555
"PD33",0.7576352,0.9085763,0.8054773,0.03448276
"PD51",0.7799945,0.8998096,0.8551197,0.01654609
"PD13",0.8470592,0.886806,0.8653153,0.006452133
"PDD45",0.7045187,0.9099208,0.8865749,0.02086204
"PD20",0.7856946,0.8401969,0.8579421,0.01922355
"CTRL83",0.7535193,0.8448676,0.8209193,0.02008929
"PDD7",0.7364391,0.7832372,0.8233483,0.0319592
"CTRL71",0.737033,0.8462686,0.8349855,0.01607553
"PDD47",0.6141614,0.9611137,0.827867,0.01925546
"PD32",0.7207034,0.8917607,0.8259598,0.02478989
"CTRL6",0.8317143,0.8143905,0.7927357,0.01543461
"CTRL46",0.6342607,0.8625505,0.8510141,0.03483724
"PD17",0.8055241,0.8460353,0.820337,0.01796666
"PDD10",0.7351175,0.9044038,0.8465278,0.0240903
"DLB12",0.7915046,0.8293225,0.785619,0.01540714
"CTRL44",0.792148,0.9484245,0.8579937,0.02393277
"CTRL86",0.7453901,0.9257109,0.824298,0.01330062
"DLB27",0.729485,0.9409096,0.8206273,0.02573275
"PD18",0.7542573,0.8584311,0.7936187,0.0192353
"CTRL20",0.7219101,0.944234,0.8017507,0.02608236
"PDD50",0.8373915,0.9708752,0.8259861,0.0247666
"DLB21",0.7698841,0.8504733,0.8392807,0.02124325
"CTRL53",0.7702697,0.8859203,0.842411,0.01744922
"CTRL65",0.6062066,0.8618652,0.8701945,0.02699883
"PD38",0.8326361,0.9276815,0.7876772,0.02285155
"CTRL18",0.8332912,0.9546068,0.8010252,0.01891993
"PDD36",0.6371153,0.8954743,0.7849649,0.01717241
"PDD64",0.8365761,0.9400876,0.8757356,0.00475466
"PD42",0.8932754,0.9089301,0.8699095,0.02955746
"PDD33",0.8101965,0.938061,0.867722,0.01215432
"PDD65",0.7383872,0.8482612,0.8768464,0.01256001
"PD62",0.721994,0.9353388,0.8302245,0.01131706
"PDD77",0.7798698,0.9600065,0.9110832,0.02052428
"PDD2",0.8269038,0.8941027,0.8198528,0.02525413
"PD25",0.917542,0.9391677,0.862458,0.01293341
"DLB14",0.8260419,0.8843481,0.8496769,0.02385293
