"","cg18740718","cg00140235","cg09060462","cg14144850","cg21931717","cg14856606","cg04030905","cg22181664","cg26835908","cg12635019","cg12882476","cg08368441","cg26115216","cg03321592","cg21595526","cg19259574","cg18014247"
"PDD26",0.01721377,0.008923139,0.09574724,0.9224447,0.2969538,0.8332241,0.0140593,0.9057132,0.05856225,0.06983675,0.009950249,0.01491604,0.8667358,0.03359381,0.009131293,0.03499495,0.011243
"PDD25",0.01937716,0.00240096,0.2342136,0.9582058,0.2810674,0.8488413,0.009545533,0.940473,0.04177488,0.2041348,0.005543237,0.03099947,0.860559,0.05113896,0.01160524,0.03359289,0.007415576
"PD1",0.01353932,0.008325281,0.08690342,0.8714371,0.03813752,0.8344777,0.005118533,0.912324,0.04892672,0.1571321,0.008417075,0.01218251,0.8971096,0.04153592,0.003173029,0.02399139,0.0108484
"CTRL24",0.03367429,0.00526118,0.03588606,0.9011629,0.009263774,0.8365573,0.01101601,0.863957,0.04837391,0.1519101,0.003615983,0.01295471,0.8747867,0.04386182,0.004557797,0.04115064,0.01211431
"PD55",0.01768252,0.01062946,0.070641,0.9471329,0.005939593,0.8664915,0.005986528,0.9389747,0.03731852,0.1390025,0.004930312,0.01416724,0.8546256,0.04187605,0.01661095,0.02918993,0.005813219
"CTRL15",0.02138738,0.006231118,0.07107802,0.9626766,0.1898641,0.7884628,0.008758609,0.8529866,0.0508015,0.2055767,0.006735381,0.01248918,0.8598146,0.03586732,0.009019309,0.02664658,0.009532047
"CTRL63",0.01859944,0.002384684,0.09350554,0.8203045,0.05332373,0.8855603,0.009938992,0.8795722,0.02227291,0.2386924,0.005905659,0.018113,0.9156545,0.05806892,0.005035159,0.01634726,0.01243769
"PDD60",0.03447612,0.008430948,0.09459234,0.9336184,0.1202175,0.8644179,0.01667596,0.9094182,0.07506636,0.1705755,0.01021873,0.01613879,0.7426832,0.04380637,0.0007560722,0.03877979,0.01652995
"PDD51",0.03244561,0.008363202,0.06699496,0.9540503,0.0132359,0.896792,0.01717182,0.863983,0.02683571,0.1701977,0.01182376,0.01270507,0.8445897,0.07822686,0.006912153,0.0322194,0.01068085
"PDD43",0.03740968,0.01296691,0.01597542,0.9541568,0.3550911,0.8736011,0.009770877,0.9299876,0.02528106,0.1071723,0.01165266,0.02062804,0.8087276,0.03844268,0.01260723,0.02783168,0.01561488
"PD14",0.01561462,0.00631057,0.03542054,0.8297331,0.2650643,0.8254671,0.0132509,0.9072876,0.079427,0.2898821,0.007126097,0.01941553,0.9196767,0.04312967,0.01158096,0.02956428,0.01465358
"PDD5",0.01590551,0.01357594,0.1542117,0.8739275,0.2234784,0.8197402,0.02408667,0.897784,0.07771765,0.1842276,0.01768152,0.02404667,0.7485493,0.03921982,0.01839144,0.02444575,0.02124549
"PD37",0.03095485,0.004586832,0.03649074,0.9636415,0.02269334,0.8422494,0.00762791,0.9178695,0.05984353,0.2001285,0.0079678,0.02621865,0.8757145,0.05271499,0.003757044,0.01869054,0.01600121
"CTRL80",0.01906698,0.00827801,0.0450051,0.7913867,0.09075025,0.7937445,0.03403874,0.9189585,0.05154095,0.105076,0.009255797,0.02187069,0.8664484,0.03917326,0.002829712,0.02593711,0.008743206
"PDD74",0.0347013,0.007985734,0.03750531,0.9883795,0.009624639,0.8232384,0.008221991,0.9630613,0.02241769,0.1624079,0.01181102,0.02669972,0.8443951,0.05017048,0.004687042,0.02262312,0.009779032
"CTRL62",0.02038425,0.0007287664,0.05000979,0.9161328,0.004592193,0.8531067,0.007853095,0.9005684,0.06355722,0.1870192,0.009786846,0.02830644,0.8864003,0.04015425,0.008426722,0.02084808,0.01388051
"PD3",0.02701407,0.01912982,0.1796452,0.8742734,0.02591483,0.7934355,0.03750895,0.910402,0.05779105,0.1119596,0.01924433,0.0311518,0.8028488,0.05216535,0.02849845,0.04193682,0.01927987
"CTRL39",0.02905329,0.002227011,0.04727254,0.8925833,0.01894553,0.8118299,0.01671114,0.9140111,0.06116756,0.1788688,0.01227357,0.01554046,0.8566368,0.04288114,0.01430469,0.03969296,0.0144882
"CTRL97",0.02686281,0.005808731,0.04708793,0.8823314,0.006834152,0.8423387,0.009640587,0.9108625,0.1006655,0.2100313,0.01242665,0.01010782,0.8778761,0.0543971,0.007407407,0.0280017,0.00864704
"PD47",0.02440429,0.004455488,0.1044295,0.869429,0.01813187,0.8098757,0.01472191,0.8937702,0.05559117,0.2098187,0.01002654,0.0152737,0.8360628,0.047723,0.009210223,0.03056243,0.02155779
"DLB17",0.01417077,0.01551116,0.07057298,0.8436382,0.01564757,0.9061748,0.0190031,0.9281329,0.0389858,0.1994447,0.01297297,0.02981261,0.7696004,0.05496045,0.0131808,0.03123689,0.01886143
"DLB2",0.01498788,0.01790469,0.09377146,0.8522631,0.01924408,0.8673931,0.03828667,0.8367756,0.04543264,0.1284707,0.01506877,0.02622005,0.7236478,0.03881955,0.01673336,0.05274985,0.02217213
"CTRL35",0.03120071,0.008115204,0.02620149,0.9010744,0.003352555,0.8461338,0.01427788,0.9058925,0.06835789,0.1718839,0.008330993,0.02174398,0.8728692,0.05514672,0.006736675,0.0328788,0.008788957
"PD8",0.01830451,0.01018616,0.05805448,0.9434566,0.01696284,0.8637676,0.02578503,0.8892145,0.04668377,0.1723103,0.01799713,0.02941553,0.807451,0.03112481,0.02083052,0.03102987,0.0162745
"CTRL51",0.01271819,0.004594181,0.03527028,0.8623499,0.01683867,0.8232207,0.008070872,0.91991,0.04679428,0.186887,0.003326864,0.01462113,0.7987897,0.02941668,0.009327984,0.02557922,0.01162297
"CTRL77",0.02619805,0.009357409,0.07582734,0.9020819,0.007414469,0.8326819,0.006307264,0.8851814,0.02764527,0.1467184,0.00885906,0.008900256,0.8453669,0.03401045,0.0155096,0.02041186,0.008768113
"CTRL68",0.01767664,0.005909091,0.09460814,0.9001085,0.2843494,0.835352,0.01036758,0.9236275,0.0599848,0.1618175,0.00763425,0.02066554,0.8322752,0.04324864,0.01387859,0.03068005,0.01152497
"PDD24",0.0173639,0.009352787,0.08044745,0.8707214,0.01242947,0.815341,0.01013225,0.9868304,0.03953701,0.1971131,0.007463193,0.01623154,0.8211519,0.05038144,0.004971933,0.02355683,0.006276436
"CTRL19",0.03092919,0.004309726,0.08461551,0.9374133,0.1533333,0.8118285,0.01462599,0.9444875,0.05175719,0.1150258,0.004257061,0.02467428,0.9067212,0.04932866,0.004713805,0.02455104,0.008698693
"PDD13",0.01719951,0.007958688,0.1298674,0.918749,0.03375166,0.8097599,0.01142143,0.9044093,0.06897347,0.1513837,0.006190673,0.01163238,0.7793631,0.02407337,0.0087934,0.01988689,0.01100883
"CTRL43",0.03478215,0.01232984,0.05431625,0.8587016,0.003719148,0.7740412,0.02595916,0.8791143,0.06089078,0.1607361,0.01165702,0.01559044,0.9319417,0.06981748,0.007245658,0.02909229,0.009502001
"DLB11",0.02721595,0.00855615,0.08809502,0.9153857,0.007897153,0.8404236,0.01204285,0.900106,0.04401352,0.1975923,0.008693778,0.01816014,0.8104254,0.04964096,0.006255585,0.02825568,0.01026141
"PDD58",0.02747802,0.005117935,0.04029111,0.886755,0.0005952381,0.910037,0.01003026,0.9071519,0.06628883,0.1595554,0.005353179,0.01749867,0.8570069,0.04490723,0.007645372,0.02871645,0.01614698
"CTRL42",0.03062754,0.006174572,0.07152196,0.9293421,0.1962779,0.8592417,0.009970512,0.8840255,0.04224434,0.228981,0.003606794,0.01461316,0.8822103,0.04836571,0.01645179,0.03048441,0.0113649
"PDD53",0.0218564,0.002399204,0.02181663,0.9290131,0.1720994,0.8433834,0.01437507,0.8921891,0.03859233,0.1285453,0.004671905,0.009292413,0.7635751,0.04558742,0.01124538,0.02737461,0.009615641
"PD40",0.03891802,0.003263403,0.04176817,0.9115966,0.009758478,0.8193516,0.01349096,0.9536049,0.05119538,0.1589224,0.006609094,0.01553921,0.858518,0.03447924,0.003138268,0.03272201,0.01592448
"PDD44",0.02652038,0.00802249,0.06762723,0.9158015,0.004867496,0.8863343,0.02445886,0.9206676,0.01884935,0.1896587,0.01316776,0.02005731,0.7668666,0.02997985,0.01109021,0.03676166,0.01835944
"PD6",0.0159486,0.01212546,0.1198633,0.8190403,0.01852626,0.840197,0.03132073,0.8846938,0.03639155,0.1516886,0.01611023,0.02082169,0.8059406,0.04339378,0.01390465,0.03686738,0.01282571
"CTRL1",0.01299101,0.009778744,0.1512434,0.8914018,0.01797386,0.8394847,0.01691642,0.8930689,0.02751931,0.1584633,0.01757001,0.02877698,0.8913934,0.04290009,0.01163095,0.02874225,0.02182823
"PD35",0.02486575,0.002019765,0.09928071,0.9254248,0.01270258,0.9046451,0.01884125,0.8790746,0.06097883,0.169249,0.01339898,0.01409736,0.7830189,0.04670446,0.007726796,0.04996714,0.01150689
"PDD41",0.03484341,0.008023023,0.0556156,0.9329817,0.01044493,0.8324606,0.009475131,0.8470315,0.03577007,0.2111093,0.01113252,0.01659612,0.8967569,0.04690687,0.005934718,0.03750754,0.01716824
"PDD70",0.01637138,0.004814697,0.07230076,0.8969002,0.2729297,0.855984,0.009445699,0.9046389,0.03624413,0.1524366,0.008263285,0.02030457,0.8822212,0.03491389,0.006742739,0.02529324,0.01712073
"PD59",0.02192115,0.00959974,0.07905394,0.9359172,0.00672748,0.8846567,0.008310308,0.9368191,0.05113052,0.2051003,0.007973775,0.01955565,0.8178739,0.03045889,0.01103434,0.03109663,0.01280834
"PDD28",0.01003542,0.009369739,0.07864976,0.8686631,0.01056604,0.8242097,0.01098769,0.8937504,0.03208757,0.1141063,0.005586133,0.01616773,0.8468743,0.0651403,0.008042066,0.01948004,0.02023412
"CTRL78",0.0232575,0.01267963,0.1003552,0.8193247,0.08907022,0.830403,0.02824863,0.8596023,0.055778,0.1784049,0.01056545,0.02794063,0.8570971,0.04531908,0.01211034,0.04113437,0.0267603
"CTRL64",0.01685741,0.009360635,0.1775306,0.8870252,0.09795142,0.7809676,0.01742067,0.9249017,0.04165417,0.1125659,0.01337598,0.0257661,0.8850882,0.04985745,0.01379827,0.02738393,0.01212754
"PD48",0.03015371,0.008862983,0.03028912,0.945785,0.01265518,0.8138943,0.01130632,0.8881739,0.07109695,0.1679794,0.02019584,0.02737048,0.808906,0.03703419,0.009590918,0.02924581,0.02870646
"PD21",0.01956664,0.01497529,0.1869899,0.9261792,0.1225589,0.838913,0.008418743,0.9006778,0.03512037,0.09223957,0.009080688,0.01675008,0.7360507,0.02307759,0.007804972,0.02003482,0.01391014
"CTRL95",0.03060097,0.004655239,0.1166493,0.8981391,0.08125203,0.8608768,0.01377524,0.9073414,0.03574854,0.143071,0.008327299,0.02370788,0.8471935,0.034556,0.002013943,0.02605941,0.01983633
"CTRL57",0.01978302,0.006943429,0.05689741,0.8412602,0.2191888,0.7740395,0.01065432,0.9100389,0.0331989,0.1944425,0.01011441,0.01215521,0.901975,0.02483637,0.004254164,0.02501293,0.01100013
"PDD30",0.03369107,0.01062356,0.06153946,0.8900729,0.01159251,0.8944966,0.02269219,0.9384747,0.08498283,0.1935944,0.005683971,0.02771415,0.9131382,0.04974889,0.001549267,0.03873999,0.01081327
"PDD22",0.01686096,0.007737791,0.04418284,0.9404413,0.008906234,0.8561635,0.007544991,0.9389356,0.05547901,0.09218466,0.002108678,0.01970216,0.8509491,0.04535128,0.01135598,0.02709433,0.02096107
"DLB15",0.01253319,0.011727,0.112152,0.909824,0.02335766,0.8392709,0.02141224,0.8142551,0.03459179,0.1118773,0.01964286,0.0377305,0.8775925,0.03375042,0.0235732,0.03932447,0.02193783
"PD50",0.03130103,0.004302499,0.04243213,0.9135725,0.01649647,0.8420549,0.0103971,0.954984,0.04761025,0.182529,0.01143123,0.01617807,0.8740286,0.03810807,0.01008386,0.03144264,0.01483654
"CTRL29",0.03297323,0.008371261,0.04717019,0.8907787,0.003694723,0.8274007,0.01015979,0.8957819,0.06216087,0.106369,0.006814815,0.02129075,0.8625946,0.05250749,0.0007902461,0.03515287,0.01665878
"PDD54",0.0278098,0.004048583,0.1023095,0.9177366,0.1503699,0.9084638,0.01062343,0.9126757,0.04351386,0.1147579,0.007746659,0.02596279,0.7441516,0.03440882,0.003584586,0.03911701,0.009334761
"PDD27",0.009003261,0.008766672,0.003334501,0.8603029,0.01712483,0.8558739,0.01732347,0.9000696,0.03951387,0.2388904,0.004804139,0.02117517,0.8817259,0.02487206,0.006331117,0.02326502,0.008911351
"DLB24",0.02175077,0.006097561,0.03221381,0.9284547,0.01254553,0.830774,0.01998269,0.9552879,0.01195571,0.1294845,0.008739985,0.02006247,0.8146815,0.03837709,0.02119327,0.05215206,0.0215193
"PD23",0.01795367,0.009813974,0.04760344,0.8732622,0.1865054,0.8861312,0.009193433,0.9349548,0.03521635,0.1921852,0.005986509,0.01673423,0.8208435,0.03119444,0.01276371,0.03147641,0.01825486
"PD30",0.01772186,0.006406269,0.05280439,0.8934453,0.1832061,0.8451636,0.01181641,0.9394243,0.07930997,0.1293016,0.008751549,0.0201278,0.8197073,0.04525956,0.01355774,0.02143119,0.01233108
"PDD15",0.01442128,0.01556242,0.08958183,0.8369221,0.2029709,0.814104,0.02106591,0.9298173,0.04290899,0.1438512,0.0099514,0.02352941,0.831784,0.03820803,0.02080344,0.04429975,0.03092354
"CTRL50",0.01151408,0.005565737,0.0594669,0.8795051,0.0758069,0.8754223,0.01186879,0.9358425,0.02738011,0.1514435,0.01076863,0.0230476,0.812357,0.02153696,0.01114907,0.01741,0.007725437
"CTRL93",0.01704798,0.001507971,0.089405,0.8641497,0.1901946,0.7499208,0.009057828,0.9522748,0.06570014,0.1510247,0.008984598,0.01247827,0.855403,0.0431502,0.007456504,0.03315664,0.01490708
"PDD35",0.02972435,0.01272974,0.08924601,0.92594,0.01134418,0.8490244,0.0142236,0.8495582,0.0799609,0.1036901,0.01366839,0.02248021,0.8534066,0.03822952,0.01273311,0.02536802,0.01173312
"CTRL73",0.01879441,0.0121533,0.1114627,0.9463268,0.01439313,0.832495,0.01501294,0.7883305,0.05254615,0.212033,0.009146057,0.02848434,0.8323336,0.04231377,0.009946602,0.01491144,0.01022181
"PDD6",0.01342877,0.003547086,0.1453637,0.9254353,0.01591316,0.839568,0.009358212,0.9085421,0.06452092,0.1400435,0.008841249,0.01495101,0.8598091,0.02723024,0.006316767,0.02932995,0.01347657
"CTRL13",0.01398662,0.002023309,0.02783104,0.8670559,0.399063,0.800348,0.01320699,0.903096,0.03943127,0.2309956,0.001255718,0.02026509,0.8927391,0.03968353,0.01229793,0.02461479,0.005704837
"PDD73",0.01944444,0.009922193,0.07521505,0.7956606,0.09406626,0.892725,0.009841815,0.9537068,0.0184993,0.08935654,0.00504961,0.006974717,0.8712547,0.02576002,0.007470165,0.02531805,0.02241494
"CTRL81",0.0219307,0.0002691066,0.05102912,0.9320857,0.006641671,0.8549334,0.01038046,0.9307793,0.03573246,0.1709295,0.01152208,0.01952214,0.7935527,0.04397743,0.007020152,0.03626046,0.008560514
"CTRL33",0.01544703,0.0066411,0.03080389,0.8982843,0.2272313,0.8565311,0.0147507,0.9417819,0.043333,0.2049402,0.01634565,0.01456249,0.8395792,0.02668332,0.006169793,0.02943408,0.005036118
"PDD49",0.01906831,0.002610114,0.04470172,0.9503402,0.3793711,0.862458,0.003060199,0.8924151,0.02268633,0.1655828,0.003575685,0.01740683,0.9061732,0.06348621,0.006821282,0.0340407,0.01146499
"PD27",0.03374917,0.006402656,0.05878021,0.86259,0.1615564,0.9047311,0.01939218,0.9217222,0.03972105,0.1378897,0.0123667,0.01056763,0.8791682,0.05462223,0.01162547,0.03077507,0.01456476
"PDD4",0.02397205,0.01626898,0.1716396,0.7957973,0.02131481,0.7774794,0.02205151,0.9115227,0.05420465,0.1156402,0.01406866,0.02604549,0.8654367,0.05903551,0.02475309,0.05228174,0.01246367
"PD58",0.01941432,0.00211685,0.03954354,0.9442086,0.01463687,0.8729779,0.0009200491,0.9234773,0.03068626,0.1478975,0.001735968,0.02053562,0.7877065,0.03823781,0.008723088,0.02772053,0.01402267
"CTRL85",0.02120059,0.004790234,0.1162969,0.8995241,0.006647368,0.8839811,0.01587174,0.9041866,0.02956126,0.140478,0.009848812,0.02259304,0.8815414,0.04030388,0.01392954,0.01871628,0.01015668
"PD52",0.01055785,0.00921574,0.03999374,0.9310448,0.2976401,0.819844,0.006219019,0.9182412,0.0398201,0.0945298,0.008426688,0.01206876,0.8295414,0.03839702,0.008519318,0.02255519,0.00754697
"PD60",0.01862499,0.01302228,0.02771222,0.9284233,0.1801407,0.8237905,0.01281719,0.8613504,0.03869637,0.09556665,0.01198817,0.02284872,0.8740032,0.05619597,0.007532627,0.03667103,0.01581384
"PD61",0.02426694,0.01110547,0.04452756,0.9256471,0.05497209,0.8817412,0.01130038,0.9336736,0.05711268,0.1077248,0.008198679,0.02459863,0.8149165,0.04306891,0.01058247,0.01974963,0.01320599
"CTRL11",0.02084212,0.005325133,0.05927733,0.8463105,0.01105422,0.8146841,0.01119633,0.9628136,0.04070905,0.1143479,0.007644319,0.01700138,0.8703249,0.03631518,0.005106127,0.03213603,0.01006003
"CTRL40",0.03414518,0.006872407,0.04759005,0.8479451,0.006917599,0.8502912,0.01878637,0.912833,0.09469397,0.2048346,0.01260193,0.01614136,0.8689146,0.04805547,0.007015246,0.03027123,0.01385373
"DLB35",0.02914694,0.008439898,0.05805728,0.839938,0.008583691,0.8833104,0.02036488,0.926509,0.05713026,0.1759366,0.01505634,0.01788539,0.7133456,0.04933025,0.01392758,0.02641755,0.0110039
"PD9",0.0232902,0.01039817,0.09635329,0.8514646,0.01238646,0.8651314,0.01825157,0.8941518,0.07382913,0.1792161,0.01505562,0.02000256,0.8908006,0.04630176,0.01884058,0.02273998,0.01624757
"CTRL79",0.009548292,0.005872894,0.06508902,0.9024726,0.1561451,0.8382616,0.01639318,0.9304785,0.05001873,0.1371691,0.01130799,0.02150769,0.914494,0.02568834,0.005547379,0.02200106,0.01353617
"PDD61",0.0324872,0.01184366,0.06189542,0.899478,0.1846976,0.8523647,0.01479632,0.9058288,0.03993756,0.1926565,0.01099006,0.01534155,0.8618774,0.03456747,0.01291838,0.02956105,0.01447714
"PD56",0.01223932,0.005712612,0.05196447,0.892815,0.004121162,0.8685698,0.02007764,0.905761,0.04355498,0.1152831,0.005678885,0.01791751,0.7683524,0.03934454,0.003157375,0.02782848,0.008923568
"CTRL55",0.01582356,0.01247588,0.05457332,0.8687494,0.01643368,0.8152139,0.01744676,0.9206513,0.07590921,0.2175781,0.01796559,0.01453165,0.9101933,0.04251311,0.004177546,0.02856252,0.01283892
"CTRL37",0.02314901,0.005042385,0.007514673,0.9695128,0.01544491,0.8134014,0.01076051,0.9303946,0.02991136,0.0740371,0.006088407,0.01067056,0.9107593,0.02495871,0.01111537,0.01992914,0.01116864
"CTRL82",0.0167519,0.00788004,0.03913819,0.9025071,0.1079636,0.8297499,0.009700635,0.9448791,0.07313565,0.1569641,0.005631462,0.01619015,0.9011968,0.04168505,0.0005302789,0.03093658,0.01211568
"CTRL32",0.02639087,0.01080305,0.02358627,0.9714068,0.004066543,0.8658962,0.01956417,0.9130168,0.1060907,0.1253413,0.01054046,0.01618962,0.9241257,0.06328549,0.0111968,0.02512918,0.007650624
"PD2",0.01790446,0.01514415,0.1428859,0.9004767,0.04361484,0.9017187,0.03444994,0.9098323,0.04540919,0.0764955,0.01890644,0.01768786,0.863825,0.0554591,0.01445523,0.03894582,0.01475093
"PD54",0.01204623,0.003982503,0.09436695,0.9241472,0.00672801,0.8484566,0.00554055,0.9044527,0.02475083,0.142044,0.001514578,0.02134004,0.8027523,0.03808371,0.008233982,0.02001605,0.008869756
"CTRL48",0.02286277,0.006129762,0.04064262,0.8783993,0.06185718,0.8312363,0.01609486,0.9005048,0.05175997,0.2323016,0.01146355,0.009680542,0.8545953,0.05408774,0.01090047,0.02410897,0.01041056
"PD49",0.0264181,0.004520655,0.0475893,0.9061389,0.004075929,0.8490333,0.01583217,0.8547237,0.04891402,0.1183133,0.01559582,0.02758756,0.8678627,0.07758797,0.007007645,0.03190652,0.01935604
"PDD69",0.01924526,0.01240711,0.08515525,0.9178447,0.08539505,0.7917659,0.01649334,0.8962079,0.05428052,0.1449776,0.008578075,0.01591489,0.8713651,0.06222944,0.008677686,0.02875054,0.01932785
"PD45",0.04990133,0.004797918,0.0694513,0.9298094,0.2422544,0.8214896,0.01910245,0.8869468,0.07132802,0.1901241,0.009989633,0.01411874,0.9051413,0.05625892,0.01349779,0.03304749,0.01468003
"CTRL12",0.01451501,0.01084661,0.06936938,0.9268818,0.2116557,0.8469979,0.01891476,0.9438073,0.04771756,0.1614073,0.01846622,0.02469837,0.8859387,0.03060155,0.01983907,0.03873295,0.02319961
"PD33",0.03080048,0.00159042,0.03610334,0.9085763,0.009067017,0.8054773,0.007949363,0.9119549,0.04730439,0.08437878,0.01170863,0.02165544,0.8143111,0.04405086,0.009946628,0.0233766,0.01282585
"PD51",0.01173606,0.007870788,0.04630818,0.8998096,0.08361168,0.8551197,0.00469606,0.919706,0.04065987,0.1292308,0.008910527,0.0144706,0.8415627,0.02381885,0.01556218,0.01841717,0.01009042
"PD13",0.02057252,0.0143611,0.08540254,0.886806,0.0112782,0.8653153,0.02093234,0.8714174,0.04654807,0.06030016,0.00850523,0.01995642,0.9280042,0.03111454,0.01032363,0.02942161,0.01450831
"PDD45",0.02470115,0.01063426,0.02345937,0.9099208,0.1666022,0.8865749,0.01476278,0.9605105,0.04992995,0.09841144,0.008554596,0.0115894,0.7885402,0.03491495,0.002730109,0.0348586,0.01873681
"PD20",0.01810619,0.01040802,0.02436684,0.8401969,0.0141059,0.8579421,0.02440536,0.9325811,0.02376784,0.1668874,0.01064008,0.02682034,0.866443,0.04207037,0.01238172,0.02666615,0.01557955
"CTRL83",0.02032708,0.002129835,0.09027947,0.8448676,0.1810603,0.8209193,0.01070841,0.9483673,0.06640477,0.1883166,0.01059031,0.02224895,0.8017301,0.04804419,0.009536194,0.02459168,0.0154916
"PDD7",0.02591873,0.01026379,0.08197569,0.7832372,0.01865285,0.8233483,0.01735819,0.8883741,0.05454039,0.2319891,0.01661678,0.02428833,0.8526599,0.03761821,0.02592262,0.02875761,0.02123925
"CTRL71",0.008853681,0.004277088,0.08372359,0.8462686,0.00353443,0.8349855,0.004302328,0.9274848,0.02477474,0.1179381,0.008039179,0.02242099,0.8886483,0.03252439,0.001035078,0.02692142,0.012097
"PDD47",0.03047476,0.00571303,0.04388882,0.9611137,0.291108,0.827867,0.01700607,0.9492093,0.03729234,0.1728824,0.004443638,0.01258245,0.8220264,0.02939715,0.00508044,0.01496247,0.007970681
"PD32",0.03492758,0.003724725,0.04277736,0.8917607,0.01596752,0.8259598,0.0122982,0.9070871,0.03124442,0.159375,0.01219237,0.02524876,0.8234136,0.05854105,0.01620228,0.03206144,0.01307059
"CTRL6",0.01693986,0.0171279,0.08114869,0.8143905,0.0375817,0.7927357,0.0154862,0.8758131,0.02762272,0.04434488,0.0196482,0.02166546,0.8566426,0.04208186,0.005462576,0.03516015,0.01518557
"CTRL46",0.0273937,0.008629782,0.09019835,0.8625505,0.08662766,0.8510141,0.01406224,0.9173329,0.06421161,0.1748381,0.006599514,0.01388343,0.8913366,0.03113243,0.01056751,0.03096115,0.01785009
"PD17",0.02872435,0.01023634,0.07778896,0.8460353,0.01062724,0.820337,0.01213468,0.9476911,0.03820144,0.2629422,0.003201317,0.02350451,0.8914998,0.03524416,0.001802885,0.02630493,0.01627557
"PDD10",0.02203539,0.01494311,0.07746584,0.9044038,0.1314939,0.8465278,0.01160114,0.9196432,0.07036299,0.1567477,0.01101036,0.0239654,0.8336791,0.04938149,0.01200589,0.02895309,0.01382866
"DLB12",0.01430187,0.005474606,0.0576684,0.8293225,0.01422181,0.785619,0.01889816,0.9222958,0.04816378,0.1614377,0.01014614,0.02652813,0.8281713,0.04846115,0.007872048,0.02859095,0.005679285
"CTRL44",0.01371047,0.002678431,0.08421718,0.9484245,0.2101512,0.8579937,0.008455979,0.9064456,0.04085248,0.193362,0.009063165,0.02345369,0.854659,0.03553038,0.002811245,0.02570556,0.01902033
"CTRL86",0.01589595,0.0007525021,0.09448828,0.9257109,0.001477261,0.824298,0.004879224,0.8915253,0.05120676,0.1257848,0.004206193,0.01858328,0.8515503,0.03565162,0.008945288,0.02849431,0.006111863
"DLB27",0.04578934,0.003145204,0.01987778,0.9409096,0.0106452,0.8206273,0.02134904,0.840851,0.03551283,0.1870636,0.01012209,0.02424679,0.868984,0.06201172,0.007278481,0.02612563,0.01690373
"PD18",0.01772414,0.005817653,0.05058302,0.8584311,0.2075472,0.7936187,0.009699375,0.9236735,0.04505093,0.1748122,0.005326777,0.01492353,0.8125183,0.02621003,0.002930208,0.02731345,0.01423994
"CTRL20",0.02557794,0.005073934,0.01363205,0.944234,0.003458712,0.8017507,0.01072279,0.9355507,0.05739924,0.1726629,0.006271478,0.0276437,0.8565804,0.04842498,0.008338125,0.03599065,0.008276876
"PDD50",0.02748426,0.002424595,0.06016484,0.9708752,0.1882481,0.8259861,0.009518332,0.921161,0.04186902,0.160716,0.008036107,0.02780365,0.8320122,0.04861548,0.008768434,0.03170707,0.01234489
"DLB21",0.02415434,0.002512806,0.04067991,0.8504733,0.004456825,0.8392807,0.0112538,0.9109437,0.02843711,0.2489562,0.004958842,0.01119023,0.7543158,0.04401727,0.01271915,0.02358992,0.0149167
