"","cg17805199","cg07996485","cg10138044","cg23834525","cg23657782","cg21951848","cg13874979","cg05348770","cg06952719","cg06998282","cg14904079","cg00140235","cg05313680","cg00391977","cg23882019","cg13690038","cg20357416","cg14723638","cg15175129","cg14318068","cg01674530","cg12372924","cg21598294","cg09060462","cg07253510","cg08467643","cg24665412","cg11280964","cg11163901","cg18127922","cg02941135","cg02097462","cg18880384","cg01947949","cg14144850","cg14856606","cg04030905","cg22181664","cg10762038","cg11312462","cg02853470","cg25936334","cg01753595","cg16985117","cg27312391","cg20936920","cg24517989","cg11971077","cg12635019","cg08368441","cg26115216","cg17159550","cg05788267","cg09584003","cg13773306","cg22364932","cg16941122","cg16959863","cg13871037","cg24855045","cg14350358","cg07755528","cg03321592","cg22200330","cg14855519","cg03967521","cg07642754","cg08485937","cg00901585","cg25284031","cg06410591","cg23092527","cg22053720","cg25981350","cg21595526","cg09508356","cg20075042","cg08685832","cg05652783","cg20850582","cg24683035","cg19259574","cg15283292","cg15197657","cg24767698","cg07904447","cg00271390","cg10687936","cg24384430","cg18014247","cg23411587","cg00612672","cg03678860","cg10657611","cg05747963","cg16085649","cg22806431","cg15310800","cg11341440"
"PDD26",0.6469074,0.9319199,0.7945478,0.09406607,0.965657,0.9413818,0.9686496,0.966369,0.01557519,0.04655952,0.962018,0.008923139,0.787082,0.4570994,0.6989175,0.02246842,0.7649639,0.6199913,0.2314959,0.8654368,0.6922049,0.9611139,0.9587338,0.09574724,0.9563804,0.9239331,0.9051733,0.01189753,0.009541737,0.277518,0.6400009,0.8469939,0.4696936,0.02623668,0.9224447,0.8332241,0.0140593,0.9057132,0.87572,0.8261143,0.9305862,0.05610299,0.2083809,0.8437224,0.974817,0.9341154,0.6751675,0.003729859,0.06983675,0.01491604,0.8667358,0.7700216,0.9511777,0.7741413,0.6834834,0.9706572,0.6664706,0.9600693,0.9366982,0.7228059,0.8667203,0.5920547,0.03359381,0.05050522,0.1687163,0.009203537,0.8346189,0.9097552,0.894232,0.8603109,0.1205857,0.9510648,0.7212639,0.6449099,0.009131293,0.5170028,0.9244154,0.944569,0.9091677,0.02069331,0.01286852,0.03499495,0.9230449,0.272342,0.9420665,0.0315264,0.965048,0.9338614,0.07288002,0.011243,0.940427,0.8546508,0.9190614,0.945836,0.95784,0.4207852,0.7708984,0.971252,0.8759597
"PDD25",0.746791,0.9380194,0.7479545,0.114548,0.9676777,0.948502,0.9730741,0.9655979,0.02044215,0.0263194,0.942985,0.00240096,0.6236279,0.4305538,0.6874461,0.03320333,0.7913101,0.6881497,0.2523622,0.8996867,0.7141527,0.981756,0.9653366,0.2342136,0.8915236,0.9151024,0.9385724,0.06129936,0.005125905,0.3983539,0.6722208,0.799612,0.69541,0.03306301,0.9582058,0.8488413,0.009545533,0.940473,0.8929387,0.7282746,0.8928994,0.0458595,0.2077344,0.8869817,0.9872447,0.9481894,0.6851393,0.008273123,0.2041348,0.03099947,0.860559,0.6546616,0.959104,0.8199503,0.7677279,0.9730193,0.5991004,0.939091,0.9369884,0.8089812,0.76843,0.7854752,0.05113896,0.0386482,0.3336823,0.004443834,0.8126466,0.8500046,0.9080473,0.7890245,0.07017395,0.9772843,0.6343349,0.671816,0.01160524,0.6921197,0.9280082,0.9515396,0.9646862,0.01900957,0.006362019,0.03359289,0.9533612,0.4209988,0.9299187,0.03198995,0.9714154,0.9600624,0.2110997,0.007415576,0.9416961,0.9054824,0.9195776,0.9346119,0.9549795,0.4499939,0.7727638,0.9298832,0.7841182
"PD1",0.7391096,0.9469637,0.8161762,0.08633929,0.9573586,0.9725441,0.9784438,0.9439747,0.0269625,0.005531457,0.9287918,0.008325281,0.7587718,0.4724096,0.7105919,0.02171898,0.7384749,0.6422286,0.2096932,0.9247244,0.6346658,0.9721064,0.9712186,0.08690342,0.9538934,0.842182,0.9002187,0.04091729,0.01123268,0.2910542,0.7070507,0.8145907,0.4246613,0.0732151,0.8714371,0.8344777,0.005118533,0.912324,0.8823848,0.8551036,0.8497131,0.04522672,0.284325,0.8778456,0.9729489,0.9637279,0.7287873,0.002928944,0.1571321,0.01218251,0.8971096,0.5922968,0.9518438,0.7454763,0.6915432,0.9520729,0.6560122,0.9614493,0.9458631,0.7149398,0.9000373,0.6503101,0.04153592,0.03136883,0.2053423,0.003770091,0.8017198,0.9235278,0.8305962,0.8316315,0.1205651,0.9917037,0.6553049,0.5602735,0.003173029,0.6496285,0.9211909,0.9083672,0.9197072,0.02593807,0.005891498,0.02399139,0.9285889,0.3319728,0.8535856,0.01937682,0.9524796,0.9351346,0.1251396,0.0108484,0.9674393,0.8265669,0.8959495,0.9606777,0.9466341,0.411448,0.6835852,0.9508766,0.8551865
"CTRL24",0.5565578,0.9336776,0.8502915,0.1189237,0.9649975,0.9392771,0.9666153,0.9362206,0.017931,0.004888903,0.9408297,0.00526118,0.7506717,0.4631932,0.6989458,0.02427062,0.7055908,0.6529802,0.244094,0.9155414,0.5459138,0.9732706,0.946075,0.03588606,0.9597797,0.8656678,0.8761211,0.0310152,0.01038118,0.3577313,0.6269013,0.8110002,0.5033867,0.0853389,0.9011629,0.8365573,0.01101601,0.863957,0.8635177,0.8372327,0.8403675,0.06334597,0.3208178,0.8149578,0.9704834,0.9401759,0.6656218,0.006745471,0.1519101,0.01295471,0.8747867,0.6639487,0.9154031,0.7096505,0.6793825,0.9712306,0.6134123,0.9217344,0.9258272,0.7842949,0.8930966,0.6299675,0.04386182,0.02554091,0.1466824,0.001497332,0.8491379,0.9101313,0.7306878,0.8133745,0.1971895,0.9569211,0.6607694,0.5133449,0.004557797,0.6305738,0.8885325,0.915365,0.9095072,0.01720925,0.007726864,0.04115064,0.9076504,0.3384487,0.8890534,0.03716846,0.9314801,0.9181243,0.0545679,0.01211431,0.9548474,0.8091309,0.9136632,0.9687211,0.94868,0.4181983,0.6503215,0.9251398,0.9026867
"PD55",0.6330433,0.8858558,0.823724,0.07350992,0.9608545,0.9383342,0.9710752,0.9397619,0.006134563,0.03722882,0.9403572,0.01062946,0.7511477,0.4788021,0.7608053,0.01561885,0.768666,0.6726959,0.2554948,0.9076658,0.5835843,0.9867422,0.974923,0.070641,0.9608195,0.8816686,0.8575722,0.03115996,0.003224792,0.2801339,0.5796598,0.8085478,0.4274993,0.06439922,0.9471329,0.8664915,0.005986528,0.9389747,0.8651867,0.8710925,0.8704804,0.04879049,0.2164644,0.8593084,0.9740534,0.9301263,0.614862,0.00551604,0.1390025,0.01416724,0.8546256,0.667998,0.9444474,0.6417891,0.6395718,0.9649409,0.6340526,0.9116203,0.9412898,0.7072733,0.8788189,0.6229616,0.04187605,0.0187638,0.1722287,0.002138967,0.7033261,0.9270917,0.886749,0.8657967,0.1447539,0.9751952,0.6507318,0.6252215,0.01661095,0.6377826,0.9150372,0.9410089,0.9140844,0.02792204,0.01091073,0.02918993,0.9152539,0.3203449,0.8995319,0.0175129,0.9489849,0.945875,0.06754495,0.005813219,0.9505457,0.7984778,0.8952275,0.9631538,0.9567721,0.3823716,0.635795,0.9399794,0.8840061
"CTRL15",0.6355023,0.9338309,0.7873618,0.07848657,0.9596592,0.9594999,0.9354064,0.9522137,0.02502753,0.02594483,0.9020537,0.006231118,0.7604623,0.419878,0.6272485,0.01595075,0.7008319,0.6457481,0.2200169,0.8583373,0.4829265,0.9833872,0.9759214,0.07107802,0.9260479,0.8323064,0.8765635,0.02040207,0.009502465,0.334474,0.5781411,0.7148226,0.5573927,0.06390426,0.9626766,0.7884628,0.008758609,0.8529866,0.8384853,0.8197252,0.8010907,0.04620784,0.2805855,0.8018435,0.9762115,0.97344,0.6675285,0.005969953,0.2055767,0.01248918,0.8598146,0.6187056,0.9262017,0.6169007,0.7201382,0.9597264,0.58118,0.925245,0.9786133,0.6883818,0.8900511,0.5605981,0.03586732,0.01762499,0.2057879,0.006372953,0.6493535,0.9363987,0.78857,0.8236933,0.1306272,0.9741872,0.6760561,0.6059086,0.009019309,0.6478076,0.9086127,0.9238239,0.9190858,0.02173923,0.01557719,0.02664658,0.9037818,0.436129,0.8634395,0.03203711,0.9317463,0.9370429,0.105915,0.009532047,0.9572584,0.8400025,0.8896949,0.963697,0.9409958,0.4485888,0.5441674,0.9160357,0.7734868
"CTRL63",0.7074022,0.9422219,0.9392526,0.09448831,0.9729247,0.9035515,0.9616383,0.9637095,0.02923396,0.002268834,0.9180763,0.002384684,0.7138434,0.4599506,0.7293124,0.01086475,0.762074,0.7759012,0.2630358,0.8526781,0.6027082,0.953419,0.9831546,0.09350554,0.956154,0.924466,0.8907022,0.006950083,0.006266257,0.2765853,0.4874542,0.793746,0.5631797,0.03000706,0.8203045,0.8855603,0.009938992,0.8795722,0.9204571,0.8928257,0.9042308,0.05383305,0.3370921,0.9313586,0.9733292,0.9208206,0.7031396,0.006971893,0.2386924,0.018113,0.9156545,0.5664786,0.9515526,0.6052684,0.6400568,0.9736451,0.5910623,0.8395821,0.9046628,0.7269078,0.8085305,0.6472145,0.05806892,0.01804441,0.1278187,0.006663281,0.7435262,0.9509596,0.8552692,0.8089145,0.08312001,0.9774669,0.7196334,0.3965604,0.005035159,0.6350258,0.9472097,0.9193846,0.9254971,0.02633211,0.009050077,0.01634726,0.9135635,0.4996349,0.9209443,0.02582911,0.9628699,0.9332462,0.0345583,0.01243769,0.9647908,0.8978093,0.8728863,0.9456665,0.9470256,0.3785051,0.7295326,0.9521145,0.8857604
"PDD60",0.7204041,0.9507144,0.8038768,0.07462997,0.9788312,0.9202276,0.9699027,0.9546644,0.09820794,0.01727329,0.9172948,0.008430948,0.6682679,0.3710919,0.610729,0.02486222,0.7124073,0.7082873,0.1832696,0.8759363,0.6361622,0.9834672,0.9427927,0.09459234,0.8988995,0.8524277,0.9105083,0.05231087,0.01144353,0.3809589,0.5407442,0.8141703,0.6766092,0.04041194,0.9336184,0.8644179,0.01667596,0.9094182,0.8318289,0.757892,0.8527632,0.07040987,0.3096122,0.8614663,0.9795052,0.9816115,0.7000623,0.002878966,0.1705755,0.01613879,0.7426832,0.6162071,0.9311691,0.7345004,0.7358749,0.9714389,0.6265533,0.9264914,0.9491664,0.6981974,0.7039924,0.6585202,0.04380637,0.03988452,0.272684,0.001196346,0.7218045,0.871229,0.8770415,0.7825525,0.1269694,0.9751454,0.6478489,0.4989823,0.0007560722,0.6584945,0.9171831,0.8727224,0.9600979,0.02472492,0.009979886,0.03877979,0.8977111,0.3752771,0.8716751,0.03667579,0.9194055,0.9689016,0.1888031,0.01652995,0.9384867,0.8428046,0.8128473,0.9742087,0.9385619,0.4157822,0.6885899,0.9344931,0.7133142
"PDD51",0.6620815,0.9012119,0.6497964,0.07471323,0.9503907,0.9417241,0.9443813,0.963323,0.02907471,0.05307352,0.9285476,0.008363202,0.6694155,0.3387703,0.5946722,0.02289196,0.6933187,0.5188281,0.157448,0.8405497,0.4970635,0.9676531,0.9415679,0.06699496,0.9043285,0.842835,0.8866925,0.04135179,0.01223602,0.3130307,0.4874134,0.758053,0.4649863,0.01554711,0.9540503,0.896792,0.01717182,0.863983,0.8126111,0.8017434,0.8890798,0.08754039,0.2414703,0.8517137,0.9724837,0.9630614,0.6071417,0.009646302,0.1701977,0.01270507,0.8445897,0.6286721,0.9001879,0.5913801,0.6875736,0.9784194,0.6363675,0.9440084,0.9379449,0.681208,0.7117293,0.5796106,0.07822686,0.02140845,0.1946415,0.002966281,0.6362715,0.8484749,0.8652197,0.8167843,0.1391946,0.9515326,0.5509064,0.5958126,0.006912153,0.6496684,0.8920696,0.9242734,0.8464951,0.02253338,0.01824119,0.0322194,0.9260266,0.379372,0.8889932,0.02951553,0.9365747,0.9395542,0.08104666,0.01068085,0.9218205,0.815711,0.8095896,0.9540039,0.9029418,0.2721693,0.6354964,0.9170906,0.745787
"PDD43",0.710374,0.9225939,0.8455509,0.08470366,0.8994859,0.925441,0.9595992,0.9424122,0.01348967,0.03018978,0.9314213,0.01296691,0.785224,0.4387738,0.6962394,0.01661184,0.7310409,0.4710606,0.2343216,0.9081383,0.5481957,0.9831176,0.9664345,0.01597542,0.9185277,0.8236798,0.8903587,0.03395403,0.009018517,0.3066963,0.5076005,0.8332681,0.3001203,0.06441477,0.9541568,0.8736011,0.009770877,0.9299876,0.8545191,0.7952856,0.8354979,0.07011023,0.2594658,0.8488421,0.9681571,0.9364129,0.5971106,0.00901404,0.1071723,0.02062804,0.8087276,0.5992239,0.9343247,0.7136245,0.588807,0.9548924,0.6203324,0.9491255,0.9379246,0.7094898,0.8607059,0.648314,0.03844268,0.02040111,0.1171891,0.007027032,0.7616442,0.8983623,0.8521282,0.8192532,0.1177127,0.945095,0.6113615,0.5752374,0.01260723,0.6510134,0.9070573,0.9216061,0.9420374,0.02063163,0.009602036,0.02783168,0.9076223,0.3480872,0.9185572,0.02667846,0.9248747,0.9165939,0.1277447,0.01561488,0.9512124,0.8624902,0.8792488,0.9337109,0.9296867,0.2391354,0.7042285,0.9249099,0.889974
"PD14",0.7014485,0.9454039,0.8730521,0.08831883,0.9535793,0.913241,0.9575508,0.951555,0.05569127,0.005621739,0.9190344,0.00631057,0.8262746,0.4794852,0.7053877,0.0270516,0.8306873,0.79678,0.3041551,0.8101285,0.4856373,0.9690961,0.9817363,0.03542054,0.9415347,0.9344015,0.947002,0.01511778,0.004663252,0.3573873,0.5937644,0.7876594,0.5649134,0.03318226,0.8297331,0.8254671,0.0132509,0.9072876,0.8485651,0.8371644,0.8000373,0.05353874,0.3355749,0.834189,0.9711676,0.9276146,0.7765581,0.006916569,0.2898821,0.01941553,0.9196767,0.5710689,0.9409036,0.6673541,0.5908676,0.9612602,0.5868091,0.9007608,0.9398548,0.7519953,0.8836316,0.5885275,0.04312967,0.01715358,0.2029746,0.00376874,0.810197,0.9403601,0.8845046,0.7757638,0.1460754,0.9641528,0.7687577,0.4158628,0.01158096,0.6349763,0.9252258,0.9425372,0.9673653,0.03047069,0.01411466,0.02956428,0.91691,0.5140631,0.8841351,0.02987116,0.9569693,0.9093973,0.06046772,0.01465358,0.9758262,0.8903627,0.9092058,0.9743573,0.9623861,0.4153428,0.5754096,0.8893533,0.9352448
